Коды укрупненных групп специальностей.	Наименования укрупненных групп специальностей. Наименования специальностей	Квалификация(и) специалиста среднего звена	
Коды специальностей			
1	2	3	
МАТЕМАТИЧЕСКИЕ И ЕСТЕСТВЕННЫЕ НАУКИ			
05.00.00	НАУКИ О ЗЕМЛЕ		
05.02.2001	Картография	Техник-картограф Специалист по картографии	
05.02.2002	Гидрология	Техник-гидролог	
05.02.2003	Метеорология	Техник-метеоролог	
"ИНЖЕНЕРНОЕ ДЕЛО, ТЕХНОЛОГИИ И ТЕХНИЧЕСКИЕ НАУКИ"			
07.00.00	АРХИТЕКТУРА		
07.02.2001	Архитектура	Архитектор	
08.00.00	ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА		
08.02.2001	Строительство и эксплуатация зданий и сооружений	Техник	
		Старший техник	
08.02.2002	Строительство и эксплуатация инженерных сооружений	Техник	
		Старший техник	
08.02.2003	Производство неметаллических строительных изделий и конструкций	Техник	
		Старший техник	
08.02.2004	Водоснабжение и водоотведение	Техник	
		Старший техник	
08.02.2005	Строительство и эксплуатация автомобильных дорог и аэродромов	Техник	
		Старший техник	
08.02.2006	Строительство и эксплуатация городских путей сообщения	Техник	
		Старший техник	
08.02.2007	"Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции"	Техник	
		Старший техник	
08.02.2008	Монтаж и эксплуатация оборудования и систем газоснабжения	Техник	
		Старший техник	
08.02.2009	"Монтаж, наладка и эксплуатация электрооборудования промышленных и гражданских зданий"	Техник	
		Старший техник	
08.02.2010	"Строительство железных дорог, путь и путевое хозяйство"	Техник	
		Старший техник	
08.02.2011	"Управление, эксплуатация и обслуживание многоквартирного дома"	Техник	
		"Специалист по управлению,"	
		эксплуатации и обслуживанию многоквартирного дома	
09.00.00	ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА		
09.02.2001	Компьютерные системы и комплексы	Техник по компьютерным системам	
		Специалист по компьютерным системам	
09.02.2002	Компьютерные сети	Техник по компьютерным сетям	
		Специалист по администрированию сети	
09.02.2003	Программирование в компьютерных системах	Техник-программист	
		Программист	
09.02.2004	Информационные системы (по отраслям)	Техник по информационным системам	
		Специалист по информационным системам	
09.02.2005	Прикладная информатика (по отраслям)	Техник-программист	
		Специалист по прикладной информатике	
09.02.2006	Сетевое и системное администрирование	Сетевой и системный администратор	
		Специалист по администрированию сети	
09.02.2007	Информационные системы и программирование	Администратор баз данных Специалист по тестированию в области информационных технологий	
		Программист	
		Технический писатель	
		Специалист по информационным системам	
		Специалист по информационным ресурсам	
		Разработчик веб и мультимедийных приложений	
10.00.00	ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ		
10.02.2001	Организация и технология защиты информации	Техник по защите информации	
		Старший техник по защите информации	
10.02.2002	Информационная безопасность телекоммуникационных систем	Техник по защите информации	
		Старший техник по защите информации	
10.02.2003	Информационная безопасность автоматизированных систем	Техник по защите информации	
		Старший техник по защите информации	
10.02.2004	Обеспечение информационной безопасности телекоммуникационных систем	Техник по защите информации	
10.02.2005	Обеспечение информационной безопасности автоматизированных систем	Техник по защите информации	
11.00.00	"ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ"		
11.02.2001	Радиоаппаратостроение	Радиотехник	
		Специалист по радиоаппаратостроению	
11.02.2002	Техническое обслуживание и ремонт радиоэлектронной техники (по отраслям)	Техник	
		Старший техник	
11.02.2003	Эксплуатация оборудования радиосвязи и электрорадионавигации судов	Техник	
11.02.2004	Радиотехнические комплексы и системы управления космических летательных аппаратов	Радиотехник	
		Старший радиотехник	
11.02.2005	Аудиовизуальная техника	Техник	
		Старший техник	
11.02.2006	Техническая эксплуатация транспортного радиоэлектронного оборудования (по видам транспорта)	Техник	
		Старший техник	
11.02.2007	Радиотехнические информационные системы	Радиотехник	
11.02.2008	Средства связи с подвижными объектами	Техник	
		Специалист по телекоммуникациям	
11.02.2009	Многоканальные телекоммуникационные системы	Техник	
		Специалист по телекоммуникациям	
11.02.2010	"Радиосвязь, радиовещание и телевидение"	Техник	
		Специалист по телекоммуникациям	
11.02.2011	Сети связи и системы коммутации	Техник	
		Специалист по телекоммуникациям	
11.02.2012	Почтовая связь	Специалист почтовой связи	
11.02.2013	Твердотельная электроника	Техник	
11.02.2014	Электронные приборы и устройства	Техник	
		Специалист по электронным приборам и устройствам	
