institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Северный (Арктический) федеральный университет имени М. В. Ломоносова","01.03.02","Прикладная математика и информатика","bachelor","","true","30","5","2026","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","2026-07-09T07:00:53.655Z"
"Северный (Арктический) федеральный университет имени М. В. Ломоносова","03.03.02","Физика","bachelor","","true","18","2","2026","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","2026-07-09T07:00:53.655Z"
"Северный (Арктический) федеральный университет имени М. В. Ломоносова","08.03.01","Строительство","bachelor","","true","80","40","2026","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","2026-07-09T07:00:53.655Z"
"Северный (Арктический) федеральный университет имени М. В. Ломоносова","09.03.01","Информатика и вычислительная техника","bachelor","","true","69","20","2026","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","2026-07-09T07:00:53.655Z"
"Северный (Арктический) федеральный университет имени М. В. Ломоносова","09.03.02","Информационные системы и технологии","bachelor","","true","68","20","2026","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","2026-07-09T07:00:53.655Z"
"Северный (Арктический) федеральный университет имени М. В. Ломоносова","10.03.01","Информационная безопасность","bachelor","","true","60","20","2026","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","2026-07-09T07:00:53.655Z"
"Северный (Арктический) федеральный университет имени М. В. Ломоносова","12.03.04","Биотехнические системы и технологии","bachelor","","true","15","3","2026","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","2026-07-09T07:00:53.655Z"
"Северный (Арктический) федеральный университет имени М. В. Ломоносова","13.03.01","Теплоэнергетика и теплотехника","bachelor","","true","42","15","2026","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","2026-07-09T07:00:53.655Z"
"Северный (Арктический) федеральный университет имени М. В. Ломоносова","13.03.02","Электроэнергетика и электротехника","bachelor","","true","63","18","2026","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","2026-07-09T07:00:53.655Z"
"Северный (Арктический) федеральный университет имени М. В. Ломоносова","15.03.02","Технологические машины и оборудование","bachelor","","true","50","30","2026","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","2026-07-09T07:00:53.655Z"
"Северный (Арктический) федеральный университет имени М. В. Ломоносова","15.03.04","Автоматизация технологических процессов и производств","bachelor","","true","25","2","2026","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","2026-07-09T07:00:53.655Z"
"Северный (Арктический) федеральный университет имени М. В. Ломоносова","18.03.01","Химическая технология","bachelor","","true","15","18","2026","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","2026-07-09T07:00:53.655Z"
"Северный (Арктический) федеральный университет имени М. В. Ломоносова","19.03.01","Биотехнология","bachelor","","true","20","3","2026","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","2026-07-09T07:00:53.655Z"
"Северный (Арктический) федеральный университет имени М. В. Ломоносова","20.03.01","Техносферная безопасность","bachelor","","true","18","10","2026","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","2026-07-09T07:00:53.655Z"
"Северный (Арктический) федеральный университет имени М. В. Ломоносова","21.03.01","Нефтегазовое дело","bachelor","","true","90","","2026","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","2026-07-09T07:00:53.655Z"
"Северный (Арктический) федеральный университет имени М. В. Ломоносова","21.03.02","Землеустройство и кадастры","bachelor","","true","45","15","2026","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","2026-07-09T07:00:53.655Z"
"Северный (Арктический) федеральный университет имени М. В. Ломоносова","23.03.03","Эксплуатация транспортно-технологических машин и комплексов","bachelor","","true","20","10","2026","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","https://arhangelsk.postupi.online/vuz/severnyj-arkticheskij-federalnyj-universitet/specialnosti/bakalavr/","2026-07-09T07:00:53.655Z"
"Северный государственный медицинский университет","37.03.01","Психология","bachelor","","true","12","1","2026","https://arhangelsk.postupi.online/vuz/sgmu/specialnosti/bakalavr/","https://arhangelsk.postupi.online/vuz/sgmu/specialnosti/bakalavr/","2026-07-09T07:00:53.655Z"
"Северный государственный медицинский университет","39.03.02","Социальная работа","bachelor","","true","12","12","2026","https://arhangelsk.postupi.online/vuz/sgmu/specialnosti/bakalavr/","https://arhangelsk.postupi.online/vuz/sgmu/specialnosti/bakalavr/","2026-07-09T07:00:53.655Z"
"Северный государственный медицинский университет","49.03.02","Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура)","bachelor","","","","50","2026","https://arhangelsk.postupi.online/vuz/sgmu/specialnosti/bakalavr/","https://arhangelsk.postupi.online/vuz/sgmu/specialnosti/bakalavr/","2026-07-09T07:00:53.655Z"
