institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Астраханский государственный архитектурно-строительный университет","07.03.01","Архитектура","bachelor","","true","35","","2026","https://astrahan.postupi.online/vuz/agasu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agasu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный архитектурно-строительный университет","07.03.02","Реконструкция и реставрация архитектурного наследия","bachelor","","true","10","10","2026","https://astrahan.postupi.online/vuz/agasu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agasu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный архитектурно-строительный университет","08.03.01","Строительство","bachelor","","true","50","72","2026","https://astrahan.postupi.online/vuz/agasu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agasu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный архитектурно-строительный университет","09.03.02","Информационные системы и технологии","bachelor","","true","15","10","2026","https://astrahan.postupi.online/vuz/agasu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agasu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный архитектурно-строительный университет","13.03.01","Теплоэнергетика и теплотехника","bachelor","","","","15","2026","https://astrahan.postupi.online/vuz/agasu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agasu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный архитектурно-строительный университет","21.03.02","Землеустройство и кадастры","bachelor","","","","22","2026","https://astrahan.postupi.online/vuz/agasu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agasu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный архитектурно-строительный университет","35.03.10","Ландшафтная архитектура","bachelor","","","","20","2026","https://astrahan.postupi.online/vuz/agasu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agasu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный архитектурно-строительный университет","38.03.01","Экономика","bachelor","","true","10","11","2026","https://astrahan.postupi.online/vuz/agasu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agasu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный архитектурно-строительный университет","54.03.01","Дизайн","bachelor","","true","15","8","2026","https://astrahan.postupi.online/vuz/agasu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agasu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханская государственная консерватория","53.03.01","Музыкальное искусство эстрады","bachelor","","true","5","2","2026","https://astrahan.postupi.online/vuz/agk/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agk/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханская государственная консерватория","53.03.02","Музыкально-инструментальное искусство","bachelor","","true","26","12","2026","https://astrahan.postupi.online/vuz/agk/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agk/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханская государственная консерватория","53.03.03","Вокальное искусство","bachelor","","true","5","6","2026","https://astrahan.postupi.online/vuz/agk/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agk/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханская государственная консерватория","53.03.04","Искусство народного пения","bachelor","","true","5","1","2026","https://astrahan.postupi.online/vuz/agk/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agk/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханская государственная консерватория","53.03.05","Дирижирование","bachelor","","true","4","1","2026","https://astrahan.postupi.online/vuz/agk/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agk/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный технический университет","07.03.01","Архитектура","bachelor","","true","15","18","2026","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный технический университет","08.03.01","Строительство","bachelor","","true","15","45","2026","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный технический университет","09.03.01","Информатика и вычислительная техника","bachelor","","true","20","30","2026","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный технический университет","09.03.03","Прикладная информатика","bachelor","","true","34","45","2026","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный технический университет","09.03.04","Программная инженерия","bachelor","","true","21","30","2026","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный технический университет","10.03.01","Информационная безопасность","bachelor","","true","26","55","2026","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный технический университет","11.03.02","Инфокоммуникационные технологии и системы связи","bachelor","","true","44","30","2026","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный технический университет","13.03.01","Теплоэнергетика и теплотехника","bachelor","","true","17","25","2026","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный технический университет","13.03.02","Электроэнергетика и электротехника","bachelor","","true","36","25","2026","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный технический университет","15.03.02","Технологические машины и оборудование","bachelor","","true","44","50","2026","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный технический университет","15.03.04","Автоматизация технологических процессов и производств","bachelor","","true","43","35","2026","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный технический университет","18.03.01","Химическая технология","bachelor","","true","41","45","2026","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный технический университет","18.03.02","Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии","bachelor","","true","38","20","2026","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный технический университет","19.03.04","Технология продукции и организация общественного питания","bachelor","","true","40","20","2026","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный технический университет","20.03.02","Природообустройство и водопользование","bachelor","","","","15","2026","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный технический университет","21.03.01","Нефтегазовое дело","bachelor","","true","53","69","2026","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный технический университет","23.03.01","Технология транспортных процессов","bachelor","","true","15","25","2026","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный технический университет","23.03.03","Эксплуатация транспортно-технологических машин и комплексов","bachelor","","","","15","2026","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agtu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный университет им. В. Н. Татищева","03.03.02","Физика","bachelor","","true","25","5","2026","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный университет им. В. Н. Татищева","07.03.01","Архитектура","bachelor","","true","23","4","2026","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный университет им. В. Н. Татищева","08.03.01","Строительство","bachelor","","","","15","2026","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный университет им. В. Н. Татищева","09.03.02","Информационные системы и технологии","bachelor","","true","60","40","2026","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный университет им. В. Н. Татищева","09.03.03","Прикладная информатика","bachelor","","true","20","10","2026","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный университет им. В. Н. Татищева","10.03.01","Информационная безопасность","bachelor","","true","25","48","2026","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный университет им. В. Н. Татищева","11.03.04","Электроника и наноэлектроника","bachelor","","true","52","10","2026","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный университет им. В. Н. Татищева","13.03.02","Электроэнергетика и электротехника","bachelor","","true","50","10","2026","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный университет им. В. Н. Татищева","15.03.01","Машиностроение","bachelor","","","","2","2026","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный университет им. В. Н. Татищева","15.03.02","Технологические машины и оборудование","bachelor","","","","15","2026","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный университет им. В. Н. Татищева","19.03.04","Технология продукции и организация общественного питания","bachelor","","","","15","2026","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный университет им. В. Н. Татищева","20.03.01","Техносферная безопасность","bachelor","","true","25","2","2026","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный университет им. В. Н. Татищева","35.03.04","Агрономия","bachelor","","true","30","3","2026","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный университет им. В. Н. Татищева","35.03.07","Технология производства и переработки сельскохозяйственной продукции","bachelor","","true","25","5","2026","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный университет им. В. Н. Татищева","36.03.02","Зоотехния","bachelor","","true","22","8","2026","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский государственный университет им. В. Н. Татищева","37.03.01","Психология","bachelor","","true","38","10","2026","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/agu/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.02","Менеджмент","bachelor","","","","36","2026","https://astrahan.postupi.online/vuz/astrahanskij-filial-ranhigs/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/astrahanskij-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.04","Государственное и муниципальное управление","bachelor","","true","10","40","2026","https://astrahan.postupi.online/vuz/astrahanskij-filial-ranhigs/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/astrahanskij-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Астраханский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","40.03.01","Юриспруденция","bachelor","","","","29","2026","https://astrahan.postupi.online/vuz/astrahanskij-filial-ranhigs/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/astrahanskij-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
"Каспийский институт морского и речного транспорта имени генерал-адмирала Ф.М. Апраксина - филиал Волжского государственного университета водного транспорта","23.03.01","Технология транспортных процессов","bachelor","","true","22","15","2026","https://astrahan.postupi.online/vuz/kaspijskij-institut-morskogo-i-rechnogo-transporta/specialnosti/bakalavr/","https://astrahan.postupi.online/vuz/kaspijskij-institut-morskogo-i-rechnogo-transporta/specialnosti/bakalavr/","2026-07-09T06:54:13.970Z"
