institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Алтайский государственный аграрный университет","19.03.03","Продукты питания животного происхождения","bachelor","","true","16","30","2026","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный аграрный университет","20.03.02","Природообустройство и водопользование","bachelor","","","","40","2026","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный аграрный университет","21.03.02","Землеустройство и кадастры","bachelor","","true","33","102","2026","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный аграрный университет","23.03.03","Эксплуатация транспортно-технологических машин и комплексов","bachelor","","","","50","2026","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный аграрный университет","35.03.01","Лесное дело","bachelor","","true","35","15","2026","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный аграрный университет","35.03.03","Агрохимия и агропочвоведение","bachelor","","true","20","5","2026","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный аграрный университет","35.03.04","Агрономия","bachelor","","true","105","115","2026","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный аграрный университет","35.03.06","Агроинженерия","bachelor","","true","180","95","2026","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный аграрный университет","35.03.07","Технология производства и переработки сельскохозяйственной продукции","bachelor","","true","65","20","2026","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный аграрный университет","35.03.11","Гидромелиорация","bachelor","","true","30","10","2026","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный аграрный университет","36.03.01","Ветеринарно-санитарная экспертиза","bachelor","","true","19","11","2026","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный аграрный университет","36.03.02","Зоотехния","bachelor","","true","55","20","2026","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный аграрный университет","38.03.04","Государственное и муниципальное управление","bachelor","","","","20","2026","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный аграрный университет","44.03.04","Профессиональное обучение (по отраслям)","bachelor","","","","50","2026","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agau/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный институт культуры","43.03.02","Туризм","bachelor","","true","19","6","2026","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный институт культуры","50.03.01","Искусства и гуманитарные науки","bachelor","","true","9","3","2026","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный институт культуры","51.03.02","Народная художественная культура","bachelor","","true","58","25","2026","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный институт культуры","51.03.03","Социально-культурная деятельность","bachelor","","true","35","5","2026","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный институт культуры","51.03.04","Музеология и охрана объектов культурного и природного наследия","bachelor","","true","30","2","2026","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный институт культуры","51.03.05","Режиссура театрализованных представлений и праздников","bachelor","","true","31","5","2026","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный институт культуры","51.03.06","Библиотечно-информационная деятельность","bachelor","","true","31","2","2026","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный институт культуры","52.03.01","Хореографическое искусство","bachelor","","true","16","12","2026","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный институт культуры","53.03.02","Музыкально-инструментальное искусство","bachelor","","true","11","5","2026","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный институт культуры","53.03.04","Искусство народного пения","bachelor","","true","15","5","2026","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный институт культуры","53.03.05","Дирижирование","bachelor","","true","7","","2026","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный институт культуры","53.03.06","Музыкознание и музыкально-прикладное искусство","bachelor","","true","6","","2026","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
"Алтайский государственный институт культуры","54.03.01","Дизайн","bachelor","","true","7","8","2026","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","https://barnaul.postupi.online/vuz/agik/specialnosti/bakalavr/","2026-07-09T06:49:49.774Z"
