institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Белгородский государственный аграрный университет имени В.Я. Горина","09.03.03","Прикладная информатика","bachelor","","true","25","5","2026","https://belgorod.postupi.online/vuz/belgorodskij-gau/specialnosti/bakalavr/","https://belgorod.postupi.online/vuz/belgorodskij-gau/specialnosti/bakalavr/","2026-07-09T06:56:32.035Z"
"Белгородский государственный аграрный университет имени В.Я. Горина","19.03.03","Продукты питания животного происхождения","bachelor","","true","50","5","2026","https://belgorod.postupi.online/vuz/belgorodskij-gau/specialnosti/bakalavr/","https://belgorod.postupi.online/vuz/belgorodskij-gau/specialnosti/bakalavr/","2026-07-09T06:56:32.035Z"
"Белгородский государственный аграрный университет имени В.Я. Горина","21.03.02","Землеустройство и кадастры","bachelor","","true","30","2","2026","https://belgorod.postupi.online/vuz/belgorodskij-gau/specialnosti/bakalavr/","https://belgorod.postupi.online/vuz/belgorodskij-gau/specialnosti/bakalavr/","2026-07-09T06:56:32.035Z"
"Белгородский государственный аграрный университет имени В.Я. Горина","35.03.04","Агрономия","bachelor","","true","100","60","2026","https://belgorod.postupi.online/vuz/belgorodskij-gau/specialnosti/bakalavr/","https://belgorod.postupi.online/vuz/belgorodskij-gau/specialnosti/bakalavr/","2026-07-09T06:56:32.035Z"
"Белгородский государственный аграрный университет имени В.Я. Горина","35.03.06","Агроинженерия","bachelor","","true","160","176","2026","https://belgorod.postupi.online/vuz/belgorodskij-gau/specialnosti/bakalavr/","https://belgorod.postupi.online/vuz/belgorodskij-gau/specialnosti/bakalavr/","2026-07-09T06:56:32.035Z"
"Белгородский государственный аграрный университет имени В.Я. Горина","35.03.07","Технология производства и переработки сельскохозяйственной продукции","bachelor","","true","90","85","2026","https://belgorod.postupi.online/vuz/belgorodskij-gau/specialnosti/bakalavr/","https://belgorod.postupi.online/vuz/belgorodskij-gau/specialnosti/bakalavr/","2026-07-09T06:56:32.035Z"
"Белгородский государственный аграрный университет имени В.Я. Горина","36.03.02","Зоотехния","bachelor","","true","31","35","2026","https://belgorod.postupi.online/vuz/belgorodskij-gau/specialnosti/bakalavr/","https://belgorod.postupi.online/vuz/belgorodskij-gau/specialnosti/bakalavr/","2026-07-09T06:56:32.035Z"
"Белгородский государственный аграрный университет имени В.Я. Горина","38.03.01","Экономика","bachelor","","","","44","2026","https://belgorod.postupi.online/vuz/belgorodskij-gau/specialnosti/bakalavr/","https://belgorod.postupi.online/vuz/belgorodskij-gau/specialnosti/bakalavr/","2026-07-09T06:56:32.035Z"
"Белгородский государственный аграрный университет имени В.Я. Горина","38.03.02","Менеджмент","bachelor","","","","15","2026","https://belgorod.postupi.online/vuz/belgorodskij-gau/specialnosti/bakalavr/","https://belgorod.postupi.online/vuz/belgorodskij-gau/specialnosti/bakalavr/","2026-07-09T06:56:32.035Z"
"Белгородский государственный аграрный университет имени В.Я. Горина","38.03.03","Управление персоналом","bachelor","","","","30","2026","https://belgorod.postupi.online/vuz/belgorodskij-gau/specialnosti/bakalavr/","https://belgorod.postupi.online/vuz/belgorodskij-gau/specialnosti/bakalavr/","2026-07-09T06:56:32.035Z"
"Белгородский государственный национальный исследовательский университет","01.03.02","Прикладная математика и информатика","bachelor","","true","25","5","2026","https://belgorod.postupi.online/vuz/belgu/specialnosti/bakalavr/","https://belgorod.postupi.online/vuz/belgu/specialnosti/bakalavr/","2026-07-09T06:56:32.035Z"
"Белгородский государственный национальный исследовательский университет","02.03.02","Фундаментальная информатика и информационные технологии","bachelor","","true","24","1","2026","https://belgorod.postupi.online/vuz/belgu/specialnosti/bakalavr/","https://belgorod.postupi.online/vuz/belgu/specialnosti/bakalavr/","2026-07-09T06:56:32.035Z"
"Белгородский государственный национальный исследовательский университет","02.03.03","Математическое обеспечение и администрирование информационных систем","bachelor","","true","23","2","2026","https://belgorod.postupi.online/vuz/belgu/specialnosti/bakalavr/","https://belgorod.postupi.online/vuz/belgu/specialnosti/bakalavr/","2026-07-09T06:56:32.035Z"
"Белгородский государственный национальный исследовательский университет","03.03.02","Физика","bachelor","","true","25","5","2026","https://belgorod.postupi.online/vuz/belgu/specialnosti/bakalavr/","https://belgorod.postupi.online/vuz/belgu/specialnosti/bakalavr/","2026-07-09T06:56:32.035Z"
