institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Брянский государственный аграрный университет","09.03.03","Прикладная информатика","bachelor","","","","40","2026","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный аграрный университет","13.03.02","Электроэнергетика и электротехника","bachelor","","true","39","81","2026","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный аграрный университет","15.03.04","Автоматизация технологических процессов и производств","bachelor","","","","25","2026","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный аграрный университет","19.03.03","Продукты питания животного происхождения","bachelor","","true","25","5","2026","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный аграрный университет","19.03.04","Технология продукции и организация общественного питания","bachelor","","true","27","23","2026","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный аграрный университет","20.03.01","Техносферная безопасность","bachelor","","true","15","33","2026","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный аграрный университет","20.03.02","Природообустройство и водопользование","bachelor","","true","15","17","2026","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный аграрный университет","21.03.02","Землеустройство и кадастры","bachelor","","true","15","50","2026","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный аграрный университет","23.03.02","Наземные транспортно-технологические комплексы","bachelor","","","","20","2026","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный аграрный университет","35.03.03","Агрохимия и агропочвоведение","bachelor","","true","17","2","2026","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный аграрный университет","35.03.04","Агрономия","bachelor","","true","40","19","2026","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный аграрный университет","35.03.06","Агроинженерия","bachelor","","true","118","53","2026","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный аграрный университет","35.03.07","Технология производства и переработки сельскохозяйственной продукции","bachelor","","true","40","17","2026","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный аграрный университет","36.03.02","Зоотехния","bachelor","","true","30","10","2026","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgau/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный университет имени академика И.Г. Петровского","01.03.02","Прикладная математика и информатика","bachelor","","true","16","30","2026","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный университет имени академика И.Г. Петровского","02.03.02","Фундаментальная информатика и информационные технологии","bachelor","","","","20","2026","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный университет имени академика И.Г. Петровского","03.03.02","Физика","bachelor","","true","12","15","2026","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный университет имени академика И.Г. Петровского","20.03.01","Техносферная безопасность","bachelor","","","","60","2026","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный университет имени академика И.Г. Петровского","21.03.02","Землеустройство и кадастры","bachelor","","","","55","2026","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный университет имени академика И.Г. Петровского","38.03.01","Экономика","bachelor","","","","28","2026","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный университет имени академика И.Г. Петровского","38.03.02","Менеджмент","bachelor","","","","39","2026","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный университет имени академика И.Г. Петровского","38.03.03","Управление персоналом","bachelor","","","","16","2026","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный университет имени академика И.Г. Петровского","39.03.02","Социальная работа","bachelor","","","","20","2026","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный университет имени академика И.Г. Петровского","39.03.03","Организация работы с молодежью","bachelor","","","","20","2026","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный университет имени академика И.Г. Петровского","40.03.01","Юриспруденция","bachelor","","","","167","2026","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный университет имени академика И.Г. Петровского","41.03.05","Международные отношения","bachelor","","","","13","2026","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный университет имени академика И.Г. Петровского","42.03.01","Реклама и связи с общественностью","bachelor","","","","41","2026","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный университет имени академика И.Г. Петровского","42.03.02","Журналистика","bachelor","","","","10","2026","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
"Брянский государственный университет имени академика И.Г. Петровского","44.03.01","Педагогическое образование","bachelor","","true","150","165","2026","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","https://bryansk.postupi.online/vuz/bgu-petrovskogo/specialnosti/bakalavr/","2026-07-09T06:59:33.120Z"
