institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Чебоксарский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.01","Экономика","bachelor","","true","12","21","2026","https://cheboksary.postupi.online/vuz/chf-ranhigs/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chf-ranhigs/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чебоксарский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.02","Менеджмент","bachelor","","","","12","2026","https://cheboksary.postupi.online/vuz/chf-ranhigs/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chf-ranhigs/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чебоксарский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.04","Государственное и муниципальное управление","bachelor","","true","11","56","2026","https://cheboksary.postupi.online/vuz/chf-ranhigs/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chf-ranhigs/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чебоксарский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.06","Торговое дело","bachelor","","","","20","2026","https://cheboksary.postupi.online/vuz/chf-ranhigs/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chf-ranhigs/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чувашский государственный институт культуры и искусств","51.03.02","Народная художественная культура","bachelor","","true","13","40","2026","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чувашский государственный институт культуры и искусств","51.03.03","Социально-культурная деятельность","bachelor","","true","16","15","2026","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чувашский государственный институт культуры и искусств","51.03.04","Музеология и охрана объектов культурного и природного наследия","bachelor","","true","6","10","2026","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чувашский государственный институт культуры и искусств","51.03.05","Режиссура театрализованных представлений и праздников","bachelor","","true","17","15","2026","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чувашский государственный институт культуры и искусств","51.03.06","Библиотечно-информационная деятельность","bachelor","","true","6","15","2026","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чувашский государственный институт культуры и искусств","52.03.01","Хореографическое искусство","bachelor","","true","6","15","2026","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чувашский государственный институт культуры и искусств","53.03.01","Музыкальное искусство эстрады","bachelor","","true","7","15","2026","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чувашский государственный институт культуры и искусств","53.03.02","Музыкально-инструментальное искусство","bachelor","","true","7","60","2026","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чувашский государственный институт культуры и искусств","53.03.03","Вокальное искусство","bachelor","","","","15","2026","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чувашский государственный институт культуры и искусств","53.03.04","Искусство народного пения","bachelor","","true","3","15","2026","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чувашский государственный институт культуры и искусств","53.03.05","Дирижирование","bachelor","","true","3","15","2026","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chgiki/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чувашский государственный педагогический университет им. И. Я. Яковлева","44.03.01","Педагогическое образование","bachelor","","true","65","95","2026","https://cheboksary.postupi.online/vuz/chgpu/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chgpu/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чувашский государственный педагогический университет им. И. Я. Яковлева","44.03.02","Психолого-педагогическое образование","bachelor","","true","65","80","2026","https://cheboksary.postupi.online/vuz/chgpu/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chgpu/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чувашский государственный педагогический университет им. И. Я. Яковлева","44.03.03","Специальное (дефектологическое) образование","bachelor","","true","60","80","2026","https://cheboksary.postupi.online/vuz/chgpu/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chgpu/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чувашский государственный педагогический университет им. И. Я. Яковлева","44.03.04","Профессиональное обучение (по отраслям)","bachelor","","true","155","136","2026","https://cheboksary.postupi.online/vuz/chgpu/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chgpu/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чувашский государственный педагогический университет им. И. Я. Яковлева","44.03.05","Педагогическое образование (с двумя профилями подготовки)","bachelor","","true","200","150","2026","https://cheboksary.postupi.online/vuz/chgpu/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chgpu/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чувашский государственный педагогический университет им. И. Я. Яковлева","49.03.01","Физическая культура","bachelor","","","","25","2026","https://cheboksary.postupi.online/vuz/chgpu/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chgpu/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чувашский государственный аграрный университет","09.03.03","Прикладная информатика","bachelor","","","","20","2026","https://cheboksary.postupi.online/vuz/chgsxa/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chgsxa/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чувашский государственный аграрный университет","19.03.02","Продукты питания из растительного сырья","bachelor","","","","25","2026","https://cheboksary.postupi.online/vuz/chgsxa/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chgsxa/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
"Чувашский государственный аграрный университет","19.03.03","Продукты питания животного происхождения","bachelor","","","","25","2026","https://cheboksary.postupi.online/vuz/chgsxa/specialnosti/bakalavr/","https://cheboksary.postupi.online/vuz/chgsxa/specialnosti/bakalavr/","2026-07-09T06:55:50.984Z"
