institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Екатеринбургская академия современного искусства (институт)","09.03.03","Прикладная информатика","bachelor","","true","14","6","2026","https://ekaterinburg.postupi.online/vuz/easi/specialnosti/bakalavr/","https://ekaterinburg.postupi.online/vuz/easi/specialnosti/bakalavr/","2026-07-08T20:43:03.762Z"
"Екатеринбургская академия современного искусства (институт)","50.03.01","Искусства и гуманитарные науки","bachelor","","true","46","25","2026","https://ekaterinburg.postupi.online/vuz/easi/specialnosti/bakalavr/","https://ekaterinburg.postupi.online/vuz/easi/specialnosti/bakalavr/","2026-07-08T20:43:03.762Z"
"Екатеринбургская академия современного искусства (институт)","50.03.02","Изящные искусства","bachelor","","true","8","5","2026","https://ekaterinburg.postupi.online/vuz/easi/specialnosti/bakalavr/","https://ekaterinburg.postupi.online/vuz/easi/specialnosti/bakalavr/","2026-07-08T20:43:03.762Z"
"Екатеринбургская духовная семинария Екатеринбургской Епархии Русской Православной Церкви","48.03.01","Теология","bachelor","","true","28","","2026","https://ekaterinburg.postupi.online/vuz/ekaterinburgskaya-duhovnaya-seminariya/specialnosti/bakalavr/","https://ekaterinburg.postupi.online/vuz/ekaterinburgskaya-duhovnaya-seminariya/specialnosti/bakalavr/","2026-07-08T20:43:03.762Z"
"Екатеринбургский институт физической культуры (филиал) Уральского государственного университета физической культуры","49.03.01","Физическая культура","bachelor","","true","20","90","2026","https://ekaterinburg.postupi.online/vuz/ekaterinburgskiy-institut-fizicheskoy-kultury-uralgufk/specialnosti/bakalavr/","https://ekaterinburg.postupi.online/vuz/ekaterinburgskiy-institut-fizicheskoy-kultury-uralgufk/specialnosti/bakalavr/","2026-07-08T20:43:03.762Z"
"Екатеринбургский институт физической культуры (филиал) Уральского государственного университета физической культуры","49.03.02","Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура)","bachelor","","true","15","65","2026","https://ekaterinburg.postupi.online/vuz/ekaterinburgskiy-institut-fizicheskoy-kultury-uralgufk/specialnosti/bakalavr/","https://ekaterinburg.postupi.online/vuz/ekaterinburgskiy-institut-fizicheskoy-kultury-uralgufk/specialnosti/bakalavr/","2026-07-08T20:43:03.762Z"
"Гуманитарный университет","09.03.03","Прикладная информатика","bachelor","","","","50","2026","https://ekaterinburg.postupi.online/vuz/gu/specialnosti/bakalavr/","https://ekaterinburg.postupi.online/vuz/gu/specialnosti/bakalavr/","2026-07-08T20:43:03.762Z"
"Гуманитарный университет","37.03.01","Психология","bachelor","","","","44","2026","https://ekaterinburg.postupi.online/vuz/gu/specialnosti/bakalavr/","https://ekaterinburg.postupi.online/vuz/gu/specialnosti/bakalavr/","2026-07-08T20:43:03.762Z"
"Гуманитарный университет","38.03.01","Экономика","bachelor","","","","40","2026","https://ekaterinburg.postupi.online/vuz/gu/specialnosti/bakalavr/","https://ekaterinburg.postupi.online/vuz/gu/specialnosti/bakalavr/","2026-07-08T20:43:03.762Z"
"Гуманитарный университет","38.03.02","Менеджмент","bachelor","","","","38","2026","https://ekaterinburg.postupi.online/vuz/gu/specialnosti/bakalavr/","https://ekaterinburg.postupi.online/vuz/gu/specialnosti/bakalavr/","2026-07-08T20:43:03.762Z"
"Гуманитарный университет","42.03.01","Реклама и связи с общественностью","bachelor","","","","45","2026","https://ekaterinburg.postupi.online/vuz/gu/specialnosti/bakalavr/","https://ekaterinburg.postupi.online/vuz/gu/specialnosti/bakalavr/","2026-07-08T20:43:03.762Z"
"Гуманитарный университет","43.03.02","Туризм","bachelor","","","","50","2026","https://ekaterinburg.postupi.online/vuz/gu/specialnosti/bakalavr/","https://ekaterinburg.postupi.online/vuz/gu/specialnosti/bakalavr/","2026-07-08T20:43:03.762Z"
"Гуманитарный университет","43.03.03","Гостиничное дело","bachelor","","","","50","2026","https://ekaterinburg.postupi.online/vuz/gu/specialnosti/bakalavr/","https://ekaterinburg.postupi.online/vuz/gu/specialnosti/bakalavr/","2026-07-08T20:43:03.762Z"
"Гуманитарный университет","52.03.01","Хореографическое искусство","bachelor","","","","25","2026","https://ekaterinburg.postupi.online/vuz/gu/specialnosti/bakalavr/","https://ekaterinburg.postupi.online/vuz/gu/specialnosti/bakalavr/","2026-07-08T20:43:03.762Z"
"Институт международных связей","38.03.01","Экономика","bachelor","","","","11","2026","https://ekaterinburg.postupi.online/vuz/ims/specialnosti/bakalavr/","https://ekaterinburg.postupi.online/vuz/ims/specialnosti/bakalavr/","2026-07-08T20:43:03.762Z"
