institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Дальневосточный филиал Российского государственного университета правосудия имени В. М. Лебедева","40.03.01","Юриспруденция","bachelor","","true","45","80","2026","https://habarovsk.postupi.online/vuz/dalnevostochnyj-filial-rgup/specialnosti/bakalavr/","https://habarovsk.postupi.online/vuz/dalnevostochnyj-filial-rgup/specialnosti/bakalavr/","2026-07-09T06:50:43.418Z"
"Дальневосточный институт управления - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.01","Экономика","bachelor","","true","25","5","2026","https://habarovsk.postupi.online/vuz/diu-ranhigs/specialnosti/bakalavr/","https://habarovsk.postupi.online/vuz/diu-ranhigs/specialnosti/bakalavr/","2026-07-09T06:50:43.418Z"
"Дальневосточный институт управления - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.02","Менеджмент","bachelor","","true","36","29","2026","https://habarovsk.postupi.online/vuz/diu-ranhigs/specialnosti/bakalavr/","https://habarovsk.postupi.online/vuz/diu-ranhigs/specialnosti/bakalavr/","2026-07-09T06:50:43.418Z"
"Дальневосточный институт управления - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.04","Государственное и муниципальное управление","bachelor","","true","45","15","2026","https://habarovsk.postupi.online/vuz/diu-ranhigs/specialnosti/bakalavr/","https://habarovsk.postupi.online/vuz/diu-ranhigs/specialnosti/bakalavr/","2026-07-09T06:50:43.418Z"
"Дальневосточный институт управления - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","39.03.02","Социальная работа","bachelor","","true","27","23","2026","https://habarovsk.postupi.online/vuz/diu-ranhigs/specialnosti/bakalavr/","https://habarovsk.postupi.online/vuz/diu-ranhigs/specialnosti/bakalavr/","2026-07-09T06:50:43.418Z"
"Дальневосточный институт управления - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","40.03.01","Юриспруденция","bachelor","","true","15","32","2026","https://habarovsk.postupi.online/vuz/diu-ranhigs/specialnosti/bakalavr/","https://habarovsk.postupi.online/vuz/diu-ranhigs/specialnosti/bakalavr/","2026-07-09T06:50:43.418Z"
"Дальневосточная государственная академия физической культуры","09.03.03","Прикладная информатика","bachelor","","true","5","10","2026","https://habarovsk.postupi.online/vuz/dvgafk/specialnosti/bakalavr/","https://habarovsk.postupi.online/vuz/dvgafk/specialnosti/bakalavr/","2026-07-09T06:50:43.418Z"
"Дальневосточная государственная академия физической культуры","39.03.03","Организация работы с молодежью","bachelor","","true","10","10","2026","https://habarovsk.postupi.online/vuz/dvgafk/specialnosti/bakalavr/","https://habarovsk.postupi.online/vuz/dvgafk/specialnosti/bakalavr/","2026-07-09T06:50:43.418Z"
"Дальневосточная государственная академия физической культуры","44.03.05","Педагогическое образование (с двумя профилями подготовки)","bachelor","","true","10","20","2026","https://habarovsk.postupi.online/vuz/dvgafk/specialnosti/bakalavr/","https://habarovsk.postupi.online/vuz/dvgafk/specialnosti/bakalavr/","2026-07-09T06:50:43.418Z"
"Дальневосточная государственная академия физической культуры","49.03.01","Физическая культура","bachelor","","true","45","65","2026","https://habarovsk.postupi.online/vuz/dvgafk/specialnosti/bakalavr/","https://habarovsk.postupi.online/vuz/dvgafk/specialnosti/bakalavr/","2026-07-09T06:50:43.418Z"
