institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Байкальский государственный университет","08.03.01","Строительство","bachelor","","","","20","2026","https://irkutsk.postupi.online/vuz/bgu/specialnosti/bakalavr/","https://irkutsk.postupi.online/vuz/bgu/specialnosti/bakalavr/","2026-07-09T06:50:13.199Z"
"Байкальский государственный университет","09.03.03","Прикладная информатика","bachelor","","true","45","80","2026","https://irkutsk.postupi.online/vuz/bgu/specialnosti/bakalavr/","https://irkutsk.postupi.online/vuz/bgu/specialnosti/bakalavr/","2026-07-09T06:50:13.199Z"
"Байкальский государственный университет","21.03.02","Землеустройство и кадастры","bachelor","","","","60","2026","https://irkutsk.postupi.online/vuz/bgu/specialnosti/bakalavr/","https://irkutsk.postupi.online/vuz/bgu/specialnosti/bakalavr/","2026-07-09T06:50:13.199Z"
"Байкальский государственный университет","27.03.02","Управление качеством","bachelor","","","","30","2026","https://irkutsk.postupi.online/vuz/bgu/specialnosti/bakalavr/","https://irkutsk.postupi.online/vuz/bgu/specialnosti/bakalavr/","2026-07-09T06:50:13.199Z"
"Байкальский государственный университет","35.03.01","Лесное дело","bachelor","","true","25","25","2026","https://irkutsk.postupi.online/vuz/bgu/specialnosti/bakalavr/","https://irkutsk.postupi.online/vuz/bgu/specialnosti/bakalavr/","2026-07-09T06:50:13.199Z"
"Байкальский государственный университет","37.03.01","Психология","bachelor","","","","20","2026","https://irkutsk.postupi.online/vuz/bgu/specialnosti/bakalavr/","https://irkutsk.postupi.online/vuz/bgu/specialnosti/bakalavr/","2026-07-09T06:50:13.199Z"
"Байкальский государственный университет","38.03.01","Экономика","bachelor","","true","21","189","2026","https://irkutsk.postupi.online/vuz/bgu/specialnosti/bakalavr/","https://irkutsk.postupi.online/vuz/bgu/specialnosti/bakalavr/","2026-07-09T06:50:13.199Z"
"Байкальский государственный университет","38.03.02","Менеджмент","bachelor","","true","4","58","2026","https://irkutsk.postupi.online/vuz/bgu/specialnosti/bakalavr/","https://irkutsk.postupi.online/vuz/bgu/specialnosti/bakalavr/","2026-07-09T06:50:13.199Z"
"Байкальский государственный университет","38.03.03","Управление персоналом","bachelor","","true","4","40","2026","https://irkutsk.postupi.online/vuz/bgu/specialnosti/bakalavr/","https://irkutsk.postupi.online/vuz/bgu/specialnosti/bakalavr/","2026-07-09T06:50:13.199Z"
"Байкальский государственный университет","38.03.04","Государственное и муниципальное управление","bachelor","","true","4","55","2026","https://irkutsk.postupi.online/vuz/bgu/specialnosti/bakalavr/","https://irkutsk.postupi.online/vuz/bgu/specialnosti/bakalavr/","2026-07-09T06:50:13.199Z"
