institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Ивановский филиал Российского экономического университета им. Г.В. Плеханова","09.03.03","Прикладная информатика","bachelor","","true","10","10","2026","https://ivanovo.postupi.online/vuz/if-reu/specialnosti/bakalavr/","https://ivanovo.postupi.online/vuz/if-reu/specialnosti/bakalavr/","2026-07-09T06:57:30.632Z"
"Ивановский филиал Российского экономического университета им. Г.В. Плеханова","19.03.04","Технология продукции и организация общественного питания","bachelor","","","","10","2026","https://ivanovo.postupi.online/vuz/if-reu/specialnosti/bakalavr/","https://ivanovo.postupi.online/vuz/if-reu/specialnosti/bakalavr/","2026-07-09T06:57:30.632Z"
"Ивановский филиал Российского экономического университета им. Г.В. Плеханова","27.03.05","Инноватика","bachelor","","","","20","2026","https://ivanovo.postupi.online/vuz/if-reu/specialnosti/bakalavr/","https://ivanovo.postupi.online/vuz/if-reu/specialnosti/bakalavr/","2026-07-09T06:57:30.632Z"
"Ивановский филиал Российского экономического университета им. Г.В. Плеханова","38.03.01","Экономика","bachelor","","","","60","2026","https://ivanovo.postupi.online/vuz/if-reu/specialnosti/bakalavr/","https://ivanovo.postupi.online/vuz/if-reu/specialnosti/bakalavr/","2026-07-09T06:57:30.632Z"
"Ивановский филиал Российского экономического университета им. Г.В. Плеханова","38.03.02","Менеджмент","bachelor","","","","44","2026","https://ivanovo.postupi.online/vuz/if-reu/specialnosti/bakalavr/","https://ivanovo.postupi.online/vuz/if-reu/specialnosti/bakalavr/","2026-07-09T06:57:30.632Z"
"Ивановский филиал Российского экономического университета им. Г.В. Плеханова","38.03.05","Бизнес-информатика","bachelor","","","","20","2026","https://ivanovo.postupi.online/vuz/if-reu/specialnosti/bakalavr/","https://ivanovo.postupi.online/vuz/if-reu/specialnosti/bakalavr/","2026-07-09T06:57:30.632Z"
"Ивановский филиал Российского экономического университета им. Г.В. Плеханова","38.03.06","Торговое дело","bachelor","","","","37","2026","https://ivanovo.postupi.online/vuz/if-reu/specialnosti/bakalavr/","https://ivanovo.postupi.online/vuz/if-reu/specialnosti/bakalavr/","2026-07-09T06:57:30.632Z"
"Ивановский государственный энергетический университет имени В.И. Ленина","01.03.02","Прикладная математика и информатика","bachelor","","true","12","10","2026","https://ivanovo.postupi.online/vuz/igeu/specialnosti/bakalavr/","https://ivanovo.postupi.online/vuz/igeu/specialnosti/bakalavr/","2026-07-09T06:57:30.632Z"
"Ивановский государственный энергетический университет имени В.И. Ленина","01.03.03","Механика и математическое моделирование","bachelor","","true","12","10","2026","https://ivanovo.postupi.online/vuz/igeu/specialnosti/bakalavr/","https://ivanovo.postupi.online/vuz/igeu/specialnosti/bakalavr/","2026-07-09T06:57:30.632Z"
"Ивановский государственный энергетический университет имени В.И. Ленина","09.03.01","Информатика и вычислительная техника","bachelor","","true","30","40","2026","https://ivanovo.postupi.online/vuz/igeu/specialnosti/bakalavr/","https://ivanovo.postupi.online/vuz/igeu/specialnosti/bakalavr/","2026-07-09T06:57:30.632Z"
