institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Ижевский институт (филиал) Всероссийского государственного университета юстиции (РПА Минюста России)","40.03.01","Юриспруденция","bachelor","","true","21","6","2026","https://izhevsk.postupi.online/vuz/izhevskij-filial-rpa/specialnosti/bakalavr/","https://izhevsk.postupi.online/vuz/izhevskij-filial-rpa/specialnosti/bakalavr/","2026-07-09T06:49:30.189Z"
"Ижевский филиал Российского университета кооперации","09.03.02","Информационные системы и технологии","bachelor","","","","120","2026","https://izhevsk.postupi.online/vuz/izhevskij-filial-ruk/specialnosti/bakalavr/","https://izhevsk.postupi.online/vuz/izhevskij-filial-ruk/specialnosti/bakalavr/","2026-07-09T06:49:30.189Z"
"Ижевский филиал Российского университета кооперации","19.03.04","Технология продукции и организация общественного питания","bachelor","","true","15","35","2026","https://izhevsk.postupi.online/vuz/izhevskij-filial-ruk/specialnosti/bakalavr/","https://izhevsk.postupi.online/vuz/izhevskij-filial-ruk/specialnosti/bakalavr/","2026-07-09T06:49:30.189Z"
"Ижевский филиал Российского университета кооперации","37.03.01","Психология","bachelor","","","","40","2026","https://izhevsk.postupi.online/vuz/izhevskij-filial-ruk/specialnosti/bakalavr/","https://izhevsk.postupi.online/vuz/izhevskij-filial-ruk/specialnosti/bakalavr/","2026-07-09T06:49:30.189Z"
"Ижевский филиал Российского университета кооперации","38.03.01","Экономика","bachelor","","","","26","2026","https://izhevsk.postupi.online/vuz/izhevskij-filial-ruk/specialnosti/bakalavr/","https://izhevsk.postupi.online/vuz/izhevskij-filial-ruk/specialnosti/bakalavr/","2026-07-09T06:49:30.189Z"
"Ижевский филиал Российского университета кооперации","38.03.02","Менеджмент","bachelor","","","","56","2026","https://izhevsk.postupi.online/vuz/izhevskij-filial-ruk/specialnosti/bakalavr/","https://izhevsk.postupi.online/vuz/izhevskij-filial-ruk/specialnosti/bakalavr/","2026-07-09T06:49:30.189Z"
"Ижевский филиал Российского университета кооперации","38.03.04","Государственное и муниципальное управление","bachelor","","","","13","2026","https://izhevsk.postupi.online/vuz/izhevskij-filial-ruk/specialnosti/bakalavr/","https://izhevsk.postupi.online/vuz/izhevskij-filial-ruk/specialnosti/bakalavr/","2026-07-09T06:49:30.189Z"
"Ижевский филиал Российского университета кооперации","40.03.01","Юриспруденция","bachelor","","","","40","2026","https://izhevsk.postupi.online/vuz/izhevskij-filial-ruk/specialnosti/bakalavr/","https://izhevsk.postupi.online/vuz/izhevskij-filial-ruk/specialnosti/bakalavr/","2026-07-09T06:49:30.189Z"
"Ижевский филиал Российского университета кооперации","43.03.01","Сервис","bachelor","","","","40","2026","https://izhevsk.postupi.online/vuz/izhevskij-filial-ruk/specialnosti/bakalavr/","https://izhevsk.postupi.online/vuz/izhevskij-filial-ruk/specialnosti/bakalavr/","2026-07-09T06:49:30.189Z"
"Ижевский филиал Российского университета кооперации","54.03.01","Дизайн","bachelor","","","","40","2026","https://izhevsk.postupi.online/vuz/izhevskij-filial-ruk/specialnosti/bakalavr/","https://izhevsk.postupi.online/vuz/izhevskij-filial-ruk/specialnosti/bakalavr/","2026-07-09T06:49:30.189Z"
"Удмуртский государственный аграрный университет","09.03.03","Прикладная информатика","bachelor","","","","135","2026","https://izhevsk.postupi.online/vuz/izhgsxa/specialnosti/bakalavr/","https://izhevsk.postupi.online/vuz/izhgsxa/specialnosti/bakalavr/","2026-07-09T06:49:30.189Z"
