institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Калужский филиал Финансового университета при Правительстве Российской Федерации","38.03.01","Экономика","bachelor","","true","22","64","2026","https://kaluga.postupi.online/vuz/kaluzhskij-filial-finuniversiteta/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kaluzhskij-filial-finuniversiteta/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Финансового университета при Правительстве Российской Федерации","38.03.02","Менеджмент","bachelor","","true","5","21","2026","https://kaluga.postupi.online/vuz/kaluzhskij-filial-finuniversiteta/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kaluzhskij-filial-finuniversiteta/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Финансового университета при Правительстве Российской Федерации","38.03.05","Бизнес-информатика","bachelor","","true","5","21","2026","https://kaluga.postupi.online/vuz/kaluzhskij-filial-finuniversiteta/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kaluzhskij-filial-finuniversiteta/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Финансового университета при Правительстве Российской Федерации","39.03.01","Социология","bachelor","","true","3","20","2026","https://kaluga.postupi.online/vuz/kaluzhskij-filial-finuniversiteta/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kaluzhskij-filial-finuniversiteta/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.01","Экономика","bachelor","","","","20","2026","https://kaluga.postupi.online/vuz/kaluzhskij-filial-ranhigs/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kaluzhskij-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.02","Менеджмент","bachelor","","true","15","5","2026","https://kaluga.postupi.online/vuz/kaluzhskij-filial-ranhigs/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kaluzhskij-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.04","Государственное и муниципальное управление","bachelor","","true","26","42","2026","https://kaluga.postupi.online/vuz/kaluzhskij-filial-ranhigs/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kaluzhskij-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский институт (филиал) Всероссийского государственного университета юстиции (РПА Минюста России)","40.03.01","Юриспруденция","bachelor","","true","14","123","2026","https://kaluga.postupi.online/vuz/kaluzhskij-filial-vguyu/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kaluzhskij-filial-vguyu/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский институт (филиал) Московского гуманитарно-экономического университета","37.03.01","Психология","bachelor","","","","25","2026","https://kaluga.postupi.online/vuz/kaluzhskij-institut-filial-mgeu/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kaluzhskij-institut-filial-mgeu/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский институт (филиал) Московского гуманитарно-экономического университета","40.03.01","Юриспруденция","bachelor","","","","92","2026","https://kaluga.postupi.online/vuz/kaluzhskij-institut-filial-mgeu/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kaluzhskij-institut-filial-mgeu/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский институт (филиал) Московского гуманитарно-экономического университета","42.03.01","Реклама и связи с общественностью","bachelor","","","","42","2026","https://kaluga.postupi.online/vuz/kaluzhskij-institut-filial-mgeu/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kaluzhskij-institut-filial-mgeu/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский институт (филиал) Московского гуманитарно-экономического университета","42.03.02","Журналистика","bachelor","","","","30","2026","https://kaluga.postupi.online/vuz/kaluzhskij-institut-filial-mgeu/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kaluzhskij-institut-filial-mgeu/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский институт (филиал) Московского гуманитарно-экономического университета","54.03.01","Дизайн","bachelor","","","","106","2026","https://kaluga.postupi.online/vuz/kaluzhskij-institut-filial-mgeu/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kaluzhskij-institut-filial-mgeu/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Московского государственного технического университета имени Н.Э. Баумана (национальный исследовательский университет)","09.03.01","Информатика и вычислительная техника","bachelor","","true","84","30","2026","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Московского государственного технического университета имени Н.Э. Баумана (национальный исследовательский университет)","09.03.02","Информационные системы и технологии","bachelor","","true","22","8","2026","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Московского государственного технического университета имени Н.Э. Баумана (национальный исследовательский университет)","09.03.03","Прикладная информатика","bachelor","","true","22","8","2026","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Московского государственного технического университета имени Н.Э. Баумана (национальный исследовательский университет)","09.03.04","Программная инженерия","bachelor","","true","60","30","2026","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Московского государственного технического университета имени Н.Э. Баумана (национальный исследовательский университет)","11.03.03","Конструирование и технология электронных средств","bachelor","","true","40","15","2026","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Московского государственного технического университета имени Н.Э. Баумана (национальный исследовательский университет)","12.03.04","Биотехнические системы и технологии","bachelor","","true","23","7","2026","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Московского государственного технического университета имени Н.Э. Баумана (национальный исследовательский университет)","13.03.03","Энергетическое машиностроение","bachelor","","true","19","10","2026","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Московского государственного технического университета имени Н.Э. Баумана (национальный исследовательский университет)","15.03.01","Машиностроение","bachelor","","true","47","13","2026","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Московского государственного технического университета имени Н.Э. Баумана (национальный исследовательский университет)","15.03.06","Мехатроника и робототехника","bachelor","","true","32","20","2026","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Московского государственного технического университета имени Н.Э. Баумана (национальный исследовательский университет)","27.03.02","Управление качеством","bachelor","","true","18","10","2026","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Московского государственного технического университета имени Н.Э. Баумана (национальный исследовательский университет)","27.03.03","Системный анализ и управление","bachelor","","true","19","10","2026","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Московского государственного технического университета имени Н.Э. Баумана (национальный исследовательский университет)","27.03.04","Управление в технических системах","bachelor","","true","17","10","2026","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Московского государственного технического университета имени Н.Э. Баумана (национальный исследовательский университет)","27.03.05","Инноватика","bachelor","","true","24","6","2026","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kf-mgtu-im-n-e-baumana/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Российского государственного аграрного университета - МСХА имени К.А. Тимирязева","21.03.02","Землеустройство и кадастры","bachelor","","","","75","2026","https://kaluga.postupi.online/vuz/kf-rgau-msha/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kf-rgau-msha/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Российского государственного аграрного университета - МСХА имени К.А. Тимирязева","35.03.04","Агрономия","bachelor","","true","24","40","2026","https://kaluga.postupi.online/vuz/kf-rgau-msha/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kf-rgau-msha/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Российского государственного аграрного университета - МСХА имени К.А. Тимирязева","35.03.05","Садоводство","bachelor","","true","16","14","2026","https://kaluga.postupi.online/vuz/kf-rgau-msha/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kf-rgau-msha/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Российского государственного аграрного университета - МСХА имени К.А. Тимирязева","35.03.06","Агроинженерия","bachelor","","true","35","65","2026","https://kaluga.postupi.online/vuz/kf-rgau-msha/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kf-rgau-msha/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Российского государственного аграрного университета - МСХА имени К.А. Тимирязева","35.03.07","Технология производства и переработки сельскохозяйственной продукции","bachelor","","","","45","2026","https://kaluga.postupi.online/vuz/kf-rgau-msha/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kf-rgau-msha/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
"Калужский филиал Российского государственного аграрного университета - МСХА имени К.А. Тимирязева","36.03.02","Зоотехния","bachelor","","true","26","40","2026","https://kaluga.postupi.online/vuz/kf-rgau-msha/specialnosti/bakalavr/","https://kaluga.postupi.online/vuz/kf-rgau-msha/specialnosti/bakalavr/","2026-07-09T06:58:12.263Z"
