institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","01.03.02","Прикладная математика и информатика","bachelor","","true","30","22","2026","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","2026-07-08T20:34:59.161Z"
"Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","09.03.01","Информатика и вычислительная техника","bachelor","","true","164","45","2026","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","2026-07-08T20:34:59.161Z"
"Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","09.03.02","Информационные системы и технологии","bachelor","","true","55","120","2026","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","2026-07-08T20:34:59.161Z"
"Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","09.03.03","Прикладная информатика","bachelor","","true","40","15","2026","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","2026-07-08T20:34:59.161Z"
"Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","09.03.04","Программная инженерия","bachelor","","true","30","135","2026","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","2026-07-08T20:34:59.161Z"
"Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","10.03.01","Информационная безопасность","bachelor","","true","40","25","2026","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","2026-07-08T20:34:59.161Z"
"Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","11.03.01","Радиотехника","bachelor","","true","66","10","2026","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","2026-07-08T20:34:59.161Z"
"Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","11.03.02","Инфокоммуникационные технологии и системы связи","bachelor","","true","101","70","2026","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","2026-07-08T20:34:59.161Z"
"Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","11.03.03","Конструирование и технология электронных средств","bachelor","","true","44","10","2026","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","2026-07-08T20:34:59.161Z"
"Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","11.03.04","Электроника и наноэлектроника","bachelor","","true","25","10","2026","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","2026-07-08T20:34:59.161Z"
"Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","12.03.01","Приборостроение","bachelor","","true","18","10","2026","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","2026-07-08T20:34:59.161Z"
"Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","12.03.02","Оптотехника","bachelor","","true","15","10","2026","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","2026-07-08T20:34:59.161Z"
"Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","12.03.04","Биотехнические системы и технологии","bachelor","","true","43","25","2026","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","2026-07-08T20:34:59.161Z"
"Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","12.03.05","Лазерная техника и лазерные технологии","bachelor","","true","25","8","2026","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","2026-07-08T20:34:59.161Z"
"Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","13.03.01","Теплоэнергетика и теплотехника","bachelor","","true","20","8","2026","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","2026-07-08T20:34:59.161Z"
"Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","13.03.02","Электроэнергетика и электротехника","bachelor","","true","62","15","2026","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","2026-07-08T20:34:59.161Z"
"Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","13.03.03","Энергетическое машиностроение","bachelor","","true","34","44","2026","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","2026-07-08T20:34:59.161Z"
"Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","15.03.01","Машиностроение","bachelor","","true","18","68","2026","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","2026-07-08T20:34:59.161Z"
"Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","15.03.05","Конструкторско-технологическое обеспечение машиностроительных производств","bachelor","","true","77","146","2026","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","https://kazan.postupi.online/vuz/kai/specialnosti/bakalavr/","2026-07-08T20:34:59.161Z"
