institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Кузбасский государственный аграрный университет имени В.Н. Полецкова","35.03.01","Лесное дело","bachelor","","true","45","7","2026","https://kemerovo.postupi.online/vuz/kemerovskij-gshi/specialnosti/bakalavr/","https://kemerovo.postupi.online/vuz/kemerovskij-gshi/specialnosti/bakalavr/","2026-07-09T06:53:23.515Z"
"Кузбасский государственный аграрный университет имени В.Н. Полецкова","35.03.04","Агрономия","bachelor","","true","80","15","2026","https://kemerovo.postupi.online/vuz/kemerovskij-gshi/specialnosti/bakalavr/","https://kemerovo.postupi.online/vuz/kemerovskij-gshi/specialnosti/bakalavr/","2026-07-09T06:53:23.515Z"
"Кузбасский государственный аграрный университет имени В.Н. Полецкова","35.03.06","Агроинженерия","bachelor","","true","95","25","2026","https://kemerovo.postupi.online/vuz/kemerovskij-gshi/specialnosti/bakalavr/","https://kemerovo.postupi.online/vuz/kemerovskij-gshi/specialnosti/bakalavr/","2026-07-09T06:53:23.515Z"
"Кузбасский государственный аграрный университет имени В.Н. Полецкова","35.03.07","Технология производства и переработки сельскохозяйственной продукции","bachelor","","true","60","10","2026","https://kemerovo.postupi.online/vuz/kemerovskij-gshi/specialnosti/bakalavr/","https://kemerovo.postupi.online/vuz/kemerovskij-gshi/specialnosti/bakalavr/","2026-07-09T06:53:23.515Z"
"Кузбасский государственный аграрный университет имени В.Н. Полецкова","35.03.10","Ландшафтная архитектура","bachelor","","true","67","15","2026","https://kemerovo.postupi.online/vuz/kemerovskij-gshi/specialnosti/bakalavr/","https://kemerovo.postupi.online/vuz/kemerovskij-gshi/specialnosti/bakalavr/","2026-07-09T06:53:23.515Z"
"Кузбасский государственный аграрный университет имени В.Н. Полецкова","36.03.01","Ветеринарно-санитарная экспертиза","bachelor","","true","43","10","2026","https://kemerovo.postupi.online/vuz/kemerovskij-gshi/specialnosti/bakalavr/","https://kemerovo.postupi.online/vuz/kemerovskij-gshi/specialnosti/bakalavr/","2026-07-09T06:53:23.515Z"
"Кузбасский государственный аграрный университет имени В.Н. Полецкова","36.03.02","Зоотехния","bachelor","","true","80","20","2026","https://kemerovo.postupi.online/vuz/kemerovskij-gshi/specialnosti/bakalavr/","https://kemerovo.postupi.online/vuz/kemerovskij-gshi/specialnosti/bakalavr/","2026-07-09T06:53:23.515Z"
"Кузбасский государственный аграрный университет имени В.Н. Полецкова","44.03.01","Педагогическое образование","bachelor","","","","50","2026","https://kemerovo.postupi.online/vuz/kemerovskij-gshi/specialnosti/bakalavr/","https://kemerovo.postupi.online/vuz/kemerovskij-gshi/specialnosti/bakalavr/","2026-07-09T06:53:23.515Z"
"Кемеровский государственный институт культуры","29.03.04","Технология художественной обработки материалов","bachelor","","true","7","","2026","https://kemerovo.postupi.online/vuz/kemgik/specialnosti/bakalavr/","https://kemerovo.postupi.online/vuz/kemgik/specialnosti/bakalavr/","2026-07-09T06:53:23.515Z"
"Кемеровский государственный институт культуры","43.03.02","Туризм","bachelor","","true","10","7","2026","https://kemerovo.postupi.online/vuz/kemgik/specialnosti/bakalavr/","https://kemerovo.postupi.online/vuz/kemgik/specialnosti/bakalavr/","2026-07-09T06:53:23.515Z"
"Кемеровский государственный институт культуры","44.03.01","Педагогическое образование","bachelor","","true","25","3","2026","https://kemerovo.postupi.online/vuz/kemgik/specialnosti/bakalavr/","https://kemerovo.postupi.online/vuz/kemgik/specialnosti/bakalavr/","2026-07-09T06:53:23.515Z"
"Кемеровский государственный институт культуры","46.03.02","Документоведение и архивоведение","bachelor","","true","10","10","2026","https://kemerovo.postupi.online/vuz/kemgik/specialnosti/bakalavr/","https://kemerovo.postupi.online/vuz/kemgik/specialnosti/bakalavr/","2026-07-09T06:53:23.515Z"
"Кемеровский государственный институт культуры","50.03.01","Искусства и гуманитарные науки","bachelor","","","","8","2026","https://kemerovo.postupi.online/vuz/kemgik/specialnosti/bakalavr/","https://kemerovo.postupi.online/vuz/kemgik/specialnosti/bakalavr/","2026-07-09T06:53:23.515Z"
"Кемеровский государственный институт культуры","50.03.04","Теория и история искусств","bachelor","","true","10","2","2026","https://kemerovo.postupi.online/vuz/kemgik/specialnosti/bakalavr/","https://kemerovo.postupi.online/vuz/kemgik/specialnosti/bakalavr/","2026-07-09T06:53:23.515Z"
"Кемеровский государственный институт культуры","51.03.01","Культурология","bachelor","","true","6","","2026","https://kemerovo.postupi.online/vuz/kemgik/specialnosti/bakalavr/","https://kemerovo.postupi.online/vuz/kemgik/specialnosti/bakalavr/","2026-07-09T06:53:23.515Z"
