institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Костромская государственная сельскохозяйственная академия","07.03.01","Архитектура","bachelor","","","","30","2026","https://kostroma.postupi.online/vuz/kgsha/specialnosti/bakalavr/","https://kostroma.postupi.online/vuz/kgsha/specialnosti/bakalavr/","2026-07-09T07:00:36.078Z"
"Костромская государственная сельскохозяйственная академия","08.03.01","Строительство","bachelor","","true","35","83","2026","https://kostroma.postupi.online/vuz/kgsha/specialnosti/bakalavr/","https://kostroma.postupi.online/vuz/kgsha/specialnosti/bakalavr/","2026-07-09T07:00:36.078Z"
"Костромская государственная сельскохозяйственная академия","13.03.02","Электроэнергетика и электротехника","bachelor","","true","25","48","2026","https://kostroma.postupi.online/vuz/kgsha/specialnosti/bakalavr/","https://kostroma.postupi.online/vuz/kgsha/specialnosti/bakalavr/","2026-07-09T07:00:36.078Z"
"Костромская государственная сельскохозяйственная академия","35.03.04","Агрономия","bachelor","","true","30","15","2026","https://kostroma.postupi.online/vuz/kgsha/specialnosti/bakalavr/","https://kostroma.postupi.online/vuz/kgsha/specialnosti/bakalavr/","2026-07-09T07:00:36.078Z"
"Костромская государственная сельскохозяйственная академия","35.03.05","Садоводство","bachelor","","true","15","20","2026","https://kostroma.postupi.online/vuz/kgsha/specialnosti/bakalavr/","https://kostroma.postupi.online/vuz/kgsha/specialnosti/bakalavr/","2026-07-09T07:00:36.078Z"
"Костромская государственная сельскохозяйственная академия","35.03.06","Агроинженерия","bachelor","","true","148","60","2026","https://kostroma.postupi.online/vuz/kgsha/specialnosti/bakalavr/","https://kostroma.postupi.online/vuz/kgsha/specialnosti/bakalavr/","2026-07-09T07:00:36.078Z"
"Костромская государственная сельскохозяйственная академия","35.03.10","Ландшафтная архитектура","bachelor","","true","36","23","2026","https://kostroma.postupi.online/vuz/kgsha/specialnosti/bakalavr/","https://kostroma.postupi.online/vuz/kgsha/specialnosti/bakalavr/","2026-07-09T07:00:36.078Z"
"Костромская государственная сельскохозяйственная академия","36.03.02","Зоотехния","bachelor","","true","25","16","2026","https://kostroma.postupi.online/vuz/kgsha/specialnosti/bakalavr/","https://kostroma.postupi.online/vuz/kgsha/specialnosti/bakalavr/","2026-07-09T07:00:36.078Z"
"Костромская государственная сельскохозяйственная академия","38.03.01","Экономика","bachelor","","","","89","2026","https://kostroma.postupi.online/vuz/kgsha/specialnosti/bakalavr/","https://kostroma.postupi.online/vuz/kgsha/specialnosti/bakalavr/","2026-07-09T07:00:36.078Z"
"Костромская государственная сельскохозяйственная академия","38.03.02","Менеджмент","bachelor","","","","10","2026","https://kostroma.postupi.online/vuz/kgsha/specialnosti/bakalavr/","https://kostroma.postupi.online/vuz/kgsha/specialnosti/bakalavr/","2026-07-09T07:00:36.078Z"
