institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Академия маркетинга и социально-информационных технологий - ИМСИТ","09.03.01","Информатика и вычислительная техника","bachelor","","","","160","2026","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","2026-07-09T06:48:16.725Z"
"Академия маркетинга и социально-информационных технологий - ИМСИТ","09.03.03","Прикладная информатика","bachelor","","","","120","2026","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","2026-07-09T06:48:16.725Z"
"Академия маркетинга и социально-информационных технологий - ИМСИТ","09.03.04","Программная инженерия","bachelor","","","","110","2026","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","2026-07-09T06:48:16.725Z"
"Академия маркетинга и социально-информационных технологий - ИМСИТ","10.03.01","Информационная безопасность","bachelor","","","","65","2026","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","2026-07-09T06:48:16.725Z"
"Академия маркетинга и социально-информационных технологий - ИМСИТ","21.03.02","Землеустройство и кадастры","bachelor","","","","75","2026","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","2026-07-09T06:48:16.725Z"
"Академия маркетинга и социально-информационных технологий - ИМСИТ","37.03.01","Психология","bachelor","","","","70","2026","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","2026-07-09T06:48:16.725Z"
"Академия маркетинга и социально-информационных технологий - ИМСИТ","38.03.01","Экономика","bachelor","","","","15","2026","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","2026-07-09T06:48:16.725Z"
"Академия маркетинга и социально-информационных технологий - ИМСИТ","38.03.02","Менеджмент","bachelor","","","","25","2026","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","2026-07-09T06:48:16.725Z"
"Академия маркетинга и социально-информационных технологий - ИМСИТ","38.03.03","Управление персоналом","bachelor","","","","40","2026","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","2026-07-09T06:48:16.725Z"
"Академия маркетинга и социально-информационных технологий - ИМСИТ","38.03.04","Государственное и муниципальное управление","bachelor","","","","19","2026","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","2026-07-09T06:48:16.725Z"
"Академия маркетинга и социально-информационных технологий - ИМСИТ","40.03.01","Юриспруденция","bachelor","","","","90","2026","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","2026-07-09T06:48:16.725Z"
"Академия маркетинга и социально-информационных технологий - ИМСИТ","41.03.01","Зарубежное регионоведение","bachelor","","","","25","2026","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","2026-07-09T06:48:16.725Z"
"Академия маркетинга и социально-информационных технологий - ИМСИТ","42.03.01","Реклама и связи с общественностью","bachelor","","","","50","2026","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","2026-07-09T06:48:16.725Z"
"Академия маркетинга и социально-информационных технологий - ИМСИТ","43.03.02","Туризм","bachelor","","","","50","2026","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","2026-07-09T06:48:16.725Z"
"Академия маркетинга и социально-информационных технологий - ИМСИТ","43.03.03","Гостиничное дело","bachelor","","","","50","2026","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","2026-07-09T06:48:16.725Z"
"Академия маркетинга и социально-информационных технологий - ИМСИТ","44.03.01","Педагогическое образование","bachelor","","","","30","2026","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","https://krasnodar.postupi.online/vuz/imsit/specialnosti/bakalavr/","2026-07-09T06:48:16.725Z"
