institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Сибирский государственный институт искусств имени Дмитрия Хворостовского","51.03.02","Народная художественная культура","bachelor","","true","9","14","2026","https://krasnoyarsk.postupi.online/vuz/kgii/specialnosti/bakalavr/","https://krasnoyarsk.postupi.online/vuz/kgii/specialnosti/bakalavr/","2026-07-08T20:38:33.300Z"
"Сибирский государственный институт искусств имени Дмитрия Хворостовского","52.03.01","Хореографическое искусство","bachelor","","true","12","5","2026","https://krasnoyarsk.postupi.online/vuz/kgii/specialnosti/bakalavr/","https://krasnoyarsk.postupi.online/vuz/kgii/specialnosti/bakalavr/","2026-07-08T20:38:33.300Z"
"Сибирский государственный институт искусств имени Дмитрия Хворостовского","53.03.02","Музыкально-инструментальное искусство","bachelor","","true","17","23","2026","https://krasnoyarsk.postupi.online/vuz/kgii/specialnosti/bakalavr/","https://krasnoyarsk.postupi.online/vuz/kgii/specialnosti/bakalavr/","2026-07-08T20:38:33.300Z"
"Сибирский государственный институт искусств имени Дмитрия Хворостовского","53.03.03","Вокальное искусство","bachelor","","true","6","","2026","https://krasnoyarsk.postupi.online/vuz/kgii/specialnosti/bakalavr/","https://krasnoyarsk.postupi.online/vuz/kgii/specialnosti/bakalavr/","2026-07-08T20:38:33.300Z"
"Сибирский государственный институт искусств имени Дмитрия Хворостовского","53.03.04","Искусство народного пения","bachelor","","true","7","11","2026","https://krasnoyarsk.postupi.online/vuz/kgii/specialnosti/bakalavr/","https://krasnoyarsk.postupi.online/vuz/kgii/specialnosti/bakalavr/","2026-07-08T20:38:33.300Z"
"Сибирский государственный институт искусств имени Дмитрия Хворостовского","53.03.05","Дирижирование","bachelor","","true","6","5","2026","https://krasnoyarsk.postupi.online/vuz/kgii/specialnosti/bakalavr/","https://krasnoyarsk.postupi.online/vuz/kgii/specialnosti/bakalavr/","2026-07-08T20:38:33.300Z"
"Сибирский государственный институт искусств имени Дмитрия Хворостовского","53.03.06","Музыкознание и музыкально-прикладное искусство","bachelor","","true","8","5","2026","https://krasnoyarsk.postupi.online/vuz/kgii/specialnosti/bakalavr/","https://krasnoyarsk.postupi.online/vuz/kgii/specialnosti/bakalavr/","2026-07-08T20:38:33.300Z"
"Сибирский государственный институт искусств имени Дмитрия Хворостовского","54.03.01","Дизайн","bachelor","","true","12","12","2026","https://krasnoyarsk.postupi.online/vuz/kgii/specialnosti/bakalavr/","https://krasnoyarsk.postupi.online/vuz/kgii/specialnosti/bakalavr/","2026-07-08T20:38:33.300Z"
"Сибирский государственный институт искусств имени Дмитрия Хворостовского","54.03.02","Декоративно-прикладное искусство и народные промыслы","bachelor","","true","7","3","2026","https://krasnoyarsk.postupi.online/vuz/kgii/specialnosti/bakalavr/","https://krasnoyarsk.postupi.online/vuz/kgii/specialnosti/bakalavr/","2026-07-08T20:38:33.300Z"
"Красноярский государственный педагогический университет им. В.П. Астафьева","44.03.01","Педагогическое образование","bachelor","","true","199","304","2026","https://krasnoyarsk.postupi.online/vuz/kgpu-im-v-p-astafeva/specialnosti/bakalavr/","https://krasnoyarsk.postupi.online/vuz/kgpu-im-v-p-astafeva/specialnosti/bakalavr/","2026-07-08T20:38:33.300Z"
