institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Курская академия государственной и муниципальной службы","38.03.01","Экономика","bachelor","","true","17","14","2026","https://kursk.postupi.online/vuz/kagms/specialnosti/bakalavr/","https://kursk.postupi.online/vuz/kagms/specialnosti/bakalavr/","2026-07-09T06:59:05.322Z"
"Курская академия государственной и муниципальной службы","38.03.04","Государственное и муниципальное управление","bachelor","","true","18","32","2026","https://kursk.postupi.online/vuz/kagms/specialnosti/bakalavr/","https://kursk.postupi.online/vuz/kagms/specialnosti/bakalavr/","2026-07-09T06:59:05.322Z"
"Курская академия государственной и муниципальной службы","40.03.01","Юриспруденция","bachelor","","true","13","61","2026","https://kursk.postupi.online/vuz/kagms/specialnosti/bakalavr/","https://kursk.postupi.online/vuz/kagms/specialnosti/bakalavr/","2026-07-09T06:59:05.322Z"
"Курский государственный университет","01.03.02","Прикладная математика и информатика","bachelor","","true","21","20","2026","https://kursk.postupi.online/vuz/kgu-kursk/specialnosti/bakalavr/","https://kursk.postupi.online/vuz/kgu-kursk/specialnosti/bakalavr/","2026-07-09T06:59:05.322Z"
"Курский государственный университет","02.03.03","Математическое обеспечение и администрирование информационных систем","bachelor","","true","17","20","2026","https://kursk.postupi.online/vuz/kgu-kursk/specialnosti/bakalavr/","https://kursk.postupi.online/vuz/kgu-kursk/specialnosti/bakalavr/","2026-07-09T06:59:05.322Z"
"Курский государственный университет","07.03.01","Архитектура","bachelor","","true","11","3","2026","https://kursk.postupi.online/vuz/kgu-kursk/specialnosti/bakalavr/","https://kursk.postupi.online/vuz/kgu-kursk/specialnosti/bakalavr/","2026-07-09T06:59:05.322Z"
"Курский государственный университет","08.03.01","Строительство","bachelor","","","","45","2026","https://kursk.postupi.online/vuz/kgu-kursk/specialnosti/bakalavr/","https://kursk.postupi.online/vuz/kgu-kursk/specialnosti/bakalavr/","2026-07-09T06:59:05.322Z"
"Курский государственный университет","09.03.01","Информатика и вычислительная техника","bachelor","","true","24","65","2026","https://kursk.postupi.online/vuz/kgu-kursk/specialnosti/bakalavr/","https://kursk.postupi.online/vuz/kgu-kursk/specialnosti/bakalavr/","2026-07-09T06:59:05.322Z"
"Курский государственный университет","10.03.01","Информационная безопасность","bachelor","","true","25","3","2026","https://kursk.postupi.online/vuz/kgu-kursk/specialnosti/bakalavr/","https://kursk.postupi.online/vuz/kgu-kursk/specialnosti/bakalavr/","2026-07-09T06:59:05.322Z"
"Курский государственный университет","11.03.04","Электроника и наноэлектроника","bachelor","","true","12","1","2026","https://kursk.postupi.online/vuz/kgu-kursk/specialnosti/bakalavr/","https://kursk.postupi.online/vuz/kgu-kursk/specialnosti/bakalavr/","2026-07-09T06:59:05.322Z"
"Курский государственный университет","18.03.01","Химическая технология","bachelor","","true","15","3","2026","https://kursk.postupi.online/vuz/kgu-kursk/specialnosti/bakalavr/","https://kursk.postupi.online/vuz/kgu-kursk/specialnosti/bakalavr/","2026-07-09T06:59:05.322Z"
"Курский государственный университет","20.03.01","Техносферная безопасность","bachelor","","true","7","48","2026","https://kursk.postupi.online/vuz/kgu-kursk/specialnosti/bakalavr/","https://kursk.postupi.online/vuz/kgu-kursk/specialnosti/bakalavr/","2026-07-09T06:59:05.322Z"
