institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Магнитогорская государственная консерватория (академия) имени М.И. Глинки","44.03.01","Педагогическое образование","bachelor","","true","10","4","2026","https://magnitogorsk.postupi.online/vuz/magk-im-m-i-glinki/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/magk-im-m-i-glinki/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорская государственная консерватория (академия) имени М.И. Глинки","53.03.01","Музыкальное искусство эстрады","bachelor","","true","10","2","2026","https://magnitogorsk.postupi.online/vuz/magk-im-m-i-glinki/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/magk-im-m-i-glinki/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорская государственная консерватория (академия) имени М.И. Глинки","53.03.02","Музыкально-инструментальное искусство","bachelor","","true","16","1","2026","https://magnitogorsk.postupi.online/vuz/magk-im-m-i-glinki/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/magk-im-m-i-glinki/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорская государственная консерватория (академия) имени М.И. Глинки","53.03.03","Вокальное искусство","bachelor","","true","3","2","2026","https://magnitogorsk.postupi.online/vuz/magk-im-m-i-glinki/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/magk-im-m-i-glinki/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорская государственная консерватория (академия) имени М.И. Глинки","53.03.05","Дирижирование","bachelor","","true","3","1","2026","https://magnitogorsk.postupi.online/vuz/magk-im-m-i-glinki/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/magk-im-m-i-glinki/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорская государственная консерватория (академия) имени М.И. Глинки","53.03.06","Музыкознание и музыкально-прикладное искусство","bachelor","","true","3","2","2026","https://magnitogorsk.postupi.online/vuz/magk-im-m-i-glinki/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/magk-im-m-i-glinki/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорский государственный технический университет им. Г. И. Носова","01.03.02","Прикладная математика и информатика","bachelor","","true","25","5","2026","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорский государственный технический университет им. Г. И. Носова","07.03.01","Архитектура","bachelor","","true","32","6","2026","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорский государственный технический университет им. Г. И. Носова","08.03.01","Строительство","bachelor","","true","75","45","2026","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорский государственный технический университет им. Г. И. Носова","09.03.01","Информатика и вычислительная техника","bachelor","","true","75","60","2026","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорский государственный технический университет им. Г. И. Носова","09.03.03","Прикладная информатика","bachelor","","true","50","10","2026","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорский государственный технический университет им. Г. И. Носова","11.03.04","Электроника и наноэлектроника","bachelor","","true","27","5","2026","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорский государственный технический университет им. Г. И. Носова","12.03.01","Приборостроение","bachelor","","","","20","2026","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорский государственный технический университет им. Г. И. Носова","13.03.01","Теплоэнергетика и теплотехника","bachelor","","true","25","5","2026","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорский государственный технический университет им. Г. И. Носова","13.03.02","Электроэнергетика и электротехника","bachelor","","true","60","105","2026","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорский государственный технический университет им. Г. И. Носова","15.03.01","Машиностроение","bachelor","","true","24","30","2026","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорский государственный технический университет им. Г. И. Носова","15.03.02","Технологические машины и оборудование","bachelor","","true","23","30","2026","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорский государственный технический университет им. Г. И. Носова","15.03.05","Конструкторско-технологическое обеспечение машиностроительных производств","bachelor","","true","24","","2026","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорский государственный технический университет им. Г. И. Носова","15.03.06","Мехатроника и робототехника","bachelor","","true","24","5","2026","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорский государственный технический университет им. Г. И. Носова","18.03.01","Химическая технология","bachelor","","true","25","5","2026","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорский государственный технический университет им. Г. И. Носова","20.03.01","Техносферная безопасность","bachelor","","true","25","40","2026","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорский государственный технический университет им. Г. И. Носова","22.03.01","Материаловедение и технологии материалов","bachelor","","true","25","5","2026","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорский государственный технический университет им. Г. И. Носова","22.03.02","Металлургия","bachelor","","true","110","100","2026","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорский государственный технический университет им. Г. И. Носова","27.03.01","Стандартизация и метрология","bachelor","","true","23","5","2026","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорский государственный технический университет им. Г. И. Носова","27.03.04","Управление в технических системах","bachelor","","true","23","35","2026","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
"Магнитогорский государственный технический университет им. Г. И. Носова","29.03.03","Технология полиграфического и упаковочного производства","bachelor","","true","25","5","2026","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","https://magnitogorsk.postupi.online/vuz/mgtu-im-nosova/specialnosti/bakalavr/","2026-07-09T07:01:32.139Z"
