institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Академия управления и производства","09.03.02","Информационные системы и технологии","bachelor","","","","530","2026","https://msk.postupi.online/vuz/akademiya-upravleniya-i-proizvodstva/specialnosti/bakalavr/","https://msk.postupi.online/vuz/akademiya-upravleniya-i-proizvodstva/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Академия управления и производства","13.03.02","Электроэнергетика и электротехника","bachelor","","","","830","2026","https://msk.postupi.online/vuz/akademiya-upravleniya-i-proizvodstva/specialnosti/bakalavr/","https://msk.postupi.online/vuz/akademiya-upravleniya-i-proizvodstva/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Академия управления и производства","37.03.01","Психология","bachelor","","","","357","2026","https://msk.postupi.online/vuz/akademiya-upravleniya-i-proizvodstva/specialnosti/bakalavr/","https://msk.postupi.online/vuz/akademiya-upravleniya-i-proizvodstva/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Академия управления и производства","38.03.01","Экономика","bachelor","","","","202","2026","https://msk.postupi.online/vuz/akademiya-upravleniya-i-proizvodstva/specialnosti/bakalavr/","https://msk.postupi.online/vuz/akademiya-upravleniya-i-proizvodstva/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Академия управления и производства","38.03.02","Менеджмент","bachelor","","","","429","2026","https://msk.postupi.online/vuz/akademiya-upravleniya-i-proizvodstva/specialnosti/bakalavr/","https://msk.postupi.online/vuz/akademiya-upravleniya-i-proizvodstva/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Академия управления и производства","38.03.04","Государственное и муниципальное управление","bachelor","","","","378","2026","https://msk.postupi.online/vuz/akademiya-upravleniya-i-proizvodstva/specialnosti/bakalavr/","https://msk.postupi.online/vuz/akademiya-upravleniya-i-proizvodstva/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Академия управления и производства","40.03.01","Юриспруденция","bachelor","","","","533","2026","https://msk.postupi.online/vuz/akademiya-upravleniya-i-proizvodstva/specialnosti/bakalavr/","https://msk.postupi.online/vuz/akademiya-upravleniya-i-proizvodstva/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Академия управления и производства","44.03.01","Педагогическое образование","bachelor","","","","530","2026","https://msk.postupi.online/vuz/akademiya-upravleniya-i-proizvodstva/specialnosti/bakalavr/","https://msk.postupi.online/vuz/akademiya-upravleniya-i-proizvodstva/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Академия труда и социальных отношений","20.03.01","Техносферная безопасность","bachelor","","","","40","2026","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Академия труда и социальных отношений","27.03.05","Инноватика","bachelor","","","","5","2026","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Академия труда и социальных отношений","37.03.01","Психология","bachelor","","","","10","2026","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Академия труда и социальных отношений","38.03.01","Экономика","bachelor","","","","14","2026","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Академия труда и социальных отношений","38.03.03","Управление персоналом","bachelor","","","","20","2026","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Академия труда и социальных отношений","39.03.02","Социальная работа","bachelor","","","","120","2026","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Академия труда и социальных отношений","41.03.04","Политология","bachelor","","","","130","2026","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Академия труда и социальных отношений","42.03.01","Реклама и связи с общественностью","bachelor","","","","25","2026","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Академия труда и социальных отношений","43.03.01","Сервис","bachelor","","","","40","2026","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Академия труда и социальных отношений","43.03.02","Туризм","bachelor","","","","150","2026","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Академия труда и социальных отношений","43.03.03","Гостиничное дело","bachelor","","","","150","2026","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Академия труда и социальных отношений","44.03.04","Профессиональное обучение (по отраслям)","bachelor","","","","5","2026","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Академия труда и социальных отношений","45.03.02","Лингвистика","bachelor","","","","20","2026","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","https://msk.postupi.online/vuz/atiso/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Белорусско-Российский университет","01.03.04","Прикладная математика","bachelor","","true","20","","2026","https://msk.postupi.online/vuz/belorussko-rossiyskiy-universitet/specialnosti/bakalavr/","https://msk.postupi.online/vuz/belorussko-rossiyskiy-universitet/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
"Белорусско-Российский университет","09.03.01","Информатика и вычислительная техника","bachelor","","true","15","","2026","https://msk.postupi.online/vuz/belorussko-rossiyskiy-universitet/specialnosti/bakalavr/","https://msk.postupi.online/vuz/belorussko-rossiyskiy-universitet/specialnosti/bakalavr/","2026-07-08T20:19:37.483Z"
