institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Мурманский арктический университет","08.03.01","Строительство","bachelor","","true","23","16","2026","https://murmansk.postupi.online/vuz/murmanskiy-arkticheskiy-gosudarstvennyy-universitet/specialnosti/bakalavr/","https://murmansk.postupi.online/vuz/murmanskiy-arkticheskiy-gosudarstvennyy-universitet/specialnosti/bakalavr/","2026-07-09T07:00:42.841Z"
"Мурманский арктический университет","09.03.01","Информатика и вычислительная техника","bachelor","","true","47","18","2026","https://murmansk.postupi.online/vuz/murmanskiy-arkticheskiy-gosudarstvennyy-universitet/specialnosti/bakalavr/","https://murmansk.postupi.online/vuz/murmanskiy-arkticheskiy-gosudarstvennyy-universitet/specialnosti/bakalavr/","2026-07-09T07:00:42.841Z"
"Мурманский арктический университет","09.03.02","Информационные системы и технологии","bachelor","","true","16","3","2026","https://murmansk.postupi.online/vuz/murmanskiy-arkticheskiy-gosudarstvennyy-universitet/specialnosti/bakalavr/","https://murmansk.postupi.online/vuz/murmanskiy-arkticheskiy-gosudarstvennyy-universitet/specialnosti/bakalavr/","2026-07-09T07:00:42.841Z"
"Мурманский арктический университет","09.03.03","Прикладная информатика","bachelor","","true","16","3","2026","https://murmansk.postupi.online/vuz/murmanskiy-arkticheskiy-gosudarstvennyy-universitet/specialnosti/bakalavr/","https://murmansk.postupi.online/vuz/murmanskiy-arkticheskiy-gosudarstvennyy-universitet/specialnosti/bakalavr/","2026-07-09T07:00:42.841Z"
"Мурманский арктический университет","13.03.01","Теплоэнергетика и теплотехника","bachelor","","true","22","13","2026","https://murmansk.postupi.online/vuz/murmanskiy-arkticheskiy-gosudarstvennyy-universitet/specialnosti/bakalavr/","https://murmansk.postupi.online/vuz/murmanskiy-arkticheskiy-gosudarstvennyy-universitet/specialnosti/bakalavr/","2026-07-09T07:00:42.841Z"
"Мурманский арктический университет","13.03.02","Электроэнергетика и электротехника","bachelor","","true","24","12","2026","https://murmansk.postupi.online/vuz/murmanskiy-arkticheskiy-gosudarstvennyy-universitet/specialnosti/bakalavr/","https://murmansk.postupi.online/vuz/murmanskiy-arkticheskiy-gosudarstvennyy-universitet/specialnosti/bakalavr/","2026-07-09T07:00:42.841Z"
"Мурманский арктический университет","15.03.02","Технологические машины и оборудование","bachelor","","","","15","2026","https://murmansk.postupi.online/vuz/murmanskiy-arkticheskiy-gosudarstvennyy-universitet/specialnosti/bakalavr/","https://murmansk.postupi.online/vuz/murmanskiy-arkticheskiy-gosudarstvennyy-universitet/specialnosti/bakalavr/","2026-07-09T07:00:42.841Z"
"Мурманский арктический университет","15.03.04","Автоматизация технологических процессов и производств","bachelor","","true","16","3","2026","https://murmansk.postupi.online/vuz/murmanskiy-arkticheskiy-gosudarstvennyy-universitet/specialnosti/bakalavr/","https://murmansk.postupi.online/vuz/murmanskiy-arkticheskiy-gosudarstvennyy-universitet/specialnosti/bakalavr/","2026-07-09T07:00:42.841Z"
"Мурманский арктический университет","16.03.03","Холодильная, криогенная техника и системы жизнеобеспечения","bachelor","","true","20","","2026","https://murmansk.postupi.online/vuz/murmanskiy-arkticheskiy-gosudarstvennyy-universitet/specialnosti/bakalavr/","https://murmansk.postupi.online/vuz/murmanskiy-arkticheskiy-gosudarstvennyy-universitet/specialnosti/bakalavr/","2026-07-09T07:00:42.841Z"
"Мурманский арктический университет","19.03.01","Биотехнология","bachelor","","true","15","2","2026","https://murmansk.postupi.online/vuz/murmanskiy-arkticheskiy-gosudarstvennyy-universitet/specialnosti/bakalavr/","https://murmansk.postupi.online/vuz/murmanskiy-arkticheskiy-gosudarstvennyy-universitet/specialnosti/bakalavr/","2026-07-09T07:00:42.841Z"
