institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Набережночелнинский институт (филиал) Казанского (Приволжского) федерального университета","01.03.02","Прикладная математика и информатика","bachelor","","true","20","5","2026","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","2026-07-09T07:01:50.164Z"
"Набережночелнинский институт (филиал) Казанского (Приволжского) федерального университета","08.03.01","Строительство","bachelor","","true","40","80","2026","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","2026-07-09T07:01:50.164Z"
"Набережночелнинский институт (филиал) Казанского (Приволжского) федерального университета","09.03.01","Информатика и вычислительная техника","bachelor","","true","20","5","2026","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","2026-07-09T07:01:50.164Z"
"Набережночелнинский институт (филиал) Казанского (Приволжского) федерального университета","09.03.02","Информационные системы и технологии","bachelor","","true","20","5","2026","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","2026-07-09T07:01:50.164Z"
"Набережночелнинский институт (филиал) Казанского (Приволжского) федерального университета","09.03.03","Прикладная информатика","bachelor","","true","20","5","2026","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","2026-07-09T07:01:50.164Z"
"Набережночелнинский институт (филиал) Казанского (Приволжского) федерального университета","09.03.04","Программная инженерия","bachelor","","true","40","35","2026","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","2026-07-09T07:01:50.164Z"
"Набережночелнинский институт (филиал) Казанского (Приволжского) федерального университета","13.03.01","Теплоэнергетика и теплотехника","bachelor","","true","20","5","2026","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","2026-07-09T07:01:50.164Z"
"Набережночелнинский институт (филиал) Казанского (Приволжского) федерального университета","13.03.02","Электроэнергетика и электротехника","bachelor","","true","60","40","2026","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","2026-07-09T07:01:50.164Z"
"Набережночелнинский институт (филиал) Казанского (Приволжского) федерального университета","13.03.03","Энергетическое машиностроение","bachelor","","true","20","5","2026","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","2026-07-09T07:01:50.164Z"
"Набережночелнинский институт (филиал) Казанского (Приволжского) федерального университета","15.03.01","Машиностроение","bachelor","","true","40","15","2026","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","2026-07-09T07:01:50.164Z"
"Набережночелнинский институт (филиал) Казанского (Приволжского) федерального университета","15.03.04","Автоматизация технологических процессов и производств","bachelor","","true","44","35","2026","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","2026-07-09T07:01:50.164Z"
"Набережночелнинский институт (филиал) Казанского (Приволжского) федерального университета","15.03.05","Конструкторско-технологическое обеспечение машиностроительных производств","bachelor","","true","40","10","2026","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","https://naberezhnye-chelny.postupi.online/vuz/naberezhnochelninskij-institut-kfu/specialnosti/bakalavr/","2026-07-09T07:01:50.164Z"
