institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Нижегородский институт путей сообщения — филиал Приволжского государственного университета путей сообщения","09.03.03","Прикладная информатика","bachelor","","","","20","2026","https://nn.postupi.online/vuz/filial-samgups-v-gorode-nignem-novgorode/specialnosti/bakalavr/","https://nn.postupi.online/vuz/filial-samgups-v-gorode-nignem-novgorode/specialnosti/bakalavr/","2026-07-08T20:41:09.885Z"
"Нижегородский институт путей сообщения — филиал Приволжского государственного университета путей сообщения","20.03.01","Техносферная безопасность","bachelor","","","","25","2026","https://nn.postupi.online/vuz/filial-samgups-v-gorode-nignem-novgorode/specialnosti/bakalavr/","https://nn.postupi.online/vuz/filial-samgups-v-gorode-nignem-novgorode/specialnosti/bakalavr/","2026-07-08T20:41:09.885Z"
"Институт пищевых технологий и дизайна - филиал Нижегородского государственного инженерно-экономического университета","19.03.04","Технология продукции и организация общественного питания","bachelor","","true","27","45","2026","https://nn.postupi.online/vuz/institut-pischevyh-tehnologij-i-dizajna-filial-ngiau/specialnosti/bakalavr/","https://nn.postupi.online/vuz/institut-pischevyh-tehnologij-i-dizajna-filial-ngiau/specialnosti/bakalavr/","2026-07-08T20:41:09.885Z"
"Институт пищевых технологий и дизайна - филиал Нижегородского государственного инженерно-экономического университета","27.03.02","Управление качеством","bachelor","","true","20","40","2026","https://nn.postupi.online/vuz/institut-pischevyh-tehnologij-i-dizajna-filial-ngiau/specialnosti/bakalavr/","https://nn.postupi.online/vuz/institut-pischevyh-tehnologij-i-dizajna-filial-ngiau/specialnosti/bakalavr/","2026-07-08T20:41:09.885Z"
"Институт пищевых технологий и дизайна - филиал Нижегородского государственного инженерно-экономического университета","29.03.01","Технология изделий легкой промышленности","bachelor","","true","22","20","2026","https://nn.postupi.online/vuz/institut-pischevyh-tehnologij-i-dizajna-filial-ngiau/specialnosti/bakalavr/","https://nn.postupi.online/vuz/institut-pischevyh-tehnologij-i-dizajna-filial-ngiau/specialnosti/bakalavr/","2026-07-08T20:41:09.885Z"
"Институт пищевых технологий и дизайна - филиал Нижегородского государственного инженерно-экономического университета","43.03.01","Сервис","bachelor","","true","70","","2026","https://nn.postupi.online/vuz/institut-pischevyh-tehnologij-i-dizajna-filial-ngiau/specialnosti/bakalavr/","https://nn.postupi.online/vuz/institut-pischevyh-tehnologij-i-dizajna-filial-ngiau/specialnosti/bakalavr/","2026-07-08T20:41:09.885Z"
"Институт пищевых технологий и дизайна - филиал Нижегородского государственного инженерно-экономического университета","43.03.02","Туризм","bachelor","","true","25","40","2026","https://nn.postupi.online/vuz/institut-pischevyh-tehnologij-i-dizajna-filial-ngiau/specialnosti/bakalavr/","https://nn.postupi.online/vuz/institut-pischevyh-tehnologij-i-dizajna-filial-ngiau/specialnosti/bakalavr/","2026-07-08T20:41:09.885Z"
"Нижегородская духовная семинария Нижегородской Епархии Русской Православной Церкви (Московский Патриархат)","48.03.01","Теология","bachelor","","true","24","","2026","https://nn.postupi.online/vuz/nds/specialnosti/bakalavr/","https://nn.postupi.online/vuz/nds/specialnosti/bakalavr/","2026-07-08T20:41:09.885Z"
"Нижегородский государственный инженерно-экономический университет","09.03.01","Информатика и вычислительная техника","bachelor","","true","12","5","2026","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","2026-07-08T20:41:09.885Z"
"Нижегородский государственный инженерно-экономический университет","09.03.02","Информационные системы и технологии","bachelor","","true","60","55","2026","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","2026-07-08T20:41:09.885Z"
"Нижегородский государственный инженерно-экономический университет","11.03.02","Инфокоммуникационные технологии и системы связи","bachelor","","true","38","30","2026","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","2026-07-08T20:41:09.885Z"
"Нижегородский государственный инженерно-экономический университет","13.03.02","Электроэнергетика и электротехника","bachelor","","true","13","45","2026","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","2026-07-08T20:41:09.885Z"
"Нижегородский государственный инженерно-экономический университет","20.03.01","Техносферная безопасность","bachelor","","true","13","28","2026","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","2026-07-08T20:41:09.885Z"
"Нижегородский государственный инженерно-экономический университет","23.03.01","Технология транспортных процессов","bachelor","","true","13","12","2026","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","2026-07-08T20:41:09.885Z"
"Нижегородский государственный инженерно-экономический университет","23.03.03","Эксплуатация транспортно-технологических машин и комплексов","bachelor","","true","38","17","2026","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","2026-07-08T20:41:09.885Z"
"Нижегородский государственный инженерно-экономический университет","35.03.06","Агроинженерия","bachelor","","true","25","15","2026","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","2026-07-08T20:41:09.885Z"
"Нижегородский государственный инженерно-экономический университет","38.03.01","Экономика","bachelor","","true","20","25","2026","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","2026-07-08T20:41:09.885Z"
"Нижегородский государственный инженерно-экономический университет","38.03.02","Менеджмент","bachelor","","true","20","","2026","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","2026-07-08T20:41:09.885Z"
"Нижегородский государственный инженерно-экономический университет","38.03.05","Бизнес-информатика","bachelor","","true","20","","2026","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","https://nn.postupi.online/vuz/ngiau/specialnosti/bakalavr/","2026-07-08T20:41:09.885Z"
