institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Новосибирский государственный архитектурно-строительный университет (Сибстрин)","07.03.01","Архитектура","bachelor","","true","40","63","2026","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","2026-07-08T20:42:12.949Z"
"Новосибирский государственный архитектурно-строительный университет (Сибстрин)","07.03.02","Реконструкция и реставрация архитектурного наследия","bachelor","","true","20","10","2026","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","2026-07-08T20:42:12.949Z"
"Новосибирский государственный архитектурно-строительный университет (Сибстрин)","07.03.04","Градостроительство","bachelor","","true","20","10","2026","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","2026-07-08T20:42:12.949Z"
"Новосибирский государственный архитектурно-строительный университет (Сибстрин)","08.03.01","Строительство","bachelor","","true","292","436","2026","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","2026-07-08T20:42:12.949Z"
"Новосибирский государственный архитектурно-строительный университет (Сибстрин)","09.03.02","Информационные системы и технологии","bachelor","","true","115","50","2026","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","2026-07-08T20:42:12.949Z"
"Новосибирский государственный архитектурно-строительный университет (Сибстрин)","09.03.03","Прикладная информатика","bachelor","","true","25","5","2026","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","2026-07-08T20:42:12.949Z"
"Новосибирский государственный архитектурно-строительный университет (Сибстрин)","20.03.02","Природообустройство и водопользование","bachelor","","","","30","2026","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","2026-07-08T20:42:12.949Z"
"Новосибирский государственный архитектурно-строительный университет (Сибстрин)","27.03.01","Стандартизация и метрология","bachelor","","","","25","2026","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","2026-07-08T20:42:12.949Z"
"Новосибирский государственный архитектурно-строительный университет (Сибстрин)","27.03.02","Управление качеством","bachelor","","","","75","2026","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","2026-07-08T20:42:12.949Z"
"Новосибирский государственный архитектурно-строительный университет (Сибстрин)","38.03.02","Менеджмент","bachelor","","","","40","2026","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","2026-07-08T20:42:12.949Z"
"Новосибирский государственный архитектурно-строительный университет (Сибстрин)","38.03.10","Жилищное хозяйство и коммунальная инфраструктура","bachelor","","","","10","2026","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","2026-07-08T20:42:12.949Z"
"Новосибирский государственный архитектурно-строительный университет (Сибстрин)","39.03.01","Социология","bachelor","","true","20","175","2026","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","https://nsk.postupi.online/vuz/ngasu-sibstrin/specialnosti/bakalavr/","2026-07-08T20:42:12.949Z"
