institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Филиал Воронежского экономико-правового института в г. Орел","40.03.01","Юриспруденция","bachelor","","","","13","2026","https://orel.postupi.online/vuz/filial-vepi-orel/specialnosti/bakalavr/","https://orel.postupi.online/vuz/filial-vepi-orel/specialnosti/bakalavr/","2026-07-09T06:59:56.042Z"
"Орловский государственный институт культуры","43.03.02","Туризм","bachelor","","true","10","5","2026","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","2026-07-09T06:59:56.042Z"
"Орловский государственный институт культуры","51.03.02","Народная художественная культура","bachelor","","true","28","106","2026","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","2026-07-09T06:59:56.042Z"
"Орловский государственный институт культуры","51.03.03","Социально-культурная деятельность","bachelor","","true","23","58","2026","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","2026-07-09T06:59:56.042Z"
"Орловский государственный институт культуры","51.03.04","Музеология и охрана объектов культурного и природного наследия","bachelor","","true","10","3","2026","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","2026-07-09T06:59:56.042Z"
"Орловский государственный институт культуры","51.03.05","Режиссура театрализованных представлений и праздников","bachelor","","true","12","3","2026","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","2026-07-09T06:59:56.042Z"
"Орловский государственный институт культуры","51.03.06","Библиотечно-информационная деятельность","bachelor","","true","18","14","2026","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","2026-07-09T06:59:56.042Z"
"Орловский государственный институт культуры","52.03.01","Хореографическое искусство","bachelor","","true","5","18","2026","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","2026-07-09T06:59:56.042Z"
"Орловский государственный институт культуры","53.03.01","Музыкальное искусство эстрады","bachelor","","true","10","10","2026","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","2026-07-09T06:59:56.042Z"
"Орловский государственный институт культуры","53.03.02","Музыкально-инструментальное искусство","bachelor","","true","6","6","2026","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","2026-07-09T06:59:56.042Z"
"Орловский государственный институт культуры","53.03.04","Искусство народного пения","bachelor","","true","6","15","2026","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","2026-07-09T06:59:56.042Z"
"Орловский государственный институт культуры","53.03.05","Дирижирование","bachelor","","true","5","","2026","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","2026-07-09T06:59:56.042Z"
"Орловский государственный институт культуры","53.03.06","Музыкознание и музыкально-прикладное искусство","bachelor","","true","6","3","2026","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","https://orel.postupi.online/vuz/ogik/specialnosti/bakalavr/","2026-07-09T06:59:56.042Z"
"Орловский государственный университет имени И.С. Тургенева","01.03.02","Прикладная математика и информатика","bachelor","","true","13","5","2026","https://orel.postupi.online/vuz/ogu-im-i-s-turgeneva/specialnosti/bakalavr/","https://orel.postupi.online/vuz/ogu-im-i-s-turgeneva/specialnosti/bakalavr/","2026-07-09T06:59:56.042Z"
"Орловский государственный университет имени И.С. Тургенева","01.03.05","Статистика","bachelor","","true","10","5","2026","https://orel.postupi.online/vuz/ogu-im-i-s-turgeneva/specialnosti/bakalavr/","https://orel.postupi.online/vuz/ogu-im-i-s-turgeneva/specialnosti/bakalavr/","2026-07-09T06:59:56.042Z"
"Орловский государственный университет имени И.С. Тургенева","02.03.03","Математическое обеспечение и администрирование информационных систем","bachelor","","true","14","5","2026","https://orel.postupi.online/vuz/ogu-im-i-s-turgeneva/specialnosti/bakalavr/","https://orel.postupi.online/vuz/ogu-im-i-s-turgeneva/specialnosti/bakalavr/","2026-07-09T06:59:56.042Z"
