institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Оренбургский государственный аграрный университет","20.03.01","Техносферная безопасность","bachelor","","","","60","2026","https://orenburg.postupi.online/vuz/ogau/specialnosti/bakalavr/","https://orenburg.postupi.online/vuz/ogau/specialnosti/bakalavr/","2026-07-09T06:55:24.569Z"
"Оренбургский государственный аграрный университет","21.03.02","Землеустройство и кадастры","bachelor","","","","60","2026","https://orenburg.postupi.online/vuz/ogau/specialnosti/bakalavr/","https://orenburg.postupi.online/vuz/ogau/specialnosti/bakalavr/","2026-07-09T06:55:24.569Z"
"Оренбургский государственный аграрный университет","35.03.01","Лесное дело","bachelor","","true","35","","2026","https://orenburg.postupi.online/vuz/ogau/specialnosti/bakalavr/","https://orenburg.postupi.online/vuz/ogau/specialnosti/bakalavr/","2026-07-09T06:55:24.569Z"
"Оренбургский государственный аграрный университет","35.03.04","Агрономия","bachelor","","true","35","","2026","https://orenburg.postupi.online/vuz/ogau/specialnosti/bakalavr/","https://orenburg.postupi.online/vuz/ogau/specialnosti/bakalavr/","2026-07-09T06:55:24.569Z"
"Оренбургский государственный аграрный университет","35.03.06","Агроинженерия","bachelor","","true","116","90","2026","https://orenburg.postupi.online/vuz/ogau/specialnosti/bakalavr/","https://orenburg.postupi.online/vuz/ogau/specialnosti/bakalavr/","2026-07-09T06:55:24.569Z"
"Оренбургский государственный аграрный университет","35.03.07","Технология производства и переработки сельскохозяйственной продукции","bachelor","","true","90","","2026","https://orenburg.postupi.online/vuz/ogau/specialnosti/bakalavr/","https://orenburg.postupi.online/vuz/ogau/specialnosti/bakalavr/","2026-07-09T06:55:24.569Z"
"Оренбургский государственный аграрный университет","36.03.01","Ветеринарно-санитарная экспертиза","bachelor","","true","25","","2026","https://orenburg.postupi.online/vuz/ogau/specialnosti/bakalavr/","https://orenburg.postupi.online/vuz/ogau/specialnosti/bakalavr/","2026-07-09T06:55:24.569Z"
"Оренбургский государственный аграрный университет","36.03.02","Зоотехния","bachelor","","true","25","","2026","https://orenburg.postupi.online/vuz/ogau/specialnosti/bakalavr/","https://orenburg.postupi.online/vuz/ogau/specialnosti/bakalavr/","2026-07-09T06:55:24.569Z"
"Оренбургский государственный аграрный университет","40.03.01","Юриспруденция","bachelor","","","","60","2026","https://orenburg.postupi.online/vuz/ogau/specialnosti/bakalavr/","https://orenburg.postupi.online/vuz/ogau/specialnosti/bakalavr/","2026-07-09T06:55:24.569Z"
"Оренбургский государственный институт искусств им. Л. и М. Ростроповичей","51.03.06","Библиотечно-информационная деятельность","bachelor","","true","15","2","2026","https://orenburg.postupi.online/vuz/ogii/specialnosti/bakalavr/","https://orenburg.postupi.online/vuz/ogii/specialnosti/bakalavr/","2026-07-09T06:55:24.569Z"
"Оренбургский государственный институт искусств им. Л. и М. Ростроповичей","53.03.02","Музыкально-инструментальное искусство","bachelor","","true","28","3","2026","https://orenburg.postupi.online/vuz/ogii/specialnosti/bakalavr/","https://orenburg.postupi.online/vuz/ogii/specialnosti/bakalavr/","2026-07-09T06:55:24.569Z"
"Оренбургский государственный институт искусств им. Л. и М. Ростроповичей","53.03.03","Вокальное искусство","bachelor","","true","10","3","2026","https://orenburg.postupi.online/vuz/ogii/specialnosti/bakalavr/","https://orenburg.postupi.online/vuz/ogii/specialnosti/bakalavr/","2026-07-09T06:55:24.569Z"
"Оренбургский государственный институт искусств им. Л. и М. Ростроповичей","53.03.04","Искусство народного пения","bachelor","","true","8","3","2026","https://orenburg.postupi.online/vuz/ogii/specialnosti/bakalavr/","https://orenburg.postupi.online/vuz/ogii/specialnosti/bakalavr/","2026-07-09T06:55:24.569Z"
"Оренбургский государственный институт искусств им. Л. и М. Ростроповичей","53.03.05","Дирижирование","bachelor","","true","5","2","2026","https://orenburg.postupi.online/vuz/ogii/specialnosti/bakalavr/","https://orenburg.postupi.online/vuz/ogii/specialnosti/bakalavr/","2026-07-09T06:55:24.569Z"
"Оренбургский государственный педагогический университет","38.03.02","Менеджмент","bachelor","","","","28","2026","https://orenburg.postupi.online/vuz/ogpu/specialnosti/bakalavr/","https://orenburg.postupi.online/vuz/ogpu/specialnosti/bakalavr/","2026-07-09T06:55:24.569Z"
