institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Пензенская духовная семинария Пензенской Епархии Русской Православной Церкви","48.03.01","Теология","bachelor","","true","15","","2026","https://penza.postupi.online/vuz/penzenskaya-duhovnaya-seminariya/specialnosti/bakalavr/","https://penza.postupi.online/vuz/penzenskaya-duhovnaya-seminariya/specialnosti/bakalavr/","2026-07-09T06:54:43.666Z"
"Пензенский филиал Финансового университета при Правительстве Российской Федерации","38.03.01","Экономика","bachelor","","true","20","57","2026","https://penza.postupi.online/vuz/penzenskiy-filial-finuniversiteta/specialnosti/bakalavr/","https://penza.postupi.online/vuz/penzenskiy-filial-finuniversiteta/specialnosti/bakalavr/","2026-07-09T06:54:43.666Z"
"Пензенский филиал Финансового университета при Правительстве Российской Федерации","38.03.02","Менеджмент","bachelor","","true","7","89","2026","https://penza.postupi.online/vuz/penzenskiy-filial-finuniversiteta/specialnosti/bakalavr/","https://penza.postupi.online/vuz/penzenskiy-filial-finuniversiteta/specialnosti/bakalavr/","2026-07-09T06:54:43.666Z"
"Пензенский филиал Финансового университета при Правительстве Российской Федерации","38.03.05","Бизнес-информатика","bachelor","","true","7","15","2026","https://penza.postupi.online/vuz/penzenskiy-filial-finuniversiteta/specialnosti/bakalavr/","https://penza.postupi.online/vuz/penzenskiy-filial-finuniversiteta/specialnosti/bakalavr/","2026-07-09T06:54:43.666Z"
"Пензенский государственный технологический университет","09.03.01","Информатика и вычислительная техника","bachelor","","true","39","76","2026","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","2026-07-09T06:54:43.666Z"
"Пензенский государственный технологический университет","09.03.02","Информационные системы и технологии","bachelor","","true","50","90","2026","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","2026-07-09T06:54:43.666Z"
"Пензенский государственный технологический университет","09.03.03","Прикладная информатика","bachelor","","true","23","67","2026","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","2026-07-09T06:54:43.666Z"
"Пензенский государственный технологический университет","09.03.04","Программная инженерия","bachelor","","true","50","25","2026","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","2026-07-09T06:54:43.666Z"
"Пензенский государственный технологический университет","12.03.04","Биотехнические системы и технологии","bachelor","","true","18","10","2026","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","2026-07-09T06:54:43.666Z"
"Пензенский государственный технологический университет","15.03.04","Автоматизация технологических процессов и производств","bachelor","","true","14","55","2026","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","2026-07-09T06:54:43.666Z"
"Пензенский государственный технологический университет","15.03.05","Конструкторско-технологическое обеспечение машиностроительных производств","bachelor","","true","40","57","2026","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","2026-07-09T06:54:43.666Z"
"Пензенский государственный технологический университет","18.03.02","Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии","bachelor","","true","17","10","2026","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","2026-07-09T06:54:43.666Z"
"Пензенский государственный технологический университет","19.03.01","Биотехнология","bachelor","","true","31","64","2026","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","2026-07-09T06:54:43.666Z"
"Пензенский государственный технологический университет","19.03.04","Технология продукции и организация общественного питания","bachelor","","true","34","56","2026","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","2026-07-09T06:54:43.666Z"
"Пензенский государственный технологический университет","27.03.02","Управление качеством","bachelor","","true","28","75","2026","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","2026-07-09T06:54:43.666Z"
"Пензенский государственный технологический университет","27.03.05","Инноватика","bachelor","","true","10","45","2026","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","2026-07-09T06:54:43.666Z"
"Пензенский государственный технологический университет","38.03.06","Торговое дело","bachelor","","","","40","2026","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","2026-07-09T06:54:43.666Z"
"Пензенский государственный технологический университет","43.03.01","Сервис","bachelor","","true","17","","2026","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","https://penza.postupi.online/vuz/penzgtu/specialnosti/bakalavr/","2026-07-09T06:54:43.666Z"
