institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Пермский филиал Национального исследовательского университета Высшая школа экономики","09.03.04","Программная инженерия","bachelor","","true","60","150","2026","https://perm.postupi.online/vuz/niu-vshe-perm/specialnosti/bakalavr/","https://perm.postupi.online/vuz/niu-vshe-perm/specialnosti/bakalavr/","2026-07-08T20:38:54.329Z"
"Пермский филиал Национального исследовательского университета Высшая школа экономики","38.03.01","Экономика","bachelor","","true","30","80","2026","https://perm.postupi.online/vuz/niu-vshe-perm/specialnosti/bakalavr/","https://perm.postupi.online/vuz/niu-vshe-perm/specialnosti/bakalavr/","2026-07-08T20:38:54.329Z"
"Пермский филиал Национального исследовательского университета Высшая школа экономики","38.03.02","Менеджмент","bachelor","","true","80","84","2026","https://perm.postupi.online/vuz/niu-vshe-perm/specialnosti/bakalavr/","https://perm.postupi.online/vuz/niu-vshe-perm/specialnosti/bakalavr/","2026-07-08T20:38:54.329Z"
"Пермский филиал Национального исследовательского университета Высшая школа экономики","38.03.05","Бизнес-информатика","bachelor","","true","45","9","2026","https://perm.postupi.online/vuz/niu-vshe-perm/specialnosti/bakalavr/","https://perm.postupi.online/vuz/niu-vshe-perm/specialnosti/bakalavr/","2026-07-08T20:38:54.329Z"
"Пермский филиал Национального исследовательского университета Высшая школа экономики","40.03.01","Юриспруденция","bachelor","","true","19","28","2026","https://perm.postupi.online/vuz/niu-vshe-perm/specialnosti/bakalavr/","https://perm.postupi.online/vuz/niu-vshe-perm/specialnosti/bakalavr/","2026-07-08T20:38:54.329Z"
"Пермский филиал Национального исследовательского университета Высшая школа экономики","45.03.02","Лингвистика","bachelor","","true","15","26","2026","https://perm.postupi.online/vuz/niu-vshe-perm/specialnosti/bakalavr/","https://perm.postupi.online/vuz/niu-vshe-perm/specialnosti/bakalavr/","2026-07-08T20:38:54.329Z"
"Пермский филиал Национального исследовательского университета Высшая школа экономики","54.03.01","Дизайн","bachelor","","","","400","2026","https://perm.postupi.online/vuz/niu-vshe-perm/specialnosti/bakalavr/","https://perm.postupi.online/vuz/niu-vshe-perm/specialnosti/bakalavr/","2026-07-08T20:38:54.329Z"
"Пермский филиал Волжского государственного университета водного транспорта","23.03.01","Технология транспортных процессов","bachelor","","true","23","40","2026","https://perm.postupi.online/vuz/permskij-filial-vguvt/specialnosti/bakalavr/","https://perm.postupi.online/vuz/permskij-filial-vguvt/specialnosti/bakalavr/","2026-07-08T20:38:54.329Z"
"Пермский филиал Волжского государственного университета водного транспорта","26.03.01","Управление водным транспортом и гидрографическое обеспечение судоходства","bachelor","","true","12","15","2026","https://perm.postupi.online/vuz/permskij-filial-vguvt/specialnosti/bakalavr/","https://perm.postupi.online/vuz/permskij-filial-vguvt/specialnosti/bakalavr/","2026-07-08T20:38:54.329Z"
"Пермский государственный аграрно­-технологический университет имени академика Д.Н. Прянишникова","08.03.01","Строительство","bachelor","","true","29","215","2026","https://perm.postupi.online/vuz/permskij-gatu/specialnosti/bakalavr/","https://perm.postupi.online/vuz/permskij-gatu/specialnosti/bakalavr/","2026-07-08T20:38:54.329Z"
"Пермский государственный аграрно­-технологический университет имени академика Д.Н. Прянишникова","09.03.02","Информационные системы и технологии","bachelor","","true","38","85","2026","https://perm.postupi.online/vuz/permskij-gatu/specialnosti/bakalavr/","https://perm.postupi.online/vuz/permskij-gatu/specialnosti/bakalavr/","2026-07-08T20:38:54.329Z"
"Пермский государственный аграрно­-технологический университет имени академика Д.Н. Прянишникова","09.03.03","Прикладная информатика","bachelor","","true","36","55","2026","https://perm.postupi.online/vuz/permskij-gatu/specialnosti/bakalavr/","https://perm.postupi.online/vuz/permskij-gatu/specialnosti/bakalavr/","2026-07-08T20:38:54.329Z"
"Пермский государственный аграрно­-технологический университет имени академика Д.Н. Прянишникова","09.03.04","Программная инженерия","bachelor","","true","25","15","2026","https://perm.postupi.online/vuz/permskij-gatu/specialnosti/bakalavr/","https://perm.postupi.online/vuz/permskij-gatu/specialnosti/bakalavr/","2026-07-08T20:38:54.329Z"
