institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Псковский государственный университет","02.03.01","Математика и компьютерные науки","bachelor","","true","18","10","2026","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","2026-07-09T07:01:23.532Z"
"Псковский государственный университет","08.03.01","Строительство","bachelor","","true","36","30","2026","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","2026-07-09T07:01:23.532Z"
"Псковский государственный университет","09.03.01","Информатика и вычислительная техника","bachelor","","true","40","20","2026","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","2026-07-09T07:01:23.532Z"
"Псковский государственный университет","09.03.02","Информационные системы и технологии","bachelor","","true","39","30","2026","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","2026-07-09T07:01:23.532Z"
"Псковский государственный университет","09.03.03","Прикладная информатика","bachelor","","true","20","10","2026","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","2026-07-09T07:01:23.532Z"
"Псковский государственный университет","13.03.02","Электроэнергетика и электротехника","bachelor","","true","80","40","2026","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","2026-07-09T07:01:23.532Z"
"Псковский государственный университет","15.03.05","Конструкторско-технологическое обеспечение машиностроительных производств","bachelor","","true","40","5","2026","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","2026-07-09T07:01:23.532Z"
"Псковский государственный университет","37.03.01","Психология","bachelor","","true","15","6","2026","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","2026-07-09T07:01:23.532Z"
"Псковский государственный университет","38.03.04","Государственное и муниципальное управление","bachelor","","true","9","12","2026","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","2026-07-09T07:01:23.532Z"
"Псковский государственный университет","39.03.02","Социальная работа","bachelor","","true","25","10","2026","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","2026-07-09T07:01:23.532Z"
"Псковский государственный университет","40.03.01","Юриспруденция","bachelor","","","","65","2026","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","2026-07-09T07:01:23.532Z"
"Псковский государственный университет","42.03.01","Реклама и связи с общественностью","bachelor","","true","7","15","2026","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","2026-07-09T07:01:23.532Z"
"Псковский государственный университет","42.03.02","Журналистика","bachelor","","true","20","5","2026","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","2026-07-09T07:01:23.532Z"
"Псковский государственный университет","43.03.02","Туризм","bachelor","","true","18","10","2026","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","2026-07-09T07:01:23.532Z"
"Псковский государственный университет","43.03.03","Гостиничное дело","bachelor","","true","20","10","2026","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","2026-07-09T07:01:23.532Z"
"Псковский государственный университет","44.03.01","Педагогическое образование","bachelor","","true","150","80","2026","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","2026-07-09T07:01:23.532Z"
"Псковский государственный университет","44.03.02","Психолого-педагогическое образование","bachelor","","true","25","5","2026","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","2026-07-09T07:01:23.532Z"
"Псковский государственный университет","44.03.03","Специальное (дефектологическое) образование","bachelor","","true","50","15","2026","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","https://pskov.postupi.online/vuz/pskovgu/specialnosti/bakalavr/","2026-07-09T07:01:23.532Z"
"Псковский филиал Российской международной академии туризма","38.03.02","Менеджмент","bachelor","","","","20","2026","https://pskov.postupi.online/vuz/pskovskij-filial-rmat/specialnosti/bakalavr/","https://pskov.postupi.online/vuz/pskovskij-filial-rmat/specialnosti/bakalavr/","2026-07-09T07:01:23.532Z"
"Псковский филиал Российской международной академии туризма","38.03.03","Управление персоналом","bachelor","","","","20","2026","https://pskov.postupi.online/vuz/pskovskij-filial-rmat/specialnosti/bakalavr/","https://pskov.postupi.online/vuz/pskovskij-filial-rmat/specialnosti/bakalavr/","2026-07-09T07:01:23.532Z"
