institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Донской государственный технический университет","01.03.04","Прикладная математика","bachelor","","true","50","10","2026","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
"Донской государственный технический университет","02.03.03","Математическое обеспечение и администрирование информационных систем","bachelor","","true","75","15","2026","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
"Донской государственный технический университет","03.03.01","Прикладные математика и физика","bachelor","","true","30","5","2026","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
"Донской государственный технический университет","07.03.01","Архитектура","bachelor","","true","30","120","2026","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
"Донской государственный технический университет","07.03.02","Реконструкция и реставрация архитектурного наследия","bachelor","","true","20","30","2026","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
"Донской государственный технический университет","07.03.04","Градостроительство","bachelor","","true","10","20","2026","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
"Донской государственный технический университет","08.03.01","Строительство","bachelor","","true","353","396","2026","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
"Донской государственный технический университет","09.03.01","Информатика и вычислительная техника","bachelor","","true","100","20","2026","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
"Донской государственный технический университет","09.03.02","Информационные системы и технологии","bachelor","","true","313","150","2026","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
"Донской государственный технический университет","09.03.03","Прикладная информатика","bachelor","","true","175","110","2026","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
"Донской государственный технический университет","09.03.04","Программная инженерия","bachelor","","true","75","15","2026","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
"Донской государственный технический университет","11.03.01","Радиотехника","bachelor","","true","44","15","2026","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
"Донской государственный технический университет","11.03.02","Инфокоммуникационные технологии и системы связи","bachelor","","true","44","34","2026","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
"Донской государственный технический университет","11.03.04","Электроника и наноэлектроника","bachelor","","true","64","18","2026","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
"Донской государственный технический университет","12.03.01","Приборостроение","bachelor","","true","25","5","2026","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
"Донской государственный технический университет","12.03.04","Биотехнические системы и технологии","bachelor","","true","45","10","2026","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
"Донской государственный технический университет","13.03.02","Электроэнергетика и электротехника","bachelor","","true","80","35","2026","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
"Донской государственный технический университет","13.03.03","Энергетическое машиностроение","bachelor","","true","35","15","2026","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
"Донской государственный технический университет","15.03.01","Машиностроение","bachelor","","true","118","52","2026","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
"Донской государственный технический университет","15.03.02","Технологические машины и оборудование","bachelor","","true","37","41","2026","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dgtu/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
"Донской казачий государственный институт пищевых технологий и бизнеса (филиал) Московского государственного университета технологий и управления им. К.Г. Разумовского (Первого казачьего университета)","09.03.03","Прикладная информатика","bachelor","","","","25","2026","https://rostov.postupi.online/vuz/dkgiptie-filial-mgutu-im-k-g-razumovskogo-pku/specialnosti/bakalavr/","https://rostov.postupi.online/vuz/dkgiptie-filial-mgutu-im-k-g-razumovskogo-pku/specialnosti/bakalavr/","2026-07-08T20:36:58.926Z"
