institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Поволжский государственный университет телекоммуникаций и информатики","02.03.03","Математическое обеспечение и администрирование информационных систем","bachelor","","","","25","2026","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","2026-07-08T20:35:53.773Z"
"Поволжский государственный университет телекоммуникаций и информатики","09.03.01","Информатика и вычислительная техника","bachelor","","true","75","210","2026","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","2026-07-08T20:35:53.773Z"
"Поволжский государственный университет телекоммуникаций и информатики","09.03.02","Информационные системы и технологии","bachelor","","true","89","205","2026","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","2026-07-08T20:35:53.773Z"
"Поволжский государственный университет телекоммуникаций и информатики","09.03.03","Прикладная информатика","bachelor","","true","45","125","2026","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","2026-07-08T20:35:53.773Z"
"Поволжский государственный университет телекоммуникаций и информатики","09.03.04","Программная инженерия","bachelor","","true","25","35","2026","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","2026-07-08T20:35:53.773Z"
"Поволжский государственный университет телекоммуникаций и информатики","10.03.01","Информационная безопасность","bachelor","","true","75","30","2026","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","2026-07-08T20:35:53.773Z"
"Поволжский государственный университет телекоммуникаций и информатики","11.03.01","Радиотехника","bachelor","","true","20","25","2026","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","2026-07-08T20:35:53.773Z"
"Поволжский государственный университет телекоммуникаций и информатики","11.03.02","Инфокоммуникационные технологии и системы связи","bachelor","","true","280","305","2026","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","2026-07-08T20:35:53.773Z"
"Поволжский государственный университет телекоммуникаций и информатики","12.03.03","Фотоника и оптоинформатика","bachelor","","","","25","2026","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","2026-07-08T20:35:53.773Z"
"Поволжский государственный университет телекоммуникаций и информатики","27.03.04","Управление в технических системах","bachelor","","","","25","2026","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","2026-07-08T20:35:53.773Z"
"Поволжский государственный университет телекоммуникаций и информатики","27.03.05","Инноватика","bachelor","","","","25","2026","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","2026-07-08T20:35:53.773Z"
"Поволжский государственный университет телекоммуникаций и информатики","38.03.02","Менеджмент","bachelor","","","","20","2026","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","2026-07-08T20:35:53.773Z"
"Поволжский государственный университет телекоммуникаций и информатики","42.03.01","Реклама и связи с общественностью","bachelor","","","","30","2026","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","2026-07-08T20:35:53.773Z"
"Поволжский государственный университет телекоммуникаций и информатики","42.03.02","Журналистика","bachelor","","","","20","2026","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","2026-07-08T20:35:53.773Z"
"Поволжский государственный университет телекоммуникаций и информатики","45.03.04","Интеллектуальные системы в гуманитарной сфере","bachelor","","","","25","2026","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","https://samara.postupi.online/vuz/pguti/specialnosti/bakalavr/","2026-07-08T20:35:53.773Z"
"Медицинский университет Реавиз","34.03.01","Сестринское дело","bachelor","","","","130","2026","https://samara.postupi.online/vuz/reaviz/specialnosti/bakalavr/","https://samara.postupi.online/vuz/reaviz/specialnosti/bakalavr/","2026-07-08T20:35:53.773Z"
"Самарский национальный исследовательский университет имени академика С.П. Королева","01.03.02","Прикладная математика и информатика","bachelor","","true","150","10","2026","https://samara.postupi.online/vuz/samarskij-universitet/specialnosti/bakalavr/","https://samara.postupi.online/vuz/samarskij-universitet/specialnosti/bakalavr/","2026-07-08T20:35:53.773Z"
"Самарский национальный исследовательский университет имени академика С.П. Королева","01.03.03","Механика и математическое моделирование","bachelor","","true","40","40","2026","https://samara.postupi.online/vuz/samarskij-universitet/specialnosti/bakalavr/","https://samara.postupi.online/vuz/samarskij-universitet/specialnosti/bakalavr/","2026-07-08T20:35:53.773Z"
"Самарский национальный исследовательский университет имени академика С.П. Королева","02.03.01","Математика и компьютерные науки","bachelor","","true","25","25","2026","https://samara.postupi.online/vuz/samarskij-universitet/specialnosti/bakalavr/","https://samara.postupi.online/vuz/samarskij-universitet/specialnosti/bakalavr/","2026-07-08T20:35:53.773Z"
