institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Поволжский институт (филиал) Всероссийского государственного университета юстиции (РПА Минюста России) в г. Саратове","40.03.01","Юриспруденция","bachelor","","true","12","40","2026","https://saratov.postupi.online/vuz/pi-vguyu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/pi-vguyu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Поволжский институт управления имени П. А. Столыпина - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","09.03.03","Прикладная информатика","bachelor","","true","9","20","2026","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Поволжский институт управления имени П. А. Столыпина - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","37.03.02","Конфликтология","bachelor","","","","20","2026","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Поволжский институт управления имени П. А. Столыпина - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.01","Экономика","bachelor","","true","24","65","2026","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Поволжский институт управления имени П. А. Столыпина - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.02","Менеджмент","bachelor","","true","21","81","2026","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Поволжский институт управления имени П. А. Столыпина - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.04","Государственное и муниципальное управление","bachelor","","true","17","109","2026","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Поволжский институт управления имени П. А. Столыпина - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","39.03.03","Организация работы с молодежью","bachelor","","true","15","20","2026","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Поволжский институт управления имени П. А. Столыпина - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","40.03.01","Юриспруденция","bachelor","","true","45","104","2026","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Поволжский институт управления имени П. А. Столыпина - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","41.03.01","Зарубежное регионоведение","bachelor","","true","17","7","2026","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Поволжский институт управления имени П. А. Столыпина - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","41.03.04","Политология","bachelor","","","","25","2026","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Поволжский институт управления имени П. А. Столыпина - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","42.03.01","Реклама и связи с общественностью","bachelor","","","","35","2026","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовская православная духовная семинария Саратовской Епархии Русской Православной Церкви","48.03.01","Теология","bachelor","","true","35","","2026","https://saratov.postupi.online/vuz/saratovskaya-duhovnaya-seminariya/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/saratovskaya-duhovnaya-seminariya/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный медицинский университет имени В.И. Разумовского","19.03.01","Биотехнология","bachelor","","","","30","2026","https://saratov.postupi.online/vuz/saratovskij-gmu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/saratovskij-gmu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный медицинский университет имени В.И. Разумовского","34.03.01","Сестринское дело","bachelor","","true","25","65","2026","https://saratov.postupi.online/vuz/saratovskij-gmu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/saratovskij-gmu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский медицинский университет Реавиз","34.03.01","Сестринское дело","bachelor","","","","230","2026","https://saratov.postupi.online/vuz/saratovskij-medicinskij-universitet-reaviz/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/saratovskij-medicinskij-universitet-reaviz/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","08.03.01","Строительство","bachelor","","true","21","45","2026","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","09.03.03","Прикладная информатика","bachelor","","true","10","40","2026","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","13.03.01","Теплоэнергетика и теплотехника","bachelor","","true","40","25","2026","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","13.03.02","Электроэнергетика и электротехника","bachelor","","true","40","60","2026","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","19.03.01","Биотехнология","bachelor","","true","25","10","2026","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","19.03.02","Продукты питания из растительного сырья","bachelor","","true","25","10","2026","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","19.03.03","Продукты питания животного происхождения","bachelor","","true","25","10","2026","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","19.03.04","Технология продукции и организация общественного питания","bachelor","","true","70","40","2026","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","20.03.01","Техносферная безопасность","bachelor","","true","25","10","2026","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","21.03.02","Землеустройство и кадастры","bachelor","","true","14","50","2026","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","21.03.03","Геодезия и дистанционное зондирование","bachelor","","true","14","40","2026","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","27.03.02","Управление качеством","bachelor","","true","36","34","2026","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","35.03.01","Лесное дело","bachelor","","true","18","10","2026","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","35.03.02","Технология лесозаготовительных и деревоперерабатывающих производств","bachelor","","true","18","10","2026","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","35.03.03","Агрохимия и агропочвоведение","bachelor","","true","25","10","2026","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","35.03.04","Агрономия","bachelor","","true","80","30","2026","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","35.03.06","Агроинженерия","bachelor","","true","130","100","2026","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","35.03.07","Технология производства и переработки сельскохозяйственной продукции","bachelor","","true","36","25","2026","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","35.03.08","Водные биоресурсы и аквакультура","bachelor","","true","22","10","2026","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовская государственная консерватория имени Л.В. Собинова","53.03.02","Музыкально-инструментальное искусство","bachelor","","true","40","10","2026","https://saratov.postupi.online/vuz/sgk-im-l-v-sobinova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgk-im-l-v-sobinova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовская государственная консерватория имени Л.В. Собинова","53.03.03","Вокальное искусство","bachelor","","true","8","9","2026","https://saratov.postupi.online/vuz/sgk-im-l-v-sobinova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgk-im-l-v-sobinova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовская государственная консерватория имени Л.В. Собинова","53.03.04","Искусство народного пения","bachelor","","true","10","1","2026","https://saratov.postupi.online/vuz/sgk-im-l-v-sobinova/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgk-im-l-v-sobinova/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный технический университет имени Гагарина Ю.А.","01.03.02","Прикладная математика и информатика","bachelor","","true","15","15","2026","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный технический университет имени Гагарина Ю.А.","07.03.01","Архитектура","bachelor","","true","18","41","2026","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный технический университет имени Гагарина Ю.А.","07.03.03","Дизайн архитектурной среды","bachelor","","true","17","20","2026","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный технический университет имени Гагарина Ю.А.","08.03.01","Строительство","bachelor","","true","108","167","2026","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный технический университет имени Гагарина Ю.А.","09.03.01","Информатика и вычислительная техника","bachelor","","true","69","61","2026","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный технический университет имени Гагарина Ю.А.","09.03.02","Информационные системы и технологии","bachelor","","true","75","185","2026","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный технический университет имени Гагарина Ю.А.","09.03.03","Прикладная информатика","bachelor","","true","50","50","2026","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный технический университет имени Гагарина Ю.А.","09.03.04","Программная инженерия","bachelor","","true","50","40","2026","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный технический университет имени Гагарина Ю.А.","10.03.01","Информационная безопасность","bachelor","","true","30","40","2026","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный технический университет имени Гагарина Ю.А.","11.03.01","Радиотехника","bachelor","","true","15","20","2026","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный технический университет имени Гагарина Ю.А.","11.03.02","Инфокоммуникационные технологии и системы связи","bachelor","","true","25","80","2026","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный технический университет имени Гагарина Ю.А.","11.03.04","Электроника и наноэлектроника","bachelor","","true","25","10","2026","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный технический университет имени Гагарина Ю.А.","12.03.01","Приборостроение","bachelor","","true","20","10","2026","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный технический университет имени Гагарина Ю.А.","12.03.04","Биотехнические системы и технологии","bachelor","","true","12","18","2026","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный технический университет имени Гагарина Ю.А.","12.03.05","Лазерная техника и лазерные технологии","bachelor","","true","15","15","2026","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный технический университет имени Гагарина Ю.А.","13.03.01","Теплоэнергетика и теплотехника","bachelor","","true","65","65","2026","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный технический университет имени Гагарина Ю.А.","13.03.02","Электроэнергетика и электротехника","bachelor","","true","65","90","2026","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный технический университет имени Гагарина Ю.А.","15.03.01","Машиностроение","bachelor","","true","15","50","2026","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский государственный технический университет имени Гагарина Ю.А.","15.03.02","Технологические машины и оборудование","bachelor","","true","15","15","2026","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgtu/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского","01.03.02","Прикладная математика и информатика","bachelor","","true","45","20","2026","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского","01.03.03","Механика и математическое моделирование","bachelor","","true","10","10","2026","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского","02.03.01","Математика и компьютерные науки","bachelor","","true","30","10","2026","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского","02.03.02","Фундаментальная информатика и информационные технологии","bachelor","","true","20","20","2026","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского","02.03.03","Математическое обеспечение и администрирование информационных систем","bachelor","","true","30","15","2026","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского","03.03.01","Прикладные математика и физика","bachelor","","true","10","10","2026","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского","03.03.02","Физика","bachelor","","true","8","8","2026","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского","03.03.03","Радиофизика","bachelor","","true","10","10","2026","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского","09.03.01","Информатика и вычислительная техника","bachelor","","true","35","10","2026","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского","09.03.02","Информационные системы и технологии","bachelor","","true","15","12","2026","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского","09.03.03","Прикладная информатика","bachelor","","true","64","60","2026","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского","09.03.04","Программная инженерия","bachelor","","true","30","55","2026","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского","11.03.02","Инфокоммуникационные технологии и системы связи","bachelor","","true","10","10","2026","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
"Саратовская государственная юридическая академия","40.03.01","Юриспруденция","bachelor","","true","242","689","2026","https://saratov.postupi.online/vuz/sgyua/specialnosti/bakalavr/","https://saratov.postupi.online/vuz/sgyua/specialnosti/bakalavr/","2026-07-09T06:48:45.355Z"
