institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Филиал Национального исследовательского университета МЭИ в г. Смоленске","08.03.01","Строительство","bachelor","","true","11","140","2026","https://smolensk.postupi.online/vuz/sf-mei/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sf-mei/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Филиал Национального исследовательского университета МЭИ в г. Смоленске","09.03.01","Информатика и вычислительная техника","bachelor","","true","50","160","2026","https://smolensk.postupi.online/vuz/sf-mei/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sf-mei/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Филиал Национального исследовательского университета МЭИ в г. Смоленске","09.03.03","Прикладная информатика","bachelor","","true","40","60","2026","https://smolensk.postupi.online/vuz/sf-mei/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sf-mei/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Филиал Национального исследовательского университета МЭИ в г. Смоленске","11.03.04","Электроника и наноэлектроника","bachelor","","true","33","125","2026","https://smolensk.postupi.online/vuz/sf-mei/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sf-mei/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Филиал Национального исследовательского университета МЭИ в г. Смоленске","13.03.01","Теплоэнергетика и теплотехника","bachelor","","true","25","100","2026","https://smolensk.postupi.online/vuz/sf-mei/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sf-mei/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Филиал Национального исследовательского университета МЭИ в г. Смоленске","13.03.02","Электроэнергетика и электротехника","bachelor","","true","125","80","2026","https://smolensk.postupi.online/vuz/sf-mei/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sf-mei/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Филиал Национального исследовательского университета МЭИ в г. Смоленске","14.03.01","Ядерная энергетика и теплофизика","bachelor","","true","16","50","2026","https://smolensk.postupi.online/vuz/sf-mei/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sf-mei/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Филиал Национального исследовательского университета МЭИ в г. Смоленске","15.03.02","Технологические машины и оборудование","bachelor","","true","5","100","2026","https://smolensk.postupi.online/vuz/sf-mei/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sf-mei/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский филиал Международного юридического института","40.03.01","Юриспруденция","bachelor","","","","624","2026","https://smolensk.postupi.online/vuz/sf-myui/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sf-myui/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский филиал Российского экономического университета имени Г.В. Плеханова","19.03.04","Технология продукции и организация общественного питания","bachelor","","","","25","2026","https://smolensk.postupi.online/vuz/sf-reu-plehanova/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sf-reu-plehanova/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский филиал Российского экономического университета имени Г.В. Плеханова","38.03.01","Экономика","bachelor","","","","29","2026","https://smolensk.postupi.online/vuz/sf-reu-plehanova/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sf-reu-plehanova/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский филиал Российского экономического университета имени Г.В. Плеханова","38.03.02","Менеджмент","bachelor","","","","25","2026","https://smolensk.postupi.online/vuz/sf-reu-plehanova/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sf-reu-plehanova/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский филиал Российского экономического университета имени Г.В. Плеханова","38.03.06","Торговое дело","bachelor","","","","14","2026","https://smolensk.postupi.online/vuz/sf-reu-plehanova/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sf-reu-plehanova/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский филиал Российского экономического университета имени Г.В. Плеханова","43.03.03","Гостиничное дело","bachelor","","","","15","2026","https://smolensk.postupi.online/vuz/sf-reu-plehanova/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sf-reu-plehanova/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский государственный университет спорта","39.03.03","Организация работы с молодежью","bachelor","","","","20","2026","https://smolensk.postupi.online/vuz/sgafkst/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sgafkst/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский государственный университет спорта","43.03.02","Туризм","bachelor","","true","8","20","2026","https://smolensk.postupi.online/vuz/sgafkst/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sgafkst/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский государственный университет спорта","44.03.05","Педагогическое образование (с двумя профилями подготовки)","bachelor","","true","10","10","2026","https://smolensk.postupi.online/vuz/sgafkst/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sgafkst/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский государственный университет спорта","49.03.01","Физическая культура","bachelor","","true","30","21","2026","https://smolensk.postupi.online/vuz/sgafkst/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sgafkst/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский государственный университет спорта","49.03.02","Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура)","bachelor","","true","35","22","2026","https://smolensk.postupi.online/vuz/sgafkst/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sgafkst/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский государственный университет спорта","49.03.03","Рекреация и спортивно-оздоровительный туризм","bachelor","","true","17","12","2026","https://smolensk.postupi.online/vuz/sgafkst/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sgafkst/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский государственный университет спорта","49.03.04","Спорт","bachelor","","true","268","45","2026","https://smolensk.postupi.online/vuz/sgafkst/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sgafkst/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский государственный институт искусств","43.03.02","Туризм","bachelor","","true","20","15","2026","https://smolensk.postupi.online/vuz/sgii/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sgii/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский государственный институт искусств","51.03.02","Народная художественная культура","bachelor","","true","31","30","2026","https://smolensk.postupi.online/vuz/sgii/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sgii/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский государственный институт искусств","51.03.03","Социально-культурная деятельность","bachelor","","true","20","15","2026","https://smolensk.postupi.online/vuz/sgii/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sgii/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский государственный институт искусств","51.03.04","Музеология и охрана объектов культурного и природного наследия","bachelor","","true","20","15","2026","https://smolensk.postupi.online/vuz/sgii/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sgii/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский государственный институт искусств","51.03.05","Режиссура театрализованных представлений и праздников","bachelor","","true","16","15","2026","https://smolensk.postupi.online/vuz/sgii/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sgii/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский государственный институт искусств","51.03.06","Библиотечно-информационная деятельность","bachelor","","true","35","30","2026","https://smolensk.postupi.online/vuz/sgii/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sgii/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский государственный институт искусств","53.03.01","Музыкальное искусство эстрады","bachelor","","true","10","15","2026","https://smolensk.postupi.online/vuz/sgii/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sgii/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленский государственный институт искусств","53.03.02","Музыкально-инструментальное искусство","bachelor","","true","8","15","2026","https://smolensk.postupi.online/vuz/sgii/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sgii/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленская государственная сельскохозяйственная академия","13.03.01","Теплоэнергетика и теплотехника","bachelor","","","","40","2026","https://smolensk.postupi.online/vuz/sgsha/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sgsha/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
"Смоленская государственная сельскохозяйственная академия","19.03.04","Технология продукции и организация общественного питания","bachelor","","","","40","2026","https://smolensk.postupi.online/vuz/sgsha/specialnosti/bakalavr/","https://smolensk.postupi.online/vuz/sgsha/specialnosti/bakalavr/","2026-07-09T06:58:32.401Z"
