institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Международный инновационный университет","09.03.01","Информатика и вычислительная техника","bachelor","","","","90","2026","https://sochi.postupi.online/vuz/miu/specialnosti/bakalavr/","https://sochi.postupi.online/vuz/miu/specialnosti/bakalavr/","2026-07-09T06:56:17.142Z"
"Международный инновационный университет","09.03.03","Прикладная информатика","bachelor","","","","630","2026","https://sochi.postupi.online/vuz/miu/specialnosti/bakalavr/","https://sochi.postupi.online/vuz/miu/specialnosti/bakalavr/","2026-07-09T06:56:17.142Z"
"Международный инновационный университет","23.03.01","Технология транспортных процессов","bachelor","","","","270","2026","https://sochi.postupi.online/vuz/miu/specialnosti/bakalavr/","https://sochi.postupi.online/vuz/miu/specialnosti/bakalavr/","2026-07-09T06:56:17.142Z"
"Международный инновационный университет","37.03.01","Психология","bachelor","","","","68","2026","https://sochi.postupi.online/vuz/miu/specialnosti/bakalavr/","https://sochi.postupi.online/vuz/miu/specialnosti/bakalavr/","2026-07-09T06:56:17.142Z"
"Международный инновационный университет","38.03.01","Экономика","bachelor","","","","69","2026","https://sochi.postupi.online/vuz/miu/specialnosti/bakalavr/","https://sochi.postupi.online/vuz/miu/specialnosti/bakalavr/","2026-07-09T06:56:17.142Z"
"Международный инновационный университет","38.03.02","Менеджмент","bachelor","","","","65","2026","https://sochi.postupi.online/vuz/miu/specialnosti/bakalavr/","https://sochi.postupi.online/vuz/miu/specialnosti/bakalavr/","2026-07-09T06:56:17.142Z"
"Международный инновационный университет","38.03.03","Управление персоналом","bachelor","","","","40","2026","https://sochi.postupi.online/vuz/miu/specialnosti/bakalavr/","https://sochi.postupi.online/vuz/miu/specialnosti/bakalavr/","2026-07-09T06:56:17.142Z"
"Международный инновационный университет","38.03.04","Государственное и муниципальное управление","bachelor","","","","53","2026","https://sochi.postupi.online/vuz/miu/specialnosti/bakalavr/","https://sochi.postupi.online/vuz/miu/specialnosti/bakalavr/","2026-07-09T06:56:17.142Z"
"Международный инновационный университет","40.03.01","Юриспруденция","bachelor","","","","356","2026","https://sochi.postupi.online/vuz/miu/specialnosti/bakalavr/","https://sochi.postupi.online/vuz/miu/specialnosti/bakalavr/","2026-07-09T06:56:17.142Z"
"Международный инновационный университет","42.03.01","Реклама и связи с общественностью","bachelor","","","","45","2026","https://sochi.postupi.online/vuz/miu/specialnosti/bakalavr/","https://sochi.postupi.online/vuz/miu/specialnosti/bakalavr/","2026-07-09T06:56:17.142Z"
