institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Академия Русского балета имени А.Я. Вагановой","50.03.01","Искусства и гуманитарные науки","bachelor","","true","10","","2026","https://spb.postupi.online/vuz/akademiya-russkogo-baleta-im-a-ya-vaganovoj/specialnosti/bakalavr/","https://spb.postupi.online/vuz/akademiya-russkogo-baleta-im-a-ya-vaganovoj/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Академия Русского балета имени А.Я. Вагановой","52.03.01","Хореографическое искусство","bachelor","","true","30","1","2026","https://spb.postupi.online/vuz/akademiya-russkogo-baleta-im-a-ya-vaganovoj/specialnosti/bakalavr/","https://spb.postupi.online/vuz/akademiya-russkogo-baleta-im-a-ya-vaganovoj/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Академия Русского балета имени А.Я. Вагановой","52.03.02","Хореографическое исполнительство","bachelor","","true","20","","2026","https://spb.postupi.online/vuz/akademiya-russkogo-baleta-im-a-ya-vaganovoj/specialnosti/bakalavr/","https://spb.postupi.online/vuz/akademiya-russkogo-baleta-im-a-ya-vaganovoj/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Академия Русского балета имени А.Я. Вагановой","53.03.02","Музыкально-инструментальное искусство","bachelor","","true","6","","2026","https://spb.postupi.online/vuz/akademiya-russkogo-baleta-im-a-ya-vaganovoj/specialnosti/bakalavr/","https://spb.postupi.online/vuz/akademiya-russkogo-baleta-im-a-ya-vaganovoj/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Балтийская академия туризма и предпринимательства","37.03.01","Психология","bachelor","","","","20","2026","https://spb.postupi.online/vuz/batip/specialnosti/bakalavr/","https://spb.postupi.online/vuz/batip/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Балтийская академия туризма и предпринимательства","38.03.02","Менеджмент","bachelor","","","","25","2026","https://spb.postupi.online/vuz/batip/specialnosti/bakalavr/","https://spb.postupi.online/vuz/batip/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Балтийская академия туризма и предпринимательства","42.03.01","Реклама и связи с общественностью","bachelor","","","","15","2026","https://spb.postupi.online/vuz/batip/specialnosti/bakalavr/","https://spb.postupi.online/vuz/batip/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Балтийская академия туризма и предпринимательства","43.03.02","Туризм","bachelor","","","","25","2026","https://spb.postupi.online/vuz/batip/specialnosti/bakalavr/","https://spb.postupi.online/vuz/batip/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Балтийская академия туризма и предпринимательства","43.03.03","Гостиничное дело","bachelor","","","","25","2026","https://spb.postupi.online/vuz/batip/specialnosti/bakalavr/","https://spb.postupi.online/vuz/batip/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Балтийский гуманитарный институт","37.03.01","Психология","bachelor","","","","20","2026","https://spb.postupi.online/vuz/bgi/specialnosti/bakalavr/","https://spb.postupi.online/vuz/bgi/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Балтийский гуманитарный институт","38.03.01","Экономика","bachelor","","","","50","2026","https://spb.postupi.online/vuz/bgi/specialnosti/bakalavr/","https://spb.postupi.online/vuz/bgi/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Балтийский гуманитарный институт","38.03.02","Менеджмент","bachelor","","","","73","2026","https://spb.postupi.online/vuz/bgi/specialnosti/bakalavr/","https://spb.postupi.online/vuz/bgi/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Балтийский государственный технический университет ВОЕНМЕХ им. Д.Ф. Устинова","09.03.01","Информатика и вычислительная техника","bachelor","","true","25","50","2026","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Балтийский государственный технический университет ВОЕНМЕХ им. Д.Ф. Устинова","09.03.02","Информационные системы и технологии","bachelor","","true","26","50","2026","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Балтийский государственный технический университет ВОЕНМЕХ им. Д.Ф. Устинова","09.03.04","Программная инженерия","bachelor","","true","60","140","2026","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Балтийский государственный технический университет ВОЕНМЕХ им. Д.Ф. Устинова","12.03.01","Приборостроение","bachelor","","true","50","25","2026","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Балтийский государственный технический университет ВОЕНМЕХ им. Д.Ф. Устинова","12.03.05","Лазерная техника и лазерные технологии","bachelor","","true","73","27","2026","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Балтийский государственный технический университет ВОЕНМЕХ им. Д.Ф. Устинова","15.03.01","Машиностроение","bachelor","","true","30","90","2026","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Балтийский государственный технический университет ВОЕНМЕХ им. Д.Ф. Устинова","15.03.03","Прикладная механика","bachelor","","true","55","55","2026","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Балтийский государственный технический университет ВОЕНМЕХ им. Д.Ф. Устинова","15.03.06","Мехатроника и робототехника","bachelor","","true","20","40","2026","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Балтийский государственный технический университет ВОЕНМЕХ им. Д.Ф. Устинова","24.03.01","Ракетные комплексы и космонавтика","bachelor","","true","126","24","2026","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Балтийский государственный технический университет ВОЕНМЕХ им. Д.Ф. Устинова","24.03.05","Двигатели летательных аппаратов","bachelor","","true","50","30","2026","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
"Балтийский государственный технический университет ВОЕНМЕХ им. Д.Ф. Устинова","27.03.01","Стандартизация и метрология","bachelor","","true","7","23","2026","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/specialnosti/bakalavr/","2026-07-07T00:34:00.161Z"
