institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Филиал МИРЭА - Российского технологического университета в г. Ставрополе","08.03.01","Строительство","bachelor","","true","13","177","2026","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","2026-07-09T06:53:40.834Z"
"Филиал МИРЭА - Российского технологического университета в г. Ставрополе","09.03.01","Информатика и вычислительная техника","bachelor","","true","25","75","2026","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","2026-07-09T06:53:40.834Z"
"Филиал МИРЭА - Российского технологического университета в г. Ставрополе","09.03.03","Прикладная информатика","bachelor","","","","60","2026","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","2026-07-09T06:53:40.834Z"
"Филиал МИРЭА - Российского технологического университета в г. Ставрополе","15.03.05","Конструкторско-технологическое обеспечение машиностроительных производств","bachelor","","true","11","20","2026","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","2026-07-09T06:53:40.834Z"
"Филиал МИРЭА - Российского технологического университета в г. Ставрополе","38.03.01","Экономика","bachelor","","","","14","2026","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","2026-07-09T06:53:40.834Z"
"Филиал МИРЭА - Российского технологического университета в г. Ставрополе","38.03.02","Менеджмент","bachelor","","","","38","2026","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","2026-07-09T06:53:40.834Z"
"Филиал МИРЭА - Российского технологического университета в г. Ставрополе","38.03.04","Государственное и муниципальное управление","bachelor","","","","59","2026","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","2026-07-09T06:53:40.834Z"
"Филиал МИРЭА - Российского технологического университета в г. Ставрополе","38.03.05","Бизнес-информатика","bachelor","","true","2","20","2026","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","2026-07-09T06:53:40.834Z"
"Филиал МИРЭА - Российского технологического университета в г. Ставрополе","38.03.10","Жилищное хозяйство и коммунальная инфраструктура","bachelor","","","","40","2026","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","2026-07-09T06:53:40.834Z"
"Филиал МИРЭА - Российского технологического университета в г. Ставрополе","40.03.01","Юриспруденция","bachelor","","true","3","75","2026","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","2026-07-09T06:53:40.834Z"
"Филиал МИРЭА - Российского технологического университета в г. Ставрополе","54.03.01","Дизайн","bachelor","","","","60","2026","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/specialnosti/bakalavr/","2026-07-09T06:53:40.834Z"
"Ставропольский государственный педагогический институт","44.03.02","Психолого-педагогическое образование","bachelor","","true","65","15","2026","https://stavropol.postupi.online/vuz/sgpi/specialnosti/bakalavr/","https://stavropol.postupi.online/vuz/sgpi/specialnosti/bakalavr/","2026-07-09T06:53:40.834Z"
"Ставропольский государственный педагогический институт","44.03.03","Специальное (дефектологическое) образование","bachelor","","true","90","25","2026","https://stavropol.postupi.online/vuz/sgpi/specialnosti/bakalavr/","https://stavropol.postupi.online/vuz/sgpi/specialnosti/bakalavr/","2026-07-09T06:53:40.834Z"
"Ставропольский государственный педагогический институт","44.03.05","Педагогическое образование (с двумя профилями подготовки)","bachelor","","true","465","105","2026","https://stavropol.postupi.online/vuz/sgpi/specialnosti/bakalavr/","https://stavropol.postupi.online/vuz/sgpi/specialnosti/bakalavr/","2026-07-09T06:53:40.834Z"
"Ставропольский государственный педагогический институт","51.03.02","Народная художественная культура","bachelor","","true","30","10","2026","https://stavropol.postupi.online/vuz/sgpi/specialnosti/bakalavr/","https://stavropol.postupi.online/vuz/sgpi/specialnosti/bakalavr/","2026-07-09T06:53:40.834Z"
"Северо-Кавказский федеральный университет","01.03.02","Прикладная математика и информатика","bachelor","","true","48","5","2026","https://stavropol.postupi.online/vuz/skfu/specialnosti/bakalavr/","https://stavropol.postupi.online/vuz/skfu/specialnosti/bakalavr/","2026-07-09T06:53:40.834Z"
"Северо-Кавказский федеральный университет","02.03.01","Математика и компьютерные науки","bachelor","","true","47","5","2026","https://stavropol.postupi.online/vuz/skfu/specialnosti/bakalavr/","https://stavropol.postupi.online/vuz/skfu/specialnosti/bakalavr/","2026-07-09T06:53:40.834Z"
