institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Сургутский государственный педагогический университет","39.03.02","Социальная работа","bachelor","","true","15","10","2026","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","2026-07-09T07:01:41.171Z"
"Сургутский государственный педагогический университет","39.03.03","Организация работы с молодежью","bachelor","","true","15","10","2026","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","2026-07-09T07:01:41.171Z"
"Сургутский государственный педагогический университет","42.03.02","Журналистика","bachelor","","true","15","2","2026","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","2026-07-09T07:01:41.171Z"
"Сургутский государственный педагогический университет","43.03.03","Гостиничное дело","bachelor","","true","15","10","2026","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","2026-07-09T07:01:41.171Z"
"Сургутский государственный педагогический университет","44.03.01","Педагогическое образование","bachelor","","true","50","20","2026","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","2026-07-09T07:01:41.171Z"
"Сургутский государственный педагогический университет","44.03.02","Психолого-педагогическое образование","bachelor","","true","20","10","2026","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","2026-07-09T07:01:41.171Z"
"Сургутский государственный педагогический университет","44.03.03","Специальное (дефектологическое) образование","bachelor","","true","40","45","2026","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","2026-07-09T07:01:41.171Z"
"Сургутский государственный педагогический университет","44.03.04","Профессиональное обучение (по отраслям)","bachelor","","true","15","10","2026","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","2026-07-09T07:01:41.171Z"
"Сургутский государственный педагогический университет","44.03.05","Педагогическое образование (с двумя профилями подготовки)","bachelor","","true","175","155","2026","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","2026-07-09T07:01:41.171Z"
"Сургутский государственный педагогический университет","46.03.02","Документоведение и архивоведение","bachelor","","true","15","35","2026","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","2026-07-09T07:01:41.171Z"
"Сургутский государственный педагогический университет","49.03.01","Физическая культура","bachelor","","true","25","35","2026","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","2026-07-09T07:01:41.171Z"
"Сургутский государственный педагогический университет","49.03.02","Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура)","bachelor","","true","15","10","2026","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","https://surgut.postupi.online/vuz/sgpu/specialnosti/bakalavr/","2026-07-09T07:01:41.171Z"
