institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Коми республиканская академия государственной службы и управления","38.03.04","Государственное и муниципальное управление","bachelor","","","","46","2026","https://syktyvkar.postupi.online/vuz/kragsiu/specialnosti/bakalavr/","https://syktyvkar.postupi.online/vuz/kragsiu/specialnosti/bakalavr/","2026-07-09T07:01:13.935Z"
"Коми республиканская академия государственной службы и управления","40.03.01","Юриспруденция","bachelor","","","","55","2026","https://syktyvkar.postupi.online/vuz/kragsiu/specialnosti/bakalavr/","https://syktyvkar.postupi.online/vuz/kragsiu/specialnosti/bakalavr/","2026-07-09T07:01:13.935Z"
"Коми республиканская академия государственной службы и управления","46.03.02","Документоведение и архивоведение","bachelor","","","","95","2026","https://syktyvkar.postupi.online/vuz/kragsiu/specialnosti/bakalavr/","https://syktyvkar.postupi.online/vuz/kragsiu/specialnosti/bakalavr/","2026-07-09T07:01:13.935Z"
"Сыктывкарский государственный университет имени Питирима Сорокина","01.03.02","Прикладная математика и информатика","bachelor","","true","30","20","2026","https://syktyvkar.postupi.online/vuz/sgu-im-pitirima-sorokina/specialnosti/bakalavr/","https://syktyvkar.postupi.online/vuz/sgu-im-pitirima-sorokina/specialnosti/bakalavr/","2026-07-09T07:01:13.935Z"
"Сыктывкарский государственный университет имени Питирима Сорокина","02.03.01","Математика и компьютерные науки","bachelor","","true","21","20","2026","https://syktyvkar.postupi.online/vuz/sgu-im-pitirima-sorokina/specialnosti/bakalavr/","https://syktyvkar.postupi.online/vuz/sgu-im-pitirima-sorokina/specialnosti/bakalavr/","2026-07-09T07:01:13.935Z"
"Сыктывкарский государственный университет имени Питирима Сорокина","03.03.02","Физика","bachelor","","true","12","20","2026","https://syktyvkar.postupi.online/vuz/sgu-im-pitirima-sorokina/specialnosti/bakalavr/","https://syktyvkar.postupi.online/vuz/sgu-im-pitirima-sorokina/specialnosti/bakalavr/","2026-07-09T07:01:13.935Z"
"Сыктывкарский государственный университет имени Питирима Сорокина","03.03.03","Радиофизика","bachelor","","true","12","20","2026","https://syktyvkar.postupi.online/vuz/sgu-im-pitirima-sorokina/specialnosti/bakalavr/","https://syktyvkar.postupi.online/vuz/sgu-im-pitirima-sorokina/specialnosti/bakalavr/","2026-07-09T07:01:13.935Z"
"Сыктывкарский государственный университет имени Питирима Сорокина","07.03.01","Архитектура","bachelor","","","","11","2026","https://syktyvkar.postupi.online/vuz/sgu-im-pitirima-sorokina/specialnosti/bakalavr/","https://syktyvkar.postupi.online/vuz/sgu-im-pitirima-sorokina/specialnosti/bakalavr/","2026-07-09T07:01:13.935Z"
"Сыктывкарский государственный университет имени Питирима Сорокина","09.03.03","Прикладная информатика","bachelor","","true","50","20","2026","https://syktyvkar.postupi.online/vuz/sgu-im-pitirima-sorokina/specialnosti/bakalavr/","https://syktyvkar.postupi.online/vuz/sgu-im-pitirima-sorokina/specialnosti/bakalavr/","2026-07-09T07:01:13.935Z"
"Сыктывкарский государственный университет имени Питирима Сорокина","10.03.01","Информационная безопасность","bachelor","","true","30","20","2026","https://syktyvkar.postupi.online/vuz/sgu-im-pitirima-sorokina/specialnosti/bakalavr/","https://syktyvkar.postupi.online/vuz/sgu-im-pitirima-sorokina/specialnosti/bakalavr/","2026-07-09T07:01:13.935Z"
