institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Национальный исследовательский Томский государственный университет","01.03.01","Математика","bachelor","","true","21","5","2026","https://tomsk.postupi.online/vuz/nacionalnyj-issledovatelskij-tomskij-gosudarstvennyj-universitet/specialnosti/bakalavr/","https://tomsk.postupi.online/vuz/nacionalnyj-issledovatelskij-tomskij-gosudarstvennyj-universitet/specialnosti/bakalavr/","2026-07-09T06:52:54.757Z"
"Национальный исследовательский Томский государственный университет","01.03.02","Прикладная математика и информатика","bachelor","","true","88","33","2026","https://tomsk.postupi.online/vuz/nacionalnyj-issledovatelskij-tomskij-gosudarstvennyj-universitet/specialnosti/bakalavr/","https://tomsk.postupi.online/vuz/nacionalnyj-issledovatelskij-tomskij-gosudarstvennyj-universitet/specialnosti/bakalavr/","2026-07-09T06:52:54.757Z"
"Национальный исследовательский Томский государственный университет","01.03.03","Механика и математическое моделирование","bachelor","","true","21","3","2026","https://tomsk.postupi.online/vuz/nacionalnyj-issledovatelskij-tomskij-gosudarstvennyj-universitet/specialnosti/bakalavr/","https://tomsk.postupi.online/vuz/nacionalnyj-issledovatelskij-tomskij-gosudarstvennyj-universitet/specialnosti/bakalavr/","2026-07-09T06:52:54.757Z"
"Национальный исследовательский Томский государственный университет","02.03.01","Математика и компьютерные науки","bachelor","","true","48","6","2026","https://tomsk.postupi.online/vuz/nacionalnyj-issledovatelskij-tomskij-gosudarstvennyj-universitet/specialnosti/bakalavr/","https://tomsk.postupi.online/vuz/nacionalnyj-issledovatelskij-tomskij-gosudarstvennyj-universitet/specialnosti/bakalavr/","2026-07-09T06:52:54.757Z"
"Национальный исследовательский Томский государственный университет","02.03.02","Фундаментальная информатика и информационные технологии","bachelor","","true","50","25","2026","https://tomsk.postupi.online/vuz/nacionalnyj-issledovatelskij-tomskij-gosudarstvennyj-universitet/specialnosti/bakalavr/","https://tomsk.postupi.online/vuz/nacionalnyj-issledovatelskij-tomskij-gosudarstvennyj-universitet/specialnosti/bakalavr/","2026-07-09T06:52:54.757Z"
"Национальный исследовательский Томский государственный университет","02.03.03","Математическое обеспечение и администрирование информационных систем","bachelor","","true","30","6","2026","https://tomsk.postupi.online/vuz/nacionalnyj-issledovatelskij-tomskij-gosudarstvennyj-universitet/specialnosti/bakalavr/","https://tomsk.postupi.online/vuz/nacionalnyj-issledovatelskij-tomskij-gosudarstvennyj-universitet/specialnosti/bakalavr/","2026-07-09T06:52:54.757Z"
"Национальный исследовательский Томский государственный университет","03.03.02","Физика","bachelor","","true","60","25","2026","https://tomsk.postupi.online/vuz/nacionalnyj-issledovatelskij-tomskij-gosudarstvennyj-universitet/specialnosti/bakalavr/","https://tomsk.postupi.online/vuz/nacionalnyj-issledovatelskij-tomskij-gosudarstvennyj-universitet/specialnosti/bakalavr/","2026-07-09T06:52:54.757Z"
"Национальный исследовательский Томский государственный университет","03.03.03","Радиофизика","bachelor","","true","30","5","2026","https://tomsk.postupi.online/vuz/nacionalnyj-issledovatelskij-tomskij-gosudarstvennyj-universitet/specialnosti/bakalavr/","https://tomsk.postupi.online/vuz/nacionalnyj-issledovatelskij-tomskij-gosudarstvennyj-universitet/specialnosti/bakalavr/","2026-07-09T06:52:54.757Z"
"Национальный исследовательский Томский государственный университет","09.03.02","Информационные системы и технологии","bachelor","","true","62","50","2026","https://tomsk.postupi.online/vuz/nacionalnyj-issledovatelskij-tomskij-gosudarstvennyj-universitet/specialnosti/bakalavr/","https://tomsk.postupi.online/vuz/nacionalnyj-issledovatelskij-tomskij-gosudarstvennyj-universitet/specialnosti/bakalavr/","2026-07-09T06:52:54.757Z"
"Национальный исследовательский Томский государственный университет","09.03.04","Программная инженерия","bachelor","","true","100","53","2026","https://tomsk.postupi.online/vuz/nacionalnyj-issledovatelskij-tomskij-gosudarstvennyj-universitet/specialnosti/bakalavr/","https://tomsk.postupi.online/vuz/nacionalnyj-issledovatelskij-tomskij-gosudarstvennyj-universitet/specialnosti/bakalavr/","2026-07-09T06:52:54.757Z"
