institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Международная полицейская академия ВПА","09.03.03","Прикладная информатика","bachelor","","","","80","2026","https://tula.postupi.online/vuz/mpa-vpa/specialnosti/bakalavr/","https://tula.postupi.online/vuz/mpa-vpa/specialnosti/bakalavr/","2026-07-09T06:52:08.443Z"
"Международная полицейская академия ВПА","10.03.01","Информационная безопасность","bachelor","","","","50","2026","https://tula.postupi.online/vuz/mpa-vpa/specialnosti/bakalavr/","https://tula.postupi.online/vuz/mpa-vpa/specialnosti/bakalavr/","2026-07-09T06:52:08.443Z"
"Международная полицейская академия ВПА","27.03.02","Управление качеством","bachelor","","","","50","2026","https://tula.postupi.online/vuz/mpa-vpa/specialnosti/bakalavr/","https://tula.postupi.online/vuz/mpa-vpa/specialnosti/bakalavr/","2026-07-09T06:52:08.443Z"
"Международная полицейская академия ВПА","37.03.01","Психология","bachelor","","","","20","2026","https://tula.postupi.online/vuz/mpa-vpa/specialnosti/bakalavr/","https://tula.postupi.online/vuz/mpa-vpa/specialnosti/bakalavr/","2026-07-09T06:52:08.443Z"
"Международная полицейская академия ВПА","38.03.01","Экономика","bachelor","","","","18","2026","https://tula.postupi.online/vuz/mpa-vpa/specialnosti/bakalavr/","https://tula.postupi.online/vuz/mpa-vpa/specialnosti/bakalavr/","2026-07-09T06:52:08.443Z"
"Международная полицейская академия ВПА","38.03.02","Менеджмент","bachelor","","","","67","2026","https://tula.postupi.online/vuz/mpa-vpa/specialnosti/bakalavr/","https://tula.postupi.online/vuz/mpa-vpa/specialnosti/bakalavr/","2026-07-09T06:52:08.443Z"
"Международная полицейская академия ВПА","38.03.05","Бизнес-информатика","bachelor","","","","20","2026","https://tula.postupi.online/vuz/mpa-vpa/specialnosti/bakalavr/","https://tula.postupi.online/vuz/mpa-vpa/specialnosti/bakalavr/","2026-07-09T06:52:08.443Z"
"Международная полицейская академия ВПА","40.03.01","Юриспруденция","bachelor","","","","110","2026","https://tula.postupi.online/vuz/mpa-vpa/specialnosti/bakalavr/","https://tula.postupi.online/vuz/mpa-vpa/specialnosti/bakalavr/","2026-07-09T06:52:08.443Z"
"Международная полицейская академия ВПА","44.03.02","Психолого-педагогическое образование","bachelor","","","","55","2026","https://tula.postupi.online/vuz/mpa-vpa/specialnosti/bakalavr/","https://tula.postupi.online/vuz/mpa-vpa/specialnosti/bakalavr/","2026-07-09T06:52:08.443Z"
"Тульский государственный педагогический университет им. Л.Н. Толстого","02.03.02","Фундаментальная информатика и информационные технологии","bachelor","","true","24","15","2026","https://tula.postupi.online/vuz/tgpu-im-l-n-tolstogo/specialnosti/bakalavr/","https://tula.postupi.online/vuz/tgpu-im-l-n-tolstogo/specialnosti/bakalavr/","2026-07-09T06:52:08.443Z"
