institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Филиал Российского государственного университета им. А.Н. Косыгина (Технологии. Дизайн. Искусство) в г. Твери","09.03.02","Информационные системы и технологии","bachelor","","","","17","2026","https://tver.postupi.online/vuz/filial-rgu-kosygina-tver/specialnosti/bakalavr/","https://tver.postupi.online/vuz/filial-rgu-kosygina-tver/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Филиал Российского государственного университета им. А.Н. Косыгина (Технологии. Дизайн. Искусство) в г. Твери","46.03.01","История","bachelor","","true","10","7","2026","https://tver.postupi.online/vuz/filial-rgu-kosygina-tver/specialnosti/bakalavr/","https://tver.postupi.online/vuz/filial-rgu-kosygina-tver/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Филиал Российского государственного университета им. А.Н. Косыгина (Технологии. Дизайн. Искусство) в г. Твери","54.03.01","Дизайн","bachelor","","true","7","30","2026","https://tver.postupi.online/vuz/filial-rgu-kosygina-tver/specialnosti/bakalavr/","https://tver.postupi.online/vuz/filial-rgu-kosygina-tver/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверская государственная сельскохозяйственная академия","19.03.01","Биотехнология","bachelor","","","","10","2026","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверская государственная сельскохозяйственная академия","23.03.01","Технология транспортных процессов","bachelor","","","","35","2026","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверская государственная сельскохозяйственная академия","23.03.03","Эксплуатация транспортно-технологических машин и комплексов","bachelor","","","","40","2026","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверская государственная сельскохозяйственная академия","35.03.01","Лесное дело","bachelor","","true","22","5","2026","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверская государственная сельскохозяйственная академия","35.03.02","Технология лесозаготовительных и деревоперерабатывающих производств","bachelor","","true","7","4","2026","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверская государственная сельскохозяйственная академия","35.03.03","Агрохимия и агропочвоведение","bachelor","","true","11","","2026","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверская государственная сельскохозяйственная академия","35.03.04","Агрономия","bachelor","","true","20","3","2026","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверская государственная сельскохозяйственная академия","35.03.06","Агроинженерия","bachelor","","true","125","32","2026","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверская государственная сельскохозяйственная академия","35.03.07","Технология производства и переработки сельскохозяйственной продукции","bachelor","","true","24","5","2026","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверская государственная сельскохозяйственная академия","36.03.01","Ветеринарно-санитарная экспертиза","bachelor","","true","25","2","2026","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверская государственная сельскохозяйственная академия","36.03.02","Зоотехния","bachelor","","true","18","7","2026","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверская государственная сельскохозяйственная академия","38.03.01","Экономика","bachelor","","","","30","2026","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверская государственная сельскохозяйственная академия","38.03.02","Менеджмент","bachelor","","","","30","2026","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверская государственная сельскохозяйственная академия","43.03.02","Туризм","bachelor","","","","40","2026","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tgsxa/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.01","Экономика","bachelor","","true","4","32","2026","https://tver.postupi.online/vuz/tverskoj-filial-ranhigs/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tverskoj-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.02","Менеджмент","bachelor","","true","4","32","2026","https://tver.postupi.online/vuz/tverskoj-filial-ranhigs/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tverskoj-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.04","Государственное и муниципальное управление","bachelor","","true","10","77","2026","https://tver.postupi.online/vuz/tverskoj-filial-ranhigs/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tverskoj-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской государственный медицинский университет","34.03.01","Сестринское дело","bachelor","","","","37","2026","https://tver.postupi.online/vuz/tverskoj-gmu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tverskoj-gmu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской институт (филиал) Московского гуманитарно-экономического университета","37.03.01","Психология","bachelor","","","","66","2026","https://tver.postupi.online/vuz/tverskoj-institut-mgeu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tverskoj-institut-mgeu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской институт (филиал) Московского гуманитарно-экономического университета","38.03.02","Менеджмент","bachelor","","","","51","2026","https://tver.postupi.online/vuz/tverskoj-institut-mgeu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tverskoj-institut-mgeu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской институт (филиал) Московского гуманитарно-экономического университета","40.03.01","Юриспруденция","bachelor","","","","245","2026","https://tver.postupi.online/vuz/tverskoj-institut-mgeu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tverskoj-institut-mgeu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской государственный технический университет","08.03.01","Строительство","bachelor","","true","130","200","2026","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской государственный технический университет","09.03.01","Информатика и вычислительная техника","bachelor","","true","75","90","2026","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской государственный технический университет","09.03.02","Информационные системы и технологии","bachelor","","true","47","115","2026","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской государственный технический университет","09.03.03","Прикладная информатика","bachelor","","true","47","75","2026","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской государственный технический университет","09.03.04","Программная инженерия","bachelor","","true","53","30","2026","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской государственный технический университет","12.03.01","Приборостроение","bachelor","","true","20","5","2026","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской государственный технический университет","12.03.04","Биотехнические системы и технологии","bachelor","","true","20","5","2026","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской государственный технический университет","13.03.01","Теплоэнергетика и теплотехника","bachelor","","true","40","75","2026","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской государственный технический университет","13.03.02","Электроэнергетика и электротехника","bachelor","","true","25","115","2026","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской государственный технический университет","15.03.05","Конструкторско-технологическое обеспечение машиностроительных производств","bachelor","","true","45","89","2026","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской государственный технический университет","18.03.01","Химическая технология","bachelor","","true","50","10","2026","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской государственный технический университет","19.03.01","Биотехнология","bachelor","","true","16","9","2026","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской государственный технический университет","20.03.01","Техносферная безопасность","bachelor","","true","25","35","2026","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской государственный технический университет","21.03.02","Землеустройство и кадастры","bachelor","","","","50","2026","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской государственный технический университет","23.03.03","Эксплуатация транспортно-технологических машин и комплексов","bachelor","","","","30","2026","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской государственный технический университет","27.03.01","Стандартизация и метрология","bachelor","","true","27","5","2026","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской государственный технический университет","27.03.04","Управление в технических системах","bachelor","","","","50","2026","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской государственный технический университет","37.03.01","Психология","bachelor","","","","30","2026","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
"Тверской государственный технический университет","38.03.01","Экономика","bachelor","","","","25","2026","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","https://tver.postupi.online/vuz/tvgtu/specialnosti/bakalavr/","2026-07-09T06:57:10.597Z"
