institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Тюменский государственный институт культуры","51.03.02","Народная художественная культура","bachelor","","true","22","12","2026","https://tyumen.postupi.online/vuz/tgik/specialnosti/bakalavr/","https://tyumen.postupi.online/vuz/tgik/specialnosti/bakalavr/","2026-07-09T06:49:16.113Z"
"Тюменский государственный институт культуры","51.03.03","Социально-культурная деятельность","bachelor","","true","30","9","2026","https://tyumen.postupi.online/vuz/tgik/specialnosti/bakalavr/","https://tyumen.postupi.online/vuz/tgik/specialnosti/bakalavr/","2026-07-09T06:49:16.113Z"
"Тюменский государственный институт культуры","51.03.05","Режиссура театрализованных представлений и праздников","bachelor","","true","25","6","2026","https://tyumen.postupi.online/vuz/tgik/specialnosti/bakalavr/","https://tyumen.postupi.online/vuz/tgik/specialnosti/bakalavr/","2026-07-09T06:49:16.113Z"
"Тюменский государственный институт культуры","51.03.06","Библиотечно-информационная деятельность","bachelor","","","","2","2026","https://tyumen.postupi.online/vuz/tgik/specialnosti/bakalavr/","https://tyumen.postupi.online/vuz/tgik/specialnosti/bakalavr/","2026-07-09T06:49:16.113Z"
"Тюменский государственный институт культуры","52.03.01","Хореографическое искусство","bachelor","","true","20","16","2026","https://tyumen.postupi.online/vuz/tgik/specialnosti/bakalavr/","https://tyumen.postupi.online/vuz/tgik/specialnosti/bakalavr/","2026-07-09T06:49:16.113Z"
"Тюменский государственный институт культуры","53.03.01","Музыкальное искусство эстрады","bachelor","","true","10","9","2026","https://tyumen.postupi.online/vuz/tgik/specialnosti/bakalavr/","https://tyumen.postupi.online/vuz/tgik/specialnosti/bakalavr/","2026-07-09T06:49:16.113Z"
"Тюменский государственный институт культуры","53.03.02","Музыкально-инструментальное искусство","bachelor","","true","5","","2026","https://tyumen.postupi.online/vuz/tgik/specialnosti/bakalavr/","https://tyumen.postupi.online/vuz/tgik/specialnosti/bakalavr/","2026-07-09T06:49:16.113Z"
"Тюменский государственный институт культуры","53.03.03","Вокальное искусство","bachelor","","true","2","","2026","https://tyumen.postupi.online/vuz/tgik/specialnosti/bakalavr/","https://tyumen.postupi.online/vuz/tgik/specialnosti/bakalavr/","2026-07-09T06:49:16.113Z"
"Тюменский государственный институт культуры","53.03.04","Искусство народного пения","bachelor","","true","5","","2026","https://tyumen.postupi.online/vuz/tgik/specialnosti/bakalavr/","https://tyumen.postupi.online/vuz/tgik/specialnosti/bakalavr/","2026-07-09T06:49:16.113Z"
"Тюменский государственный институт культуры","53.03.05","Дирижирование","bachelor","","true","5","","2026","https://tyumen.postupi.online/vuz/tgik/specialnosti/bakalavr/","https://tyumen.postupi.online/vuz/tgik/specialnosti/bakalavr/","2026-07-09T06:49:16.113Z"
