institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Башкирская академия государственной службы и управления при Главе Республики Башкортостан","37.03.01","Психология","bachelor","","","","20","2026","https://ufa.postupi.online/vuz/bagsu/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bagsu/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
"Башкирская академия государственной службы и управления при Главе Республики Башкортостан","38.03.01","Экономика","bachelor","","true","16","40","2026","https://ufa.postupi.online/vuz/bagsu/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bagsu/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
"Башкирская академия государственной службы и управления при Главе Республики Башкортостан","38.03.04","Государственное и муниципальное управление","bachelor","","true","9","122","2026","https://ufa.postupi.online/vuz/bagsu/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bagsu/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
"Башкирская академия государственной службы и управления при Главе Республики Башкортостан","40.03.01","Юриспруденция","bachelor","","true","28","180","2026","https://ufa.postupi.online/vuz/bagsu/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bagsu/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
"Уфимский университет науки и технологий","01.03.02","Прикладная математика и информатика","bachelor","","true","125","2","2026","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
"Уфимский университет науки и технологий","01.03.05","Статистика","bachelor","","true","30","","2026","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
"Уфимский университет науки и технологий","02.03.01","Математика и компьютерные науки","bachelor","","true","50","","2026","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
"Уфимский университет науки и технологий","02.03.02","Фундаментальная информатика и информационные технологии","bachelor","","true","27","3","2026","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
"Уфимский университет науки и технологий","02.03.03","Математическое обеспечение и администрирование информационных систем","bachelor","","true","46","2","2026","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
"Уфимский университет науки и технологий","03.03.01","Прикладные математика и физика","bachelor","","true","30","","2026","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
"Уфимский университет науки и технологий","03.03.02","Физика","bachelor","","true","50","2","2026","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
"Уфимский университет науки и технологий","09.03.01","Информатика и вычислительная техника","bachelor","","true","75","5","2026","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
"Уфимский университет науки и технологий","09.03.02","Информационные системы и технологии","bachelor","","true","50","63","2026","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
"Уфимский университет науки и технологий","09.03.03","Прикладная информатика","bachelor","","true","145","85","2026","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
"Уфимский университет науки и технологий","09.03.04","Программная инженерия","bachelor","","true","75","15","2026","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
"Уфимский университет науки и технологий","10.03.01","Информационная безопасность","bachelor","","true","89","5","2026","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bashgu/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
"Башкирский государственный аграрный университет","08.03.01","Строительство","bachelor","","true","59","110","2026","https://ufa.postupi.online/vuz/bashkirskij-gau/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bashkirskij-gau/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
"Башкирский государственный аграрный университет","09.03.03","Прикладная информатика","bachelor","","","","170","2026","https://ufa.postupi.online/vuz/bashkirskij-gau/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bashkirskij-gau/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
"Башкирский государственный аграрный университет","13.03.01","Теплоэнергетика и теплотехника","bachelor","","true","55","50","2026","https://ufa.postupi.online/vuz/bashkirskij-gau/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bashkirskij-gau/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
"Башкирский государственный аграрный университет","13.03.02","Электроэнергетика и электротехника","bachelor","","true","70","120","2026","https://ufa.postupi.online/vuz/bashkirskij-gau/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bashkirskij-gau/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
"Башкирский государственный аграрный университет","19.03.01","Биотехнология","bachelor","","true","20","10","2026","https://ufa.postupi.online/vuz/bashkirskij-gau/specialnosti/bakalavr/","https://ufa.postupi.online/vuz/bashkirskij-gau/specialnosti/bakalavr/","2026-07-08T20:38:01.068Z"
