institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Поволжский казачий институт управления и пищевых технологий (филиал) МГУТУ им. К. Г. Разумовского (ПКУ)","09.03.03","Прикладная информатика","bachelor","","","","15","2026","https://ulyanovsk.postupi.online/vuz/pkiupt/specialnosti/bakalavr/","https://ulyanovsk.postupi.online/vuz/pkiupt/specialnosti/bakalavr/","2026-07-09T06:55:03.647Z"
"Поволжский казачий институт управления и пищевых технологий (филиал) МГУТУ им. К. Г. Разумовского (ПКУ)","15.03.04","Автоматизация технологических процессов и производств","bachelor","","true","25","85","2026","https://ulyanovsk.postupi.online/vuz/pkiupt/specialnosti/bakalavr/","https://ulyanovsk.postupi.online/vuz/pkiupt/specialnosti/bakalavr/","2026-07-09T06:55:03.647Z"
"Поволжский казачий институт управления и пищевых технологий (филиал) МГУТУ им. К. Г. Разумовского (ПКУ)","19.03.04","Технология продукции и организация общественного питания","bachelor","","true","15","20","2026","https://ulyanovsk.postupi.online/vuz/pkiupt/specialnosti/bakalavr/","https://ulyanovsk.postupi.online/vuz/pkiupt/specialnosti/bakalavr/","2026-07-09T06:55:03.647Z"
"Поволжский казачий институт управления и пищевых технологий (филиал) МГУТУ им. К. Г. Разумовского (ПКУ)","44.03.02","Психолого-педагогическое образование","bachelor","","true","40","40","2026","https://ulyanovsk.postupi.online/vuz/pkiupt/specialnosti/bakalavr/","https://ulyanovsk.postupi.online/vuz/pkiupt/specialnosti/bakalavr/","2026-07-09T06:55:03.647Z"
"Ульяновский государственный аграрный университет имени П.А. Столыпина","19.03.04","Технология продукции и организация общественного питания","bachelor","","true","25","5","2026","https://ulyanovsk.postupi.online/vuz/ulgau/specialnosti/bakalavr/","https://ulyanovsk.postupi.online/vuz/ulgau/specialnosti/bakalavr/","2026-07-09T06:55:03.647Z"
"Ульяновский государственный аграрный университет имени П.А. Столыпина","21.03.02","Землеустройство и кадастры","bachelor","","true","48","30","2026","https://ulyanovsk.postupi.online/vuz/ulgau/specialnosti/bakalavr/","https://ulyanovsk.postupi.online/vuz/ulgau/specialnosti/bakalavr/","2026-07-09T06:55:03.647Z"
"Ульяновский государственный аграрный университет имени П.А. Столыпина","23.03.03","Эксплуатация транспортно-технологических машин и комплексов","bachelor","","true","20","65","2026","https://ulyanovsk.postupi.online/vuz/ulgau/specialnosti/bakalavr/","https://ulyanovsk.postupi.online/vuz/ulgau/specialnosti/bakalavr/","2026-07-09T06:55:03.647Z"
"Ульяновский государственный аграрный университет имени П.А. Столыпина","35.03.04","Агрономия","bachelor","","true","46","30","2026","https://ulyanovsk.postupi.online/vuz/ulgau/specialnosti/bakalavr/","https://ulyanovsk.postupi.online/vuz/ulgau/specialnosti/bakalavr/","2026-07-09T06:55:03.647Z"
"Ульяновский государственный аграрный университет имени П.А. Столыпина","35.03.06","Агроинженерия","bachelor","","true","111","60","2026","https://ulyanovsk.postupi.online/vuz/ulgau/specialnosti/bakalavr/","https://ulyanovsk.postupi.online/vuz/ulgau/specialnosti/bakalavr/","2026-07-09T06:55:03.647Z"
"Ульяновский государственный аграрный университет имени П.А. Столыпина","35.03.07","Технология производства и переработки сельскохозяйственной продукции","bachelor","","true","41","30","2026","https://ulyanovsk.postupi.online/vuz/ulgau/specialnosti/bakalavr/","https://ulyanovsk.postupi.online/vuz/ulgau/specialnosti/bakalavr/","2026-07-09T06:55:03.647Z"
"Ульяновский государственный аграрный университет имени П.А. Столыпина","35.03.08","Водные биоресурсы и аквакультура","bachelor","","true","16","10","2026","https://ulyanovsk.postupi.online/vuz/ulgau/specialnosti/bakalavr/","https://ulyanovsk.postupi.online/vuz/ulgau/specialnosti/bakalavr/","2026-07-09T06:55:03.647Z"
"Ульяновский государственный аграрный университет имени П.А. Столыпина","35.03.10","Ландшафтная архитектура","bachelor","","true","21","30","2026","https://ulyanovsk.postupi.online/vuz/ulgau/specialnosti/bakalavr/","https://ulyanovsk.postupi.online/vuz/ulgau/specialnosti/bakalavr/","2026-07-09T06:55:03.647Z"
"Ульяновский государственный аграрный университет имени П.А. Столыпина","36.03.01","Ветеринарно-санитарная экспертиза","bachelor","","","","25","2026","https://ulyanovsk.postupi.online/vuz/ulgau/specialnosti/bakalavr/","https://ulyanovsk.postupi.online/vuz/ulgau/specialnosti/bakalavr/","2026-07-09T06:55:03.647Z"
