institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Владимирский филиал Финансового университета при Правительстве Российской Федерации","38.03.01","Экономика","bachelor","","true","14","70","2026","https://vladimir.postupi.online/vuz/vladimirskij-filial-finuniversiteta/specialnosti/bakalavr/","https://vladimir.postupi.online/vuz/vladimirskij-filial-finuniversiteta/specialnosti/bakalavr/","2026-07-09T06:57:56.158Z"
"Владимирский филиал Финансового университета при Правительстве Российской Федерации","38.03.02","Менеджмент","bachelor","","true","12","34","2026","https://vladimir.postupi.online/vuz/vladimirskij-filial-finuniversiteta/specialnosti/bakalavr/","https://vladimir.postupi.online/vuz/vladimirskij-filial-finuniversiteta/specialnosti/bakalavr/","2026-07-09T06:57:56.158Z"
"Владимирский филиал Финансового университета при Правительстве Российской Федерации","38.03.04","Государственное и муниципальное управление","bachelor","","true","16","4","2026","https://vladimir.postupi.online/vuz/vladimirskij-filial-finuniversiteta/specialnosti/bakalavr/","https://vladimir.postupi.online/vuz/vladimirskij-filial-finuniversiteta/specialnosti/bakalavr/","2026-07-09T06:57:56.158Z"
"Владимирский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.01","Экономика","bachelor","","true","19","12","2026","https://vladimir.postupi.online/vuz/vladimirskij-filial-ranhigs/specialnosti/bakalavr/","https://vladimir.postupi.online/vuz/vladimirskij-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:57:56.158Z"
"Владимирский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.02","Менеджмент","bachelor","","true","17","35","2026","https://vladimir.postupi.online/vuz/vladimirskij-filial-ranhigs/specialnosti/bakalavr/","https://vladimir.postupi.online/vuz/vladimirskij-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:57:56.158Z"
"Владимирский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.03","Управление персоналом","bachelor","","true","15","39","2026","https://vladimir.postupi.online/vuz/vladimirskij-filial-ranhigs/specialnosti/bakalavr/","https://vladimir.postupi.online/vuz/vladimirskij-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:57:56.158Z"
"Владимирский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.04","Государственное и муниципальное управление","bachelor","","true","17","43","2026","https://vladimir.postupi.online/vuz/vladimirskij-filial-ranhigs/specialnosti/bakalavr/","https://vladimir.postupi.online/vuz/vladimirskij-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:57:56.158Z"
"Владимирский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","40.03.01","Юриспруденция","bachelor","","true","14","141","2026","https://vladimir.postupi.online/vuz/vladimirskij-filial-ranhigs/specialnosti/bakalavr/","https://vladimir.postupi.online/vuz/vladimirskij-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:57:56.158Z"
"Владимирский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","42.03.01","Реклама и связи с общественностью","bachelor","","","","46","2026","https://vladimir.postupi.online/vuz/vladimirskij-filial-ranhigs/specialnosti/bakalavr/","https://vladimir.postupi.online/vuz/vladimirskij-filial-ranhigs/specialnosti/bakalavr/","2026-07-09T06:57:56.158Z"
"Владимирский филиал Российского университета кооперации","09.03.02","Информационные системы и технологии","bachelor","","","","55","2026","https://vladimir.postupi.online/vuz/vladimirskij-filial-ruk/specialnosti/bakalavr/","https://vladimir.postupi.online/vuz/vladimirskij-filial-ruk/specialnosti/bakalavr/","2026-07-09T06:57:56.158Z"
"Владимирский филиал Российского университета кооперации","19.03.04","Технология продукции и организация общественного питания","bachelor","","","","75","2026","https://vladimir.postupi.online/vuz/vladimirskij-filial-ruk/specialnosti/bakalavr/","https://vladimir.postupi.online/vuz/vladimirskij-filial-ruk/specialnosti/bakalavr/","2026-07-09T06:57:56.158Z"
"Владимирский филиал Российского университета кооперации","37.03.01","Психология","bachelor","","","","36","2026","https://vladimir.postupi.online/vuz/vladimirskij-filial-ruk/specialnosti/bakalavr/","https://vladimir.postupi.online/vuz/vladimirskij-filial-ruk/specialnosti/bakalavr/","2026-07-09T06:57:56.158Z"
"Владимирский филиал Российского университета кооперации","38.03.01","Экономика","bachelor","","","","25","2026","https://vladimir.postupi.online/vuz/vladimirskij-filial-ruk/specialnosti/bakalavr/","https://vladimir.postupi.online/vuz/vladimirskij-filial-ruk/specialnosti/bakalavr/","2026-07-09T06:57:56.158Z"
"Владимирский филиал Российского университета кооперации","38.03.02","Менеджмент","bachelor","","","","45","2026","https://vladimir.postupi.online/vuz/vladimirskij-filial-ruk/specialnosti/bakalavr/","https://vladimir.postupi.online/vuz/vladimirskij-filial-ruk/specialnosti/bakalavr/","2026-07-09T06:57:56.158Z"
"Владимирский филиал Российского университета кооперации","38.03.04","Государственное и муниципальное управление","bachelor","","","","20","2026","https://vladimir.postupi.online/vuz/vladimirskij-filial-ruk/specialnosti/bakalavr/","https://vladimir.postupi.online/vuz/vladimirskij-filial-ruk/specialnosti/bakalavr/","2026-07-09T06:57:56.158Z"
"Владимирский филиал Российского университета кооперации","42.03.01","Реклама и связи с общественностью","bachelor","","","","40","2026","https://vladimir.postupi.online/vuz/vladimirskij-filial-ruk/specialnosti/bakalavr/","https://vladimir.postupi.online/vuz/vladimirskij-filial-ruk/specialnosti/bakalavr/","2026-07-09T06:57:56.158Z"
"Владимирский филиал Российского университета кооперации","43.03.01","Сервис","bachelor","","","","59","2026","https://vladimir.postupi.online/vuz/vladimirskij-filial-ruk/specialnosti/bakalavr/","https://vladimir.postupi.online/vuz/vladimirskij-filial-ruk/specialnosti/bakalavr/","2026-07-09T06:57:56.158Z"
"Владимирский филиал Российского университета кооперации","43.03.02","Туризм","bachelor","","","","35","2026","https://vladimir.postupi.online/vuz/vladimirskij-filial-ruk/specialnosti/bakalavr/","https://vladimir.postupi.online/vuz/vladimirskij-filial-ruk/specialnosti/bakalavr/","2026-07-09T06:57:56.158Z"
