institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Дальневосточный государственный институт искусств","53.03.01","Музыкальное искусство эстрады","bachelor","","true","6","2","2026","https://vladivostok.postupi.online/vuz/dalnevostochnyj-gosudarstvennyj-institut-iskusstv/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dalnevostochnyj-gosudarstvennyj-institut-iskusstv/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный государственный институт искусств","53.03.02","Музыкально-инструментальное искусство","bachelor","","true","12","9","2026","https://vladivostok.postupi.online/vuz/dalnevostochnyj-gosudarstvennyj-institut-iskusstv/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dalnevostochnyj-gosudarstvennyj-institut-iskusstv/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный государственный институт искусств","53.03.03","Вокальное искусство","bachelor","","true","1","2","2026","https://vladivostok.postupi.online/vuz/dalnevostochnyj-gosudarstvennyj-institut-iskusstv/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dalnevostochnyj-gosudarstvennyj-institut-iskusstv/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный государственный институт искусств","53.03.05","Дирижирование","bachelor","","true","2","1","2026","https://vladivostok.postupi.online/vuz/dalnevostochnyj-gosudarstvennyj-institut-iskusstv/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dalnevostochnyj-gosudarstvennyj-institut-iskusstv/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный государственный институт искусств","53.03.06","Музыкознание и музыкально-прикладное искусство","bachelor","","true","1","1","2026","https://vladivostok.postupi.online/vuz/dalnevostochnyj-gosudarstvennyj-institut-iskusstv/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dalnevostochnyj-gosudarstvennyj-institut-iskusstv/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный государственный институт искусств","54.03.02","Декоративно-прикладное искусство и народные промыслы","bachelor","","true","5","2","2026","https://vladivostok.postupi.online/vuz/dalnevostochnyj-gosudarstvennyj-institut-iskusstv/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dalnevostochnyj-gosudarstvennyj-institut-iskusstv/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный государственный технический рыбохозяйственный университет","13.03.02","Электроэнергетика и электротехника","bachelor","","true","55","55","2026","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный государственный технический рыбохозяйственный университет","15.03.02","Технологические машины и оборудование","bachelor","","true","31","15","2026","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный государственный технический рыбохозяйственный университет","16.03.03","Холодильная, криогенная техника и системы жизнеобеспечения","bachelor","","true","20","","2026","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный государственный технический рыбохозяйственный университет","19.03.01","Биотехнология","bachelor","","true","30","10","2026","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный государственный технический рыбохозяйственный университет","19.03.03","Продукты питания животного происхождения","bachelor","","true","40","15","2026","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный государственный технический рыбохозяйственный университет","23.03.01","Технология транспортных процессов","bachelor","","true","44","45","2026","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный государственный технический рыбохозяйственный университет","23.03.03","Эксплуатация транспортно-технологических машин и комплексов","bachelor","","true","40","15","2026","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный государственный технический рыбохозяйственный университет","26.03.01","Управление водным транспортом и гидрографическое обеспечение судоходства","bachelor","","true","30","25","2026","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный государственный технический рыбохозяйственный университет","27.03.01","Стандартизация и метрология","bachelor","","true","15","","2026","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный государственный технический рыбохозяйственный университет","35.03.08","Водные биоресурсы и аквакультура","bachelor","","true","50","10","2026","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный государственный технический рыбохозяйственный университет","35.03.09","Промышленное рыболовство","bachelor","","true","40","5","2026","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный государственный технический рыбохозяйственный университет","38.03.01","Экономика","bachelor","","","","156","2026","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dalrybvtuz/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный федеральный университет","01.03.02","Прикладная математика и информатика","bachelor","","true","99","","2026","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный федеральный университет","02.03.01","Математика и компьютерные науки","bachelor","","true","50","","2026","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный федеральный университет","02.03.02","Фундаментальная информатика и информационные технологии","bachelor","","true","47","","2026","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный федеральный университет","03.03.02","Физика","bachelor","","true","25","","2026","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный федеральный университет","07.03.01","Архитектура","bachelor","","true","50","15","2026","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный федеральный университет","08.03.01","Строительство","bachelor","","true","70","","2026","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный федеральный университет","09.03.01","Информатика и вычислительная техника","bachelor","","true","25","","2026","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный федеральный университет","09.03.02","Информационные системы и технологии","bachelor","","true","50","","2026","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный федеральный университет","09.03.03","Прикладная информатика","bachelor","","true","75","","2026","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный федеральный университет","09.03.04","Программная инженерия","bachelor","","true","75","","2026","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
"Дальневосточный федеральный университет","10.03.01","Информационная безопасность","bachelor","","true","50","","2026","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","https://vladivostok.postupi.online/vuz/dvfu/specialnosti/bakalavr/","2026-07-09T06:51:11.445Z"
