institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Волгоградская государственная академия физической культуры","44.03.02","Психолого-педагогическое образование","bachelor","","","","25","2026","https://volgograd.postupi.online/vuz/vgafk/specialnosti/bakalavr/","https://volgograd.postupi.online/vuz/vgafk/specialnosti/bakalavr/","2026-07-08T20:40:34.573Z"
"Волгоградская государственная академия физической культуры","49.03.01","Физическая культура","bachelor","","true","19","25","2026","https://volgograd.postupi.online/vuz/vgafk/specialnosti/bakalavr/","https://volgograd.postupi.online/vuz/vgafk/specialnosti/bakalavr/","2026-07-08T20:40:34.573Z"
"Волгоградская государственная академия физической культуры","49.03.02","Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура)","bachelor","","true","24","40","2026","https://volgograd.postupi.online/vuz/vgafk/specialnosti/bakalavr/","https://volgograd.postupi.online/vuz/vgafk/specialnosti/bakalavr/","2026-07-08T20:40:34.573Z"
"Волгоградская государственная академия физической культуры","49.03.04","Спорт","bachelor","","true","170","60","2026","https://volgograd.postupi.online/vuz/vgafk/specialnosti/bakalavr/","https://volgograd.postupi.online/vuz/vgafk/specialnosti/bakalavr/","2026-07-08T20:40:34.573Z"
"Волгоградский государственный институт искусств и культуры","51.03.02","Народная художественная культура","bachelor","","true","47","16","2026","https://volgograd.postupi.online/vuz/vgiik/specialnosti/bakalavr/","https://volgograd.postupi.online/vuz/vgiik/specialnosti/bakalavr/","2026-07-08T20:40:34.573Z"
"Волгоградский государственный институт искусств и культуры","51.03.03","Социально-культурная деятельность","bachelor","","true","24","10","2026","https://volgograd.postupi.online/vuz/vgiik/specialnosti/bakalavr/","https://volgograd.postupi.online/vuz/vgiik/specialnosti/bakalavr/","2026-07-08T20:40:34.573Z"
"Волгоградский государственный институт искусств и культуры","51.03.05","Режиссура театрализованных представлений и праздников","bachelor","","true","22","8","2026","https://volgograd.postupi.online/vuz/vgiik/specialnosti/bakalavr/","https://volgograd.postupi.online/vuz/vgiik/specialnosti/bakalavr/","2026-07-08T20:40:34.573Z"
"Волгоградский государственный институт искусств и культуры","51.03.06","Библиотечно-информационная деятельность","bachelor","","true","6","1","2026","https://volgograd.postupi.online/vuz/vgiik/specialnosti/bakalavr/","https://volgograd.postupi.online/vuz/vgiik/specialnosti/bakalavr/","2026-07-08T20:40:34.573Z"
"Волгоградский государственный институт искусств и культуры","52.03.01","Хореографическое искусство","bachelor","","","","2","2026","https://volgograd.postupi.online/vuz/vgiik/specialnosti/bakalavr/","https://volgograd.postupi.online/vuz/vgiik/specialnosti/bakalavr/","2026-07-08T20:40:34.573Z"
"Волгоградский государственный институт искусств и культуры","52.03.02","Хореографическое исполнительство","bachelor","","true","8","6","2026","https://volgograd.postupi.online/vuz/vgiik/specialnosti/bakalavr/","https://volgograd.postupi.online/vuz/vgiik/specialnosti/bakalavr/","2026-07-08T20:40:34.573Z"
