institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Северо-Западный институт (филиал) Московского государственного юридического университета имени О.Е. Кутафина (МГЮА)","40.03.01","Юриспруденция","bachelor","","true","68","115","2026","https://vologda.postupi.online/vuz/szi-mgyua/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/szi-mgyua/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодская государственная молочнохозяйственная академия имени Н.В. Верещагина","19.03.03","Продукты питания животного происхождения","bachelor","","true","67","45","2026","https://vologda.postupi.online/vuz/vgmha/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vgmha/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодская государственная молочнохозяйственная академия имени Н.В. Верещагина","35.03.01","Лесное дело","bachelor","","true","45","45","2026","https://vologda.postupi.online/vuz/vgmha/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vgmha/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодская государственная молочнохозяйственная академия имени Н.В. Верещагина","35.03.02","Технология лесозаготовительных и деревоперерабатывающих производств","bachelor","","true","40","35","2026","https://vologda.postupi.online/vuz/vgmha/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vgmha/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодская государственная молочнохозяйственная академия имени Н.В. Верещагина","35.03.04","Агрономия","bachelor","","true","50","35","2026","https://vologda.postupi.online/vuz/vgmha/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vgmha/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодская государственная молочнохозяйственная академия имени Н.В. Верещагина","35.03.06","Агроинженерия","bachelor","","true","99","70","2026","https://vologda.postupi.online/vuz/vgmha/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vgmha/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодская государственная молочнохозяйственная академия имени Н.В. Верещагина","36.03.02","Зоотехния","bachelor","","true","68","35","2026","https://vologda.postupi.online/vuz/vgmha/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vgmha/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодская государственная молочнохозяйственная академия имени Н.В. Верещагина","38.03.01","Экономика","bachelor","","","","75","2026","https://vologda.postupi.online/vuz/vgmha/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vgmha/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодская государственная молочнохозяйственная академия имени Н.В. Верещагина","38.03.02","Менеджмент","bachelor","","","","26","2026","https://vologda.postupi.online/vuz/vgmha/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vgmha/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский институт права и экономики Федеральной службы исполнения наказаний","39.03.02","Социальная работа","bachelor","","true","75","","2026","https://vologda.postupi.online/vuz/vipe-fsin/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vipe-fsin/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский институт права и экономики Федеральной службы исполнения наказаний","40.03.01","Юриспруденция","bachelor","","true","25","","2026","https://vologda.postupi.online/vuz/vipe-fsin/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vipe-fsin/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский государственный университет","01.03.02","Прикладная математика и информатика","bachelor","","true","30","5","2026","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский государственный университет","07.03.01","Архитектура","bachelor","","true","20","6","2026","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский государственный университет","08.03.01","Строительство","bachelor","","true","67","133","2026","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский государственный университет","09.03.01","Информатика и вычислительная техника","bachelor","","true","25","55","2026","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский государственный университет","09.03.02","Информационные системы и технологии","bachelor","","true","25","55","2026","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский государственный университет","09.03.04","Программная инженерия","bachelor","","true","50","10","2026","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский государственный университет","13.03.01","Теплоэнергетика и теплотехника","bachelor","","true","25","55","2026","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский государственный университет","13.03.02","Электроэнергетика и электротехника","bachelor","","true","100","105","2026","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский государственный университет","15.03.01","Машиностроение","bachelor","","true","25","70","2026","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский государственный университет","20.03.01","Техносферная безопасность","bachelor","","true","20","5","2026","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский государственный университет","21.03.02","Землеустройство и кадастры","bachelor","","true","23","35","2026","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский государственный университет","23.03.03","Эксплуатация транспортно-технологических машин и комплексов","bachelor","","","","50","2026","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский государственный университет","38.03.01","Экономика","bachelor","","","","21","2026","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский государственный университет","38.03.04","Государственное и муниципальное управление","bachelor","","","","12","2026","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский государственный университет","40.03.01","Юриспруденция","bachelor","","","","124","2026","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский государственный университет","41.03.06","Публичная политика и социальные науки","bachelor","","true","25","","2026","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский государственный университет","43.03.02","Туризм","bachelor","","true","20","10","2026","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский государственный университет","44.03.01","Педагогическое образование","bachelor","","true","90","85","2026","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский государственный университет","44.03.02","Психолого-педагогическое образование","bachelor","","true","27","8","2026","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vogu/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.02","Менеджмент","bachelor","","","","19","2026","https://vologda.postupi.online/vuz/vologodskij-filial-ranxigs/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vologodskij-filial-ranxigs/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
"Вологодский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","38.03.04","Государственное и муниципальное управление","bachelor","","true","10","47","2026","https://vologda.postupi.online/vuz/vologodskij-filial-ranxigs/specialnosti/bakalavr/","https://vologda.postupi.online/vuz/vologodskij-filial-ranxigs/specialnosti/bakalavr/","2026-07-09T07:01:02.277Z"
