institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Центральный филиал Российского государственного университета правосудия имени В. М. Лебедева","40.03.01","Юриспруденция","bachelor","","true","48","143","2026","https://voronezh.postupi.online/vuz/centralnyj-filial-rgup/specialnosti/bakalavr/","https://voronezh.postupi.online/vuz/centralnyj-filial-rgup/specialnosti/bakalavr/","2026-07-08T20:39:39.937Z"
"Международный институт компьютерных технологий","09.03.01","Информатика и вычислительная техника","bachelor","","","","40","2026","https://voronezh.postupi.online/vuz/mikt/specialnosti/bakalavr/","https://voronezh.postupi.online/vuz/mikt/specialnosti/bakalavr/","2026-07-08T20:39:39.937Z"
"Международный институт компьютерных технологий","10.03.01","Информационная безопасность","bachelor","","","","20","2026","https://voronezh.postupi.online/vuz/mikt/specialnosti/bakalavr/","https://voronezh.postupi.online/vuz/mikt/specialnosti/bakalavr/","2026-07-08T20:39:39.937Z"
"Международный институт компьютерных технологий","11.03.02","Инфокоммуникационные технологии и системы связи","bachelor","","true","55","5","2026","https://voronezh.postupi.online/vuz/mikt/specialnosti/bakalavr/","https://voronezh.postupi.online/vuz/mikt/specialnosti/bakalavr/","2026-07-08T20:39:39.937Z"
"Международный институт компьютерных технологий","13.03.02","Электроэнергетика и электротехника","bachelor","","","","40","2026","https://voronezh.postupi.online/vuz/mikt/specialnosti/bakalavr/","https://voronezh.postupi.online/vuz/mikt/specialnosti/bakalavr/","2026-07-08T20:39:39.937Z"
"Международный институт компьютерных технологий","15.03.06","Мехатроника и робототехника","bachelor","","","","20","2026","https://voronezh.postupi.online/vuz/mikt/specialnosti/bakalavr/","https://voronezh.postupi.online/vuz/mikt/specialnosti/bakalavr/","2026-07-08T20:39:39.937Z"
"Международный институт компьютерных технологий","54.03.01","Дизайн","bachelor","","","","20","2026","https://voronezh.postupi.online/vuz/mikt/specialnosti/bakalavr/","https://voronezh.postupi.online/vuz/mikt/specialnosti/bakalavr/","2026-07-08T20:39:39.937Z"
"Воронежский государственный институт искусств","53.03.02","Музыкально-инструментальное искусство","bachelor","","true","11","","2026","https://voronezh.postupi.online/vuz/vgii/specialnosti/bakalavr/","https://voronezh.postupi.online/vuz/vgii/specialnosti/bakalavr/","2026-07-08T20:39:39.937Z"
"Воронежский государственный институт искусств","53.03.03","Вокальное искусство","bachelor","","true","4","","2026","https://voronezh.postupi.online/vuz/vgii/specialnosti/bakalavr/","https://voronezh.postupi.online/vuz/vgii/specialnosti/bakalavr/","2026-07-08T20:39:39.937Z"
"Воронежский государственный институт искусств","53.03.06","Музыкознание и музыкально-прикладное искусство","bachelor","","true","8","1","2026","https://voronezh.postupi.online/vuz/vgii/specialnosti/bakalavr/","https://voronezh.postupi.online/vuz/vgii/specialnosti/bakalavr/","2026-07-08T20:39:39.937Z"
