institution_name,specialty_code,program_name,level,form,has_budget_places,budget_places_count,paid_places_count,admission_year,link,source_url,parsed_at
"Международная академия бизнеса и новых технологий (МУБиНТ)","07.03.04","Градостроительство","bachelor","","","","20","2026","https://yaroslavl.postupi.online/vuz/mubint/specialnosti/bakalavr/","https://yaroslavl.postupi.online/vuz/mubint/specialnosti/bakalavr/","2026-07-09T06:51:37.894Z"
"Международная академия бизнеса и новых технологий (МУБиНТ)","09.03.03","Прикладная информатика","bachelor","","","","150","2026","https://yaroslavl.postupi.online/vuz/mubint/specialnosti/bakalavr/","https://yaroslavl.postupi.online/vuz/mubint/specialnosti/bakalavr/","2026-07-09T06:51:37.894Z"
"Международная академия бизнеса и новых технологий (МУБиНТ)","21.03.02","Землеустройство и кадастры","bachelor","","","","80","2026","https://yaroslavl.postupi.online/vuz/mubint/specialnosti/bakalavr/","https://yaroslavl.postupi.online/vuz/mubint/specialnosti/bakalavr/","2026-07-09T06:51:37.894Z"
"Международная академия бизнеса и новых технологий (МУБиНТ)","38.03.01","Экономика","bachelor","","","","102","2026","https://yaroslavl.postupi.online/vuz/mubint/specialnosti/bakalavr/","https://yaroslavl.postupi.online/vuz/mubint/specialnosti/bakalavr/","2026-07-09T06:51:37.894Z"
"Международная академия бизнеса и новых технологий (МУБиНТ)","38.03.02","Менеджмент","bachelor","","","","103","2026","https://yaroslavl.postupi.online/vuz/mubint/specialnosti/bakalavr/","https://yaroslavl.postupi.online/vuz/mubint/specialnosti/bakalavr/","2026-07-09T06:51:37.894Z"
"Международная академия бизнеса и новых технологий (МУБиНТ)","40.03.01","Юриспруденция","bachelor","","","","208","2026","https://yaroslavl.postupi.online/vuz/mubint/specialnosti/bakalavr/","https://yaroslavl.postupi.online/vuz/mubint/specialnosti/bakalavr/","2026-07-09T06:51:37.894Z"
"Международная академия бизнеса и новых технологий (МУБиНТ)","42.03.01","Реклама и связи с общественностью","bachelor","","","","51","2026","https://yaroslavl.postupi.online/vuz/mubint/specialnosti/bakalavr/","https://yaroslavl.postupi.online/vuz/mubint/specialnosti/bakalavr/","2026-07-09T06:51:37.894Z"
"Международная академия бизнеса и новых технологий (МУБиНТ)","43.03.02","Туризм","bachelor","","","","85","2026","https://yaroslavl.postupi.online/vuz/mubint/specialnosti/bakalavr/","https://yaroslavl.postupi.online/vuz/mubint/specialnosti/bakalavr/","2026-07-09T06:51:37.894Z"
"Ярославский государственный медицинский университет","39.03.02","Социальная работа","bachelor","","true","8","20","2026","https://yaroslavl.postupi.online/vuz/yagmu/specialnosti/bakalavr/","https://yaroslavl.postupi.online/vuz/yagmu/specialnosti/bakalavr/","2026-07-09T06:51:37.894Z"
"Ярославский государственный педагогический университет им. К.Д. Ушинского","38.03.02","Менеджмент","bachelor","","","","11","2026","https://yaroslavl.postupi.online/vuz/yagpu-im-k-d-ushinskogo/specialnosti/bakalavr/","https://yaroslavl.postupi.online/vuz/yagpu-im-k-d-ushinskogo/specialnosti/bakalavr/","2026-07-09T06:51:37.894Z"
"Ярославский государственный педагогический университет им. К.Д. Ушинского","39.03.02","Социальная работа","bachelor","","true","6","24","2026","https://yaroslavl.postupi.online/vuz/yagpu-im-k-d-ushinskogo/specialnosti/bakalavr/","https://yaroslavl.postupi.online/vuz/yagpu-im-k-d-ushinskogo/specialnosti/bakalavr/","2026-07-09T06:51:37.894Z"
"Ярославский государственный педагогический университет им. К.Д. Ушинского","39.03.03","Организация работы с молодежью","bachelor","","true","6","24","2026","https://yaroslavl.postupi.online/vuz/yagpu-im-k-d-ushinskogo/specialnosti/bakalavr/","https://yaroslavl.postupi.online/vuz/yagpu-im-k-d-ushinskogo/specialnosti/bakalavr/","2026-07-09T06:51:37.894Z"
"Ярославский государственный педагогический университет им. К.Д. Ушинского","42.03.01","Реклама и связи с общественностью","bachelor","","","","19","2026","https://yaroslavl.postupi.online/vuz/yagpu-im-k-d-ushinskogo/specialnosti/bakalavr/","https://yaroslavl.postupi.online/vuz/yagpu-im-k-d-ushinskogo/specialnosti/bakalavr/","2026-07-09T06:51:37.894Z"
"Ярославский государственный педагогический университет им. К.Д. Ушинского","42.03.02","Журналистика","bachelor","","","","36","2026","https://yaroslavl.postupi.online/vuz/yagpu-im-k-d-ushinskogo/specialnosti/bakalavr/","https://yaroslavl.postupi.online/vuz/yagpu-im-k-d-ushinskogo/specialnosti/bakalavr/","2026-07-09T06:51:37.894Z"
