name,full_name,type,city,region,website,admissions_email,phone_main,phone_admissions,vk_url,telegram_url,max_url,address,source_url,parsed_at
"Челябинский государственный университет","Челябинский государственный университет","university","Челябинск","Челябинск","http://www.csu.ru/","abit@csu.ru","+7 (351) 799-70-01, 8 (800) 600-20-87","","","","","г. Челябинск, ул. Братьев Кашириных, д. 129","https://chelyabinsk.postupi.online/vuz/chelgu/","2026-07-08T20:44:03.050Z"
"Челябинский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","Челябинский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","university","Челябинск","Челябинск","https://chel.ranepa.ru/","in@chel.ranepa.ru","+7 (351) 214-52-00","","","","","г. Челябинск, ул. Комарова, д. 26","https://chelyabinsk.postupi.online/vuz/chelyabinskij-filial-ranhigs/","2026-07-08T20:44:03.050Z"
"Челябинский институт путей сообщения - филиал Уральского государственного университета путей сообщения","Челябинский институт путей сообщения - филиал Уральского государственного университета путей сообщения","university","Челябинск","Челябинск","https://chirt.usurt.ru/","pkchirt@usurt.ru","+7 (351) 219-07-07, +7 (351) 219-07-71","","","","","г. Челябинск, ул. Цвиллинга, д. 56","https://chelyabinsk.postupi.online/vuz/chelyabinskij-institut-putey-soobcheniya-urgups/","2026-07-08T20:44:03.050Z"
"Уральский филиал Финансового университета при Правительстве Российской Федерации","Уральский филиал Финансового университета при Правительстве Российской Федерации","university","Челябинск","Челябинск","https://chelyabinsk.fa.ru/","chelyabinsk@fa.ru","+7 (351) 220-88-18; +7 (351 )791-84-54; +7 (351) 791-54-23","","","","","г. Челябинск, ул. Работниц, д. 58","https://chelyabinsk.postupi.online/vuz/chelyabinskiy-filial-finansovogo-universiteta/","2026-07-08T20:44:03.050Z"
"Челябинский государственный институт культуры","Челябинский государственный институт культуры","university","Челябинск","Челябинск","http://chgik.ru/","pri-kom@chgaki.ru","+7 (351) 263-89-41, +7 (351) 268-95-22 (доб. 189)","","","","","г. Челябинск, ул. Орджоникидзе, д. 36, лит. А","https://chelyabinsk.postupi.online/vuz/chgik/","2026-07-08T20:44:03.050Z"
"Институт агроэкологии – филиал Южно-Уральского государственного аграрного университета","Институт агроэкологии – филиал Южно-Уральского государственного аграрного университета","university","Челябинск","Челябинск","https://insagro.sursau.ru","pkom_m@sursau.ru","+7 (35150) 2-01-38, +7 (35150) 2-01-33","","","","","Челябинская обл., Красноармейский р-н, с. Миасское, ул. Советская, д. 8","https://chelyabinsk.postupi.online/vuz/institut-agroekologii-yuurgau/","2026-07-08T20:44:03.050Z"
"Институт агроинженерии Южно-Уральского государственного аграрного университета","Институт агроинженерии Южно-Уральского государственного аграрного университета","university","Челябинск","Челябинск","http://iai.sursau.ru/","pkom@sursau.ru","+7 (3512) 66-65-19","","","","","г. Челябинск, пр. Ленина, д. 75","https://chelyabinsk.postupi.online/vuz/institut-agroinzhenerii-yuurgau/","2026-07-08T20:44:03.050Z"
"Международный институт дизайна и сервиса","Международный институт дизайна и сервиса","university","Челябинск","Челябинск","http://midis.ru","pk@midis.ru","+7 (351) 202-00-73, 216-10-50","","","","","г. Челябинск, ул. Ворошилова, д. 12","https://chelyabinsk.postupi.online/vuz/mezhdunarodnyj-institut-dizajna-i-servisa/","2026-07-08T20:44:03.050Z"
"Уральский государственный университет физической культуры","Уральский государственный университет физической культуры","university","Челябинск","Челябинск","http://uralgufk.ru/","uralgufk@mail.ru","+7 (351) 217-04-47","","","","","г. Челябинск, ул. Орджоникидзе, д. 1","https://chelyabinsk.postupi.online/vuz/uralgufk/","2026-07-08T20:44:03.050Z"
"Уральский филиал Российского государственного университета правосудия имени В. М. Лебедева","Уральский филиал Российского государственного университета правосудия имени В. М. Лебедева","university","Челябинск","Челябинск","http://ub.rgup.ru/","pk@ub-rsuj.ru","+7 (351) 225-27-36","","","","","г. Челябинск, ул. Энергетиков, д. 63","https://chelyabinsk.postupi.online/vuz/uralskiy-filial-rgup/","2026-07-08T20:44:03.050Z"
"Уральский социально-экономический институт (филиал) Академии труда и социальных отношений","Уральский социально-экономический институт (филиал) Академии труда и социальных отношений","university","Челябинск","Челябинск","http://www.ursei.ac.ru/","abiturientursei@gmail.com","+7 (351) 260-61-51","","","","","г. Челябинск, ул. Свободы, д. 155/1","https://chelyabinsk.postupi.online/vuz/ursei-atiso/","2026-07-08T20:44:03.050Z"
