name,full_name,type,city,region,website,admissions_email,phone_main,phone_admissions,vk_url,telegram_url,max_url,address,source_url,parsed_at
"Екатеринбургская академия современного искусства (институт)","Екатеринбургская академия современного искусства (институт)","university","Екатеринбург","Екатеринбург","http://еаси.екатеринбург.рф","priem@eaca.ru","+7 (343) 253-73-17, +7 (902) 500-56-34","","","","","г. Екатеринбург, ул. Культуры, д. 3","https://ekaterinburg.postupi.online/vuz/easi/","2026-07-08T20:43:03.762Z"
"Екатеринбургский государственный театральный институт","Екатеринбургский государственный театральный институт","university","Екатеринбург","Екатеринбург","http://www.egti.ru/","pk.egti@yandex.ru","+7 (343) 358-17-29","","","","","г. Екатеринбург, ул. Карла Либкнехта, д. 38","https://ekaterinburg.postupi.online/vuz/egti/","2026-07-08T20:43:03.762Z"
"Екатеринбургская духовная семинария Екатеринбургской Епархии Русской Православной Церкви","Екатеринбургская духовная семинария Екатеринбургской Епархии Русской Православной Церкви","university","Екатеринбург","Екатеринбург","https://epds.ru","priem-eds@yandex.ru","+7 (912) 260-03-64","","","","","г. Екатеринбург, ул. Розы Люксембург, д. 57","https://ekaterinburg.postupi.online/vuz/ekaterinburgskaya-duhovnaya-seminariya/","2026-07-08T20:43:03.762Z"
"Екатеринбургский институт физической культуры (филиал) Уральского государственного университета физической культуры","Екатеринбургский институт физической культуры (филиал) Уральского государственного университета физической культуры","university","Екатеринбург","Екатеринбург","http://www.sport-ural.ru/","priem@sport-ural.ru","+7 (343) 234-65-50","","","","","г. Екатеринбург, ул. Шаумяна, д. 85","https://ekaterinburg.postupi.online/vuz/ekaterinburgskiy-institut-fizicheskoy-kultury-uralgufk/","2026-07-08T20:43:03.762Z"
"Гуманитарный университет","Гуманитарный университет","university","Екатеринбург","Екатеринбург","https://gu-ural.ru","priem.gu@mail.ru","+7 (343) 305-50-74","","","","","г. Екатеринбург, ул. Железнодорожников, д. 3","https://ekaterinburg.postupi.online/vuz/gu/","2026-07-08T20:43:03.762Z"
"Институт международных связей","Институт международных связей","university","Екатеринбург","Екатеринбург","http://www.ims-ural.ru/","priem@ims-ural.ru","+7 (343) 210-53-44; +7 (912) 699-95-03","","","","","г. Екатеринбург, ул. Отто Шмидта, д. 58","https://ekaterinburg.postupi.online/vuz/ims/","2026-07-08T20:43:03.762Z"
"Уральский государственный горный университет","Уральский государственный горный университет","university","Екатеринбург","Екатеринбург","https://www.ursmu.ru/","pk@ursmu.ru","+7 (343) 283-06-06, +7 (982) 760-43-86","","","","","г. Екатеринбург, ул. Куйбышева, д. 30","https://ekaterinburg.postupi.online/vuz/uggu/","2026-07-08T20:43:03.762Z"
"Уральская государственная консерватория имени М.П. Мусоргского","Уральская государственная консерватория имени М.П. Мусоргского","university","Екатеринбург","Екатеринбург","https://www.uralconsv.org","priem-uralcons@yandex.ru","+7 (343) 371-66-49","","","","","г. Екатеринбург, пр. Ленина, д. 26","https://ekaterinburg.postupi.online/vuz/ugk-im-musorgskogo/","2026-07-08T20:43:03.762Z"
"Уральский государственный лесотехнический университет","Уральский государственный лесотехнический университет","university","Екатеринбург","Екатеринбург","http://usfeu.ru/","pkusfeu@yandex.ru","+7 (343) 221-22-00; +7 (800) 350-61-10","","","","","г. Екатеринбург, ул. Сибирский тракт, д. 37","https://ekaterinburg.postupi.online/vuz/ugltu/","2026-07-08T20:43:03.762Z"
"Уральский государственный медицинский университет","Уральский государственный медицинский университет","university","Екатеринбург","Екатеринбург","http://www.usma.ru","priem@usma.ru","+7 (343) 214-85-45, 8 (800) 222-85-45","","","","","г. Екатеринбург, ул. Ключевская, д. 17","https://ekaterinburg.postupi.online/vuz/ugmu/","2026-07-08T20:43:03.762Z"
"Уральский институт фондового рынка","Уральский институт фондового рынка","university","Екатеринбург","Екатеринбург","https://uifr.ru","pk_uifr@mail.ru","8 (800) 201-60-98","","","","","г. Екатеринбург, пр-т Ленина, д. 50а","https://ekaterinburg.postupi.online/vuz/uifr/","2026-07-08T20:43:03.762Z"
"Уральский институт управления - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","Уральский институт управления - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","university","Екатеринбург","Екатеринбург","https://ui.ranepa.ru/","priem-ui@ranepa.ru","+7 (343) 257-83-62, 8 (800) 300-82-46","","","","","г. Екатеринбург, ул. 8 Марта, д. 66","https://ekaterinburg.postupi.online/vuz/uiu-ranhigs/","2026-07-08T20:43:03.762Z"
"Уральский федеральный университет имени первого Президента России Б.Н. Ельцина","Уральский федеральный университет имени первого Президента России Б.Н. Ельцина","university","Екатеринбург","Екатеринбург","https://priem.urfu.ru/","priem@urfu.ru","+7 (800) 100-50-44; +7 (343) 375-44-74","","","","","г. Екатеринбург, ул. Мира, д. 19","https://ekaterinburg.postupi.online/vuz/urfu-im-b-n-elcina/","2026-07-08T20:43:03.762Z"
"Уральский государственный архитектурно-художественный университет имени Н.С. Алферова","Уральский государственный архитектурно-художественный университет имени Н.С. Алферова","university","Екатеринбург","Екатеринбург","https://www.usaaa.ru","priem@usaaa.ru","+7 (343) 371-94-90","","","","","г. Екатеринбург, ул. Карла Либкнехта, д. 23","https://ekaterinburg.postupi.online/vuz/urgahu/","2026-07-08T20:43:03.762Z"
"Уральский государственный аграрный университет","Уральский государственный аграрный университет","university","Екатеринбург","Екатеринбург","https://urgau.ru/","priem@urgau.ru","+7 (343) 350-58-94, +7 (982) 660-10-40","","","","","г. Екатеринбург, ул. Карла Либкнехта, д. 42","https://ekaterinburg.postupi.online/vuz/urgau/","2026-07-08T20:43:03.762Z"
"Уральский государственный экономический университет","Уральский государственный экономический университет","university","Екатеринбург","Екатеринбург","http://www.usue.ru/","pr-com@usue.ru","+7 (343) 283-01-01","","","","","г. Екатеринбург, ул. 8 Марта, д. 62","https://ekaterinburg.postupi.online/vuz/urgeu/","2026-07-08T20:43:03.762Z"
"Уральский государственный педагогический университет","Уральский государственный педагогический университет","university","Екатеринбург","Екатеринбург","https://uspu.ru/","priem@uspu.ru","+7 (343) 38-38-438","","","","","г. Екатеринбург, пр. Космонавтов, д. 26","https://ekaterinburg.postupi.online/vuz/urgpu/","2026-07-08T20:43:03.762Z"
"Уральский государственный университет путей сообщения","Уральский государственный университет путей сообщения","university","Екатеринбург","Екатеринбург","https://www.usurt.ru/","dpk@usurt.ru","+7 (343) 221-25-25; 8 (800) 250-42-00","","","","","г. Екатеринбург, ул. Колмогорова, д. 66","https://ekaterinburg.postupi.online/vuz/urgups/","2026-07-08T20:43:03.762Z"
"Уральский государственный юридический университет имени В.Ф. Яковлева","Уральский государственный юридический университет имени В.Ф. Яковлева","university","Екатеринбург","Екатеринбург","http://www.usla.ru/","pk@usla.ru","8 (800) 707-06-60; +7 (343) 374-40-33","","","","","г. Екатеринбург, ул. Комсомольская, д. 21","https://ekaterinburg.postupi.online/vuz/urgyuu/","2026-07-08T20:43:03.762Z"
"Уральский технический институт связи и информатики (филиал) Сибирского государственного университета телекоммуникаций и информатики","Уральский технический институт связи и информатики (филиал) Сибирского государственного университета телекоммуникаций и информатики","university","Екатеринбург","Екатеринбург","http://www.uisi.ru/","priem@urtisi.ru","+7 (343) 305-30-66 (доб. 92-19); +7 (919) 370-06-89; +7 (919) 391-48-71; +7 (919) 391-48-73","","","","","г. Екатеринбург, ул. Мельникова, д. 50","https://ekaterinburg.postupi.online/vuz/urtisi-sibguti/","2026-07-08T20:43:03.762Z"
