name,full_name,type,city,region,website,admissions_email,phone_main,phone_admissions,vk_url,telegram_url,max_url,address,source_url,parsed_at
"Байкальский государственный университет","Байкальский государственный университет","university","Иркутск","Иркутск","http://bgu.ru","priem@bgu.ru","+7 (3952) 50-00-05","","","","","г. Иркутск, ул. Ленина, д. 11","https://irkutsk.postupi.online/vuz/bgu/","2026-07-09T06:50:13.199Z"
"Иркутский государственный аграрный университет имени А.А. Ежевского","Иркутский государственный аграрный университет имени А.А. Ежевского","university","Иркутск","Иркутск","http://irsau.ru/","priem@irsau.ru","+7 (3952) 23-73-15","","","","","Иркутская обл., Иркутский р-он, п. Молодежный, здание 1/1","https://irkutsk.postupi.online/vuz/igau/","2026-07-09T06:50:13.199Z"
"Иркутский государственный медицинский университет","Иркутский государственный медицинский университет","university","Иркутск","Иркутск","http://mir.ismu.baikal.ru","ismupriem@rambler.ru","+7 (3952) 24-38-25","","","","","г. Иркутск, ул. Красного Восстания, 2","https://irkutsk.postupi.online/vuz/igmu/","2026-07-09T06:50:13.199Z"
"Иркутский государственный университет путей сообщения","Иркутский государственный университет путей сообщения","university","Иркутск","Иркутск","https://www.irgups.ru","pk@irgups.ru","+7 (3952) 63-83-40","","","","","г. Иркутск, ул. Чернышевского, д. 15","https://irkutsk.postupi.online/vuz/irgups/","2026-07-09T06:50:13.199Z"
"Иркутский филиал Московского государственного технического университета гражданской авиации","Иркутский филиал Московского государственного технического университета гражданской авиации","university","Иркутск","Иркутск","http://if-mstuca.ru","post_office@if-mstuca.ru","+7 (3952) 40-37-07; +7 (3952) 54-44-02, +7 (3952) 54-43-98","","","","","г. Иркутск, ул.Советская, д. 139","https://irkutsk.postupi.online/vuz/irkutskij-filial-moskovskogo-gosudarstvennogo-tehnicheskogo-universiteta-grazhdanskoj-aviacii/","2026-07-09T06:50:13.199Z"
"Филиал Российского университета спорта ГЦОЛИФК в г. Иркутске","Филиал Российского университета спорта ГЦОЛИФК в г. Иркутске","university","Иркутск","Иркутск","https://www.ifrgufk.ru/","pk_ifgtsolifk@mail.ru","+7 (3952) 50-01-17 (доб. 5501, 5513), +7 (902) 179-67-74","","","","","г. Иркутск, ул. Байкальская, д. 267","https://irkutsk.postupi.online/vuz/irkutskij-filial-rgufksmit/","2026-07-09T06:50:13.199Z"
"Иркутский филиал Всероссийского государственного университета кинематографии имени С. А. Герасимова","Иркутский филиал Всероссийского государственного университета кинематографии имени С. А. Герасимова","university","Иркутск","Иркутск","https://irkvgik.ru/index.php","priem.irkvgik@irkvgik.ru","+7 (3952) 44-96-40, +7 (3952) 44-71-32","","","","","г. Иркутск, ул. Розы Люксембург, д. 170","https://irkutsk.postupi.online/vuz/irkutskij-filial-vserossijskogo-gosudarstvennogo-instituta-kinematografii-imeni-s-a-gerasimova/","2026-07-09T06:50:13.199Z"
"Иркутский государственный университет","Иркутский государственный университет","university","Иркутск","Иркутск","https://isu.ru/ru/index.html","priem@isu.ru","+7 (3952) 521-555, +7 (3952) 521-777","","","","","г. Иркутск, ул. Карла Маркса, д. 1","https://irkutsk.postupi.online/vuz/irkutskij-gosudarstvennyj-universitet/","2026-07-09T06:50:13.199Z"
"Иркутский институт (филиал) Всероссийского государственного университета юстиции (РПА Минюста России)","Иркутский институт (филиал) Всероссийского государственного университета юстиции (РПА Минюста России)","university","Иркутск","Иркутск","https://irk.rpa-mu.ru/","rpapk@yandex.ru","+7 (3952) 200-536, +7 (3952)79-88-99 (доп. 1)","","","","","г. Иркутск, ул. Некрасова, д. 4","https://irkutsk.postupi.online/vuz/irkutskij-institut-filial-vserossijskogo-gosudarstvennogo-universiteta-yusticii-rpa-minyusta-rossii/","2026-07-09T06:50:13.199Z"
"Иркутский национальный исследовательский технический университет","Иркутский национальный исследовательский технический университет","university","Иркутск","Иркутск","http://www.istu.edu/","cpk@istu.edu","+7 (3952) 405-405","","","","","г. Иркутск, ул. Лермонтова, д. 83","https://irkutsk.postupi.online/vuz/irkutskij-nacionalnyj-issledovatelskij-tehnicheskij-universitet/","2026-07-09T06:50:13.199Z"
"Восточно-Сибирский филиал Российского государственного университета правосудия имени В. М. Лебедева","Восточно-Сибирский филиал Российского государственного университета правосудия имени В. М. Лебедева","university","Иркутск","Иркутск","http://www.esb.rgup.ru","priem@vsfrgup.ru","+7 (3952) 41-09-20, +7 (3952) 41-01-20","","","","","г. Иркутск, ул. Ивана Франко, д. 23, лит. А","https://irkutsk.postupi.online/vuz/vsf-rgup/","2026-07-09T06:50:13.199Z"
"Восточно-Сибирский институт экономики и права","Восточно-Сибирский институт экономики и права","university","Иркутск","Иркутск","http://vsiep.ru","shkola@vsiep.ru","+7 (3952) 35-73-60","","","","","г. Иркутск, ул. Байкальская, д. 258, лит. А","https://irkutsk.postupi.online/vuz/vsiep/","2026-07-09T06:50:13.199Z"
