name,full_name,type,city,region,website,admissions_email,phone_main,phone_admissions,vk_url,telegram_url,max_url,address,source_url,parsed_at
"Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ","university","Казань","Казань","https://kai.ru/","pk@kai.ru","+7 (843) 231-00-90, 231-00-27","","","","","г. Казань, ул. Б. Красная, д. 55","https://kazan.postupi.online/vuz/kai/","2026-07-08T20:34:59.161Z"
"Казанская государственная консерватория имени Н.Г. Жиганова","Казанская государственная консерватория имени Н.Г. Жиганова","university","Казань","Казань","https://new.kazancons.ru/","priem@kazancons.ru","8 (843) 238-52-84, 8 (843) 238-35-77","","","","","г. Казань, ул. Большая Красная, д. 38","https://kazan.postupi.online/vuz/kazanskaya-gosudarstvennaya-konservatoriya-akademiya-imeni-n-g-zhiganova/","2026-07-08T20:34:59.161Z"
"Казанский кооперативный институт (филиал) Российского университета кооперации","Казанский кооперативный институт (филиал) Российского университета кооперации","university","Казань","Казань","https://kazan.ruc.su/","abiturient.ruc@yandex.ru","+7 (843) 210-30-25, +7 (996) 905-66-26","","","","","г. Казань, ул. Николая Ершова, д. 58","https://kazan.postupi.online/vuz/kazanskij-kooperativnyj-institut/","2026-07-08T20:34:59.161Z"
"Казанский филиал Российского государственного университета правосудия имени В. М. Лебедева","Казанский филиал Российского государственного университета правосудия имени В. М. Лебедева","university","Казань","Казань","https://kb.rgup.ru/","priem@kfrgup.ru","+7 (843) 202-26-50; +7 (987) 290-63-13","","","","","г. Казань, ул. 2-я Азинская, д. 7, лит. А","https://kazan.postupi.online/vuz/kazanskiy-filial-rgup/","2026-07-08T20:34:59.161Z"
"Институт морского и речного флота имени Героя Советского Союза М.П. Девятаева - Казанский филиал Волжского государственного университета водного транспорта","Институт морского и речного флота имени Героя Советского Союза М.П. Девятаева - Казанский филиал Волжского государственного университета водного транспорта","university","Казань","Казань","http://www.vguvtkazan.ru/","vguvtkazan@yandex.ru","+7 (843) 528-50-19 (доб. 210, 205)","","","","","г. Казань, ул. Портовая, д. 19","https://kazan.postupi.online/vuz/kazansky-filial-vguvt/","2026-07-08T20:34:59.161Z"
"Казанский государственный аграрный университет","Казанский государственный аграрный университет","university","Казань","Казань","https://kazgau.ru/","priem@kazgau.com","+7 (960) 056-76-67, +7 (843) 598-40-48 (доб. 711, 712)","","","","","г. Казань, ул. К. Маркса, д. 65","https://kazan.postupi.online/vuz/kazgau/","2026-07-08T20:34:59.161Z"
"Казанский государственный институт культуры","Казанский государственный институт культуры","university","Казань","Казань","http://kazgik.ru/","priem@kazgik.ru","+7 (843) 277-59-17","","","","","г. Казань, ул. Оренбургский тракт, д. 3","https://kazan.postupi.online/vuz/kazgik/","2026-07-08T20:34:59.161Z"
"Казанский (Приволжский) федеральный университет","Казанский (Приволжский) федеральный университет","university","Казань","Казань","http://kpfu.ru/","priem@kpfu.ru","+7 (800) 707-92-75","","","","","г. Казань, ул. Кремлевская, д. 18","https://kazan.postupi.online/vuz/kfu/","2026-07-08T20:34:59.161Z"
"Казанский государственный архитектурно-строительный университет","Казанский государственный архитектурно-строительный университет","university","Казань","Казань","https://www.kgasu.ru/","priem@kgasu.ru","+7 (843) 510-46-50; +7 (800) 201-91-18","","","","","г. Казань, ул. Зеленая, д. 1, корп. 2","https://kazan.postupi.online/vuz/kgasu/","2026-07-08T20:34:59.161Z"
"Институт Казанская академия ветеринарной медицины имени Н. Э. Баумана Казанского государственного аграрного университета","Институт Казанская академия ветеринарной медицины имени Н. Э. Баумана Казанского государственного аграрного университета","university","Казань","Казань","https://kazanveterinary.ru/","priemksavm@mail.ru","+7 (843) 598-40-48 (доб. 711, 712)","","","","","г. Казань, Сибирский тракт, д. 35","https://kazan.postupi.online/vuz/kgavm/","2026-07-08T20:34:59.161Z"
