name,full_name,type,city,region,website,admissions_email,phone_main,phone_admissions,vk_url,telegram_url,max_url,address,source_url,parsed_at
"Академия маркетинга и социально-информационных технологий - ИМСИТ","Академия маркетинга и социально-информационных технологий - ИМСИТ","university","Краснодар","Краснодар","http://imsit.ru/","pk@imsit.ru","+7 (861) 278-22-70","","","","","г. Краснодар, ул. Зиповская, д. 5","https://krasnodar.postupi.online/vuz/imsit/","2026-07-09T06:48:16.725Z"
"Краснодарский государственный институт культуры","Краснодарский государственный институт культуры","university","Краснодар","Краснодар","https://kgik1966.ru/","priemvkguki@rambler.ru","+7 (861) 257-76-28, +7 (861) 991-13-10","","","","","г. Краснодар, ул. им. 40-летия Победы, д. 33","https://krasnodar.postupi.online/vuz/kgik/","2026-07-09T06:48:16.725Z"
"Кубанский государственный университет физической культуры, спорта и туризма","Кубанский государственный университет физической культуры, спорта и туризма","university","Краснодар","Краснодар","http://www.kgufkst.ru/","priem@kgufkst.ru","+7 (861) 259-26-77","","","","","г. Краснодар, ул. Буденного, д. 161","https://krasnodar.postupi.online/vuz/kgufkst/","2026-07-09T06:48:16.725Z"
"Краснодарский кооперативный институт (филиал) Российского университета кооперации","Краснодарский кооперативный институт (филиал) Российского университета кооперации","university","Краснодар","Краснодар","http://krasnodar.ruc.su/","krasnodar@ruc.su","+7 (861) 259-65-01","","","","","г. Краснодар, ул. им. Митрофана Седина, д. 168/1;","https://krasnodar.postupi.online/vuz/kki-ruk/","2026-07-09T06:48:16.725Z"
"Краснодарский филиал Российского экономического университета имени Г.В. Плеханова","Краснодарский филиал Российского экономического университета имени Г.В. Плеханова","university","Краснодар","Краснодар","https://reakf.ru/","krasnodar.pk@rea.ru","+7 (861) 201-10-78, +7 (861) 255-60-80, +7 (861) 251-21-40","","","","","г. Краснодар, ул. Садовая, д. 23","https://krasnodar.postupi.online/vuz/krasnodarskij-filial-reu-im-g-v-plehanova/","2026-07-09T06:48:16.725Z"
"Краснодарский филиал Финансового университета при Правительстве Российской Федерации","Краснодарский филиал Финансового университета при Правительстве Российской Федерации","university","Краснодар","Краснодар","https://krasnodar.fa.ru/","Krasnodar@fa.ru","+7 (861) 215-63-63&#8203;, +7 (861) 215-63-60","","","","","г. Краснодар, ул. ш. Нефтяников, д. 32","https://krasnodar.postupi.online/vuz/krasnodarskiy-filial-finansovogo-universiteta/","2026-07-09T06:48:16.725Z"
"Кубанский государственный аграрный университет имени И.Т. Трубилина","Кубанский государственный аграрный университет имени И.Т. Трубилина","university","Краснодар","Краснодар","https://kubsau.ru/index-pk-2026.php","pk@kubsau.ru","+7 (861) 221-58-81, 221–54-85","","","","","г. Краснодар, ул. Калинина, д. 13","https://krasnodar.postupi.online/vuz/kubanskij-gau/","2026-07-09T06:48:16.725Z"
"Кубанский государственный медицинский университет Министерства Здравоохранения Российской Федерации","Кубанский государственный медицинский университет Министерства Здравоохранения Российской Федерации","university","Краснодар","Краснодар","https://www.ksma.ru/","pr_com@ksma.ru","8 (800) 444-19-20, +7 (861) 268-55-40 (вн. 288)","","","","","г. Краснодар, ул. Митрофана Седина, д. 4","https://krasnodar.postupi.online/vuz/kubgmu/","2026-07-09T06:48:16.725Z"
"Кубанский государственный технологический университет","Кубанский государственный технологический университет","university","Краснодар","Краснодар","https://kubstu.ru/","priem@kubstu.ru","+7 (861) 255-25-32, +7 (861) 274-65-71","","","","","г. Краснодар, ул. Московская, д. 2, лит. А","https://krasnodar.postupi.online/vuz/kubgtu/","2026-07-09T06:48:16.725Z"
"Кубанский государственный университет","Кубанский государственный университет","university","Краснодар","Краснодар","https://kubsu.ru/","abitur@kubsu.ru","+7 (861) 219-95-30","","","","","г. Краснодар, ул. Ставропольская, д. 149","https://krasnodar.postupi.online/vuz/kubgu/","2026-07-09T06:48:16.725Z"
"Северо-Кавказский филиал Российского государственного университета правосудия имени В. М. Лебедева","Северо-Кавказский филиал Российского государственного университета правосудия имени В. М. Лебедева","university","Краснодар","Краснодар","http://ncb.rgup.ru/","priem@ncb.rsuj.ru","+7 (861) 251-69-20","","","","","г. Краснодар, ул. Красных Партизан, д. 234","https://krasnodar.postupi.online/vuz/skf-rgup/","2026-07-09T06:48:16.725Z"
