name,full_name,type,city,region,website,admissions_email,phone_main,phone_admissions,vk_url,telegram_url,max_url,address,source_url,parsed_at
"Университет прокуратуры Российской Федерации","Университет прокуратуры Российской Федерации","university","Москва","Москва","http://www.agprf.org/","agp@agprf.org","+7 (499) 256-54-63","","","","","г. Москва, ул. Азовская, д. 2, корп. 1","https://msk.postupi.online/vuz/agp-rf/","2026-07-08T20:19:37.483Z"
"Академия акварели и изящных искусств Сергея Андрияки","Академия акварели и изящных искусств Сергея Андрияки","university","Москва","Москва","http://academy-andriaka.ru/","Andriakaacademy@yandex.ru","+7 (495) 531-55-55 (доб. 330, 296, 124)","","","","","г. Москва, ул. Академика Варги, д. 15","https://msk.postupi.online/vuz/akademiya-andriyaki/","2026-07-08T20:19:37.483Z"
"Академия хорового искусства имени В. С. Попова","Академия хорового искусства имени В. С. Попова","university","Москва","Москва","https://axu.ru/","priem@axu.ru","+7 (495) 133-77-87 (доб. 208); +7 (925) 894-77-89; +7 (905) 091-29-83","","","","","г. Москва, ул. Фестивальная, д. 2","https://msk.postupi.online/vuz/akademiya-horovogo-iskusstva-imeni-popova/","2026-07-08T20:19:37.483Z"
"Академия управления и производства","Академия управления и производства","university","Москва","Москва","http://amp1996.ru/","pk@amp1996.ru","+7 (499) 112-46-77, +7 (495) 120-14-23, +7 (495) 127-10-50, +7 (499) 404-22-36, +7 (936) 628-67-70","","","","","г. Москва, ул. 4-я Магистральная, д. 5, стр. 2","https://msk.postupi.online/vuz/akademiya-upravleniya-i-proizvodstva/","2026-07-08T20:19:37.483Z"
"Академия труда и социальных отношений","Академия труда и социальных отношений","university","Москва","Москва","http://atiso.ru/","priem@atiso.ru","+7 (495) 437-21-06, +7 (495) 437-51-87","","","","","г. Москва, ул. Лобачевского, д. 90","https://msk.postupi.online/vuz/atiso/","2026-07-08T20:19:37.483Z"
"Белорусско-Российский университет","Белорусско-Российский университет","university","Москва","Москва","http://bru.by/","abit@exec.bru.by","+3 (7522) 224-08-88, + (3752) 271-24-47","","","","","Республика Беларусь, г. Могилев, пр. Мира, д. 43","https://msk.postupi.online/vuz/belorussko-rossiyskiy-universitet/","2026-07-08T20:19:37.483Z"
"Дипломатическая академия МГИМО","Дипломатическая академия МГИМО","university","Москва","Москва","http://www.dipacademy.ru","priem.kom@dipacademy.ru","+7 (925) 917-80-82; +7 (499) 940-09-80, 940-09-86","","","","","г. Москва, ул. Остоженка, д. 53/2, стр. 1","https://msk.postupi.online/vuz/dipakademiya-mid-rf/","2026-07-08T20:19:37.483Z"
"Еврейский университет","Еврейский университет","university","Москва","Москва","https://j-univer.ru/","priem@j-univer.ru","+7 (495) 660-07-70","","","","","г. Москва, ул. Олений вал, д.3, стр.1","https://msk.postupi.online/vuz/evrejskij-universitet/","2026-07-08T20:19:37.483Z"
"Финансовый университет при Правительстве Российской Федерации","Финансовый университет при Правительстве Российской Федерации","university","Москва","Москва","http://www.fa.ru","priemka@fa.ru","+7 (495) 249-52-49","","","","","г. Москва, Ленинградский пр., д. 51/1","https://msk.postupi.online/vuz/fu/","2026-07-08T20:19:37.483Z"
"Государственный академический университет гуманитарных наук","Государственный академический университет гуманитарных наук","university","Москва","Москва","https://gaugn.ru/","priem@gaugn.ru","+7 (499) 238-04-12; +7 (926) 559-00-26","","","","","г. Москва, Мароновский пер., д. 26","https://msk.postupi.online/vuz/gaugn/","2026-07-08T20:19:37.483Z"
"Российский институт театрального искусства – ГИТИС","Российский институт театрального искусства – ГИТИС","university","Москва","Москва","https://www.gitis.net/","priem@gitis.net","+7 (495) 137-69-31 (доб. 120)","","","","","г. Москва, Малый Кисловский переулок, д. 6","https://msk.postupi.online/vuz/gitis/","2026-07-08T20:19:37.483Z"
