name,full_name,type,city,region,website,admissions_email,phone_main,phone_admissions,vk_url,telegram_url,max_url,address,source_url,parsed_at
"Нижегородский институт путей сообщения — филиал Приволжского государственного университета путей сообщения","Нижегородский институт путей сообщения — филиал Приволжского государственного университета путей сообщения","university","Нижний Новгород","Нижний Новгород","https://www.samgups.ru/about/struktura_universiteta/filialy/vpo/nnov/","pkvo.nnov@samgups.ru","+7 (831) 262-11-34","","","","","г. Нижний Новгород, пл. Комсомольская, д. 3","https://nn.postupi.online/vuz/filial-samgups-v-gorode-nignem-novgorode/","2026-07-08T20:41:09.885Z"
"Институт пищевых технологий и дизайна - филиал Нижегородского государственного инженерно-экономического университета","Институт пищевых технологий и дизайна - филиал Нижегородского государственного инженерно-экономического университета","university","Нижний Новгород","Нижний Новгород","https://iptd-nn.ru/","ipt-filial@yandex.ru","+7 (831) 282-30-63","","","","","г. Нижний Новгород, ул. Горная, д. 13","https://nn.postupi.online/vuz/institut-pischevyh-tehnologij-i-dizajna-filial-ngiau/","2026-07-08T20:41:09.885Z"
"Нижегородская духовная семинария Нижегородской Епархии Русской Православной Церкви (Московский Патриархат)","Нижегородская духовная семинария Нижегородской Епархии Русской Православной Церкви (Московский Патриархат)","university","Нижний Новгород","Нижний Новгород","https://nds.nne.ru/","nds@nne.ru","+7 (831) 218-12-32, 8 (910) 130-87-97","","","","","г. Нижний Новгород, Похвалинский съезд, д. 5","https://nn.postupi.online/vuz/nds/","2026-07-08T20:41:09.885Z"
"Нижегородский государственный инженерно-экономический университет","Нижегородский государственный инженерно-экономический университет","university","Нижний Новгород","Нижний Новгород","http://ngiei.ru/","ngiei-pk@mail.ru","+7 (831 66) 4-15-47, +7 (831 66) 4-63-10","","","","","Нижегородская обл., г. Княгинино, ул. Октябрьская, д. 22, лит. А","https://nn.postupi.online/vuz/ngiau/","2026-07-08T20:41:09.885Z"
"Нижегородский государственный лингвистический университет им. Н.А. Добролюбова","Нижегородский государственный лингвистический университет им. Н.А. Добролюбова","university","Нижний Новгород","Нижний Новгород","https://lunn.ru/","priem@lunn.ru","+7 (831) 416-61-41, +7 (920) 047-60-26","","","","","г. Нижний Новгород, ул. Минина, д. 31, лит. А","https://nn.postupi.online/vuz/nglu/","2026-07-08T20:41:09.885Z"
"Нижегородский государственный педагогический университет имени Козьмы Минина (Мининский университет)","Нижегородский государственный педагогический университет имени Козьмы Минина (Мининский университет)","university","Нижний Новгород","Нижний Новгород","https://www.mininuniver.ru/","priem@mininuniver.ru","+7 (831) 262-26-20","","","","","г. Нижний Новгород, ул. Ульянова, д. 1","https://nn.postupi.online/vuz/ngpu-im-k-minina/","2026-07-08T20:41:09.885Z"
"Нижегородский государственный агротехнологический университет имени Л. Я. Флорентьева","Нижегородский государственный агротехнологический университет имени Л. Я. Флорентьева","university","Нижний Новгород","Нижний Новгород","https://nnsaa.ru/","ngsha-pr@yandex.ru","8 (800) 301-44-55; +7 (831) 214-33-49 (доб. 333, 332)","","","","","г. Нижний Новгород, пр. Гагарина, д. 97","https://nn.postupi.online/vuz/ngsha/","2026-07-08T20:41:09.885Z"
"Нижегородский государственный технический университет им. Р.Е. Алексеева","Нижегородский государственный технический университет им. Р.Е. Алексеева","university","Нижний Новгород","Нижний Новгород","http://www.nntu.ru/","priem@nntu.ru","+7 (831) 436 73 43","","","","","г. Нижний Новгород, ул. Минина, д. 24","https://nn.postupi.online/vuz/ngtu-im-alekseeva/","2026-07-08T20:41:09.885Z"
"Нижегородский филиал Национального исследовательского университета Высшая школа экономики","Нижегородский филиал Национального исследовательского университета Высшая школа экономики","university","Нижний Новгород","Нижний Новгород","https://nnov.hse.ru/","pknn@hse.ru","+7 (831) 432-78-76","","","","","Нижний Новгород, ул. Большая Печерская, д. 25/12","https://nn.postupi.online/vuz/niu-vshe-nizhnij-novgorod/","2026-07-08T20:41:09.885Z"
"Нижегородский государственный архитектурно-строительный университет","Нижегородский государственный архитектурно-строительный университет","university","Нижний Новгород","Нижний Новгород","http://www.nngasu.ru/","priem@nngasu.ru","+7 (831) 430-54-97; +7 (831) 280-84-45","","","","","г. Нижний Новгород, ул. Ильинская, д. 65","https://nn.postupi.online/vuz/nizhegorodskij-gosudarstvennyj-arhitekturno-stroitelnyj-universitet/","2026-07-08T20:41:09.885Z"
"Нижегородский институт (филиал) Московского гуманитарно-экономического университета","Нижегородский институт (филиал) Московского гуманитарно-экономического университета","university","Нижний Новгород","Нижний Новгород","http://www.mgeu-nn.ru/","mail@mgeu-nn.ru","+7 (831) 245-97-99, 245-97-77","","","","","г. Нижний Новгород, шоссе Сормовское, д. 20","https://nn.postupi.online/vuz/nizhegorodskij-institut-mgeu/","2026-07-08T20:41:09.885Z"
"Нижегородский институт управления – филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","Нижегородский институт управления – филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","university","Нижний Новгород","Нижний Новгород","https://niu.ranepa.ru/","pk@niu.ranepa.ru","+7 (831) 412-15-58","","","","","г. Нижний Новгород, пр. Гагарина, д. 46","https://nn.postupi.online/vuz/nizhegorodskiy-institut-upravleniya-filial-ranhigs/","2026-07-08T20:41:09.885Z"
"Нижегородская государственная консерватория им. М.И. Глинки","Нижегородская государственная консерватория им. М.И. Глинки","university","Нижний Новгород","Нижний Новгород","http://nnovcons.ru","pk@nnovcons.ru","+7 (831) 419-83-83, +7 (831) 419-43-44, +7 (831) 411-88-78","","","","","г. Нижний Новгород, ул. Пискунова, д. 40","https://nn.postupi.online/vuz/nngk/","2026-07-08T20:41:09.885Z"
"Приволжский исследовательский медицинский университет","Приволжский исследовательский медицинский университет","university","Нижний Новгород","Нижний Новгород","https://pimunn.ru/","priem@pimunn.net","+7 (831) 422-13-14, 8 (831) 422-13-95","","","","","г. Нижний Новгород, пл. Минина и Пожарского, д. 10, корп. 1","https://nn.postupi.online/vuz/pimu/","2026-07-08T20:41:09.885Z"
