name,full_name,type,city,region,website,admissions_email,phone_main,phone_admissions,vk_url,telegram_url,max_url,address,source_url,parsed_at
"Новосибирский государственный архитектурно-строительный университет (Сибстрин)","Новосибирский государственный архитектурно-строительный университет (Сибстрин)","university","Новосибирск","Новосибирск","http://www.sibstrin.ru/","pr_kom@sibstrin.ru","+7 (383) 363-14-15, +7 (913) 204-51-31","","","","","г. Новосибирск, ул. Ленинградская, д. 113","https://nsk.postupi.online/vuz/ngasu-sibstrin/","2026-07-08T20:42:12.949Z"
"Новосибирский государственный медицинский университет","Новосибирский государственный медицинский университет","university","Новосибирск","Новосибирск","http://www.ngmu.ru/","abiturient@ngmu.ru","+7 (383) 222-27-16, +7 (383) 203-46-86","","","","","г. Новосибирск, Красный проспект, д. 52","https://nsk.postupi.online/vuz/ngmu/","2026-07-08T20:42:12.949Z"
"Новосибирский государственный педагогический университет","Новосибирский государственный педагогический университет","university","Новосибирск","Новосибирск","https://nspu.ru/","uppna@nspu.ru","+7 (383) 383-32-42","","","","","г. Новосибирск, ул. Вилюйская, д. 28","https://nsk.postupi.online/vuz/ngpu/","2026-07-08T20:42:12.949Z"
"Новосибирский государственный театральный институт","Новосибирский государственный театральный институт","university","Новосибирск","Новосибирск","http://ngti.ru/","pochtangti@mail.ru","+7 (383) 223-11-58","","","","","г. Новосибирск, ул. Красный проспект, д. 171/4","https://nsk.postupi.online/vuz/ngti/","2026-07-08T20:42:12.949Z"
"Новосибирский государственный технический университет НЭТИ","Новосибирский государственный технический университет НЭТИ","university","Новосибирск","Новосибирск","http://www.nstu.ru","pk@nstu.ru","+7 (383) 319-59-99","","","","","г. Новосибирск, пр. К. Маркса, д. 20, корп. 6","https://nsk.postupi.online/vuz/ngtu/","2026-07-08T20:42:12.949Z"
"НГУ - Новосибирский национальный исследовательский государственный университет","НГУ - Новосибирский национальный исследовательский государственный университет","university","Новосибирск","Новосибирск","https://www.nsu.ru/n/","priem@nsu.ru","+7 (383) 363-40-37","","","","","г. Новосибирск, ул. Пирогова, д. 1","https://nsk.postupi.online/vuz/ngu/","2026-07-08T20:42:12.949Z"
"Новосибирский государственный университет архитектуры, дизайна и искусств имени А.Д. Крячкова","Новосибирский государственный университет архитектуры, дизайна и искусств имени А.Д. Крячкова","university","Новосибирск","Новосибирск","https://nsuada.ru/","abitur@nsuada.ru","+7 (383) 286-97-71, 209-31-07","","","","","г. Новосибирск, Красный пр., д. 38","https://nsk.postupi.online/vuz/nguadi/","2026-07-08T20:42:12.949Z"
"Новосибирский государственный университет экономики и управления (НИНХ)","Новосибирский государственный университет экономики и управления (НИНХ)","university","Новосибирск","Новосибирск","https://nsuem.ru/","priemc@nsuem.ru","+7 (383) 2-110-500, +7 (983) 051-58-89","","","","","г. Новосибирск, ул. Каменская, д. 52/1","https://nsk.postupi.online/vuz/ngueu/","2026-07-08T20:42:12.949Z"
"Новосибирская государственная консерватория имени М. И. Глинки","Новосибирская государственная консерватория имени М. И. Глинки","university","Новосибирск","Новосибирск","http://www.nsglinka.ru/","abiturient@nsglinka.ru","+7 (383) 222-56-87","","","","","г. Новосибирск, ул. Советская, д. 31","https://nsk.postupi.online/vuz/novosibirskaya-gosudarstvennaya-konservatoriya-imeni-m-i-glinki/","2026-07-08T20:42:12.949Z"
"Сибирский государственный университет инженерии и биотехнологий","Сибирский государственный университет инженерии и биотехнологий","university","Новосибирск","Новосибирск","https://nsau.edu.ru/","pk@edubiotech.ru","+7 (383) 316-20-14, 267-38-04","","","","","г. Новосибирск, ул. Добролюбова, д. 160","https://nsk.postupi.online/vuz/novosibirskij-gau/","2026-07-08T20:42:12.949Z"
"Новосибирский технологический институт (филиал) Российского государственного университета им. А.Н. Косыгина (Технологии. Дизайн. Искусство)","Новосибирский технологический институт (филиал) Российского государственного университета им. А.Н. Косыгина (Технологии. Дизайн. Искусство)","university","Новосибирск","Новосибирск","http://ntirgu.ru/","abitura@ntirgu.ru","+7 (383) 222-20-65","","","","","г. Новосибирск, Красный пр-т,  д. 35","https://nsk.postupi.online/vuz/nti-rgu/","2026-07-08T20:42:12.949Z"
