name,full_name,type,city,region,website,admissions_email,phone_main,phone_admissions,vk_url,telegram_url,max_url,address,source_url,parsed_at
"Омская гуманитарная академия","Омская гуманитарная академия","university","Омск","Омск","http://www.omga.su/","priem@omga.su","+7 (3812) 68-35-88, 21-84-49","","","","","г. Омск, ул. 4-я Челюскинцев, д. 2, лит. А","https://omsk.postupi.online/vuz/omga/","2026-07-08T20:36:19.470Z"
"Омский государственный медицинский университет","Омский государственный медицинский университет","university","Омск","Омск","http://omsk-osma.ru/","abiturient@omgmu.ru","+7 (3812) 335-345","","","","","г. Омск, ул. Ленина, д. 12","https://omsk.postupi.online/vuz/omgmu/","2026-07-08T20:36:19.470Z"
"Омский государственный педагогический университет","Омский государственный педагогический университет","university","Омск","Омск","http://www.omgpu.ru/","abiturient@omgpu.ru","+7 (3812) 63-73-79, +7 (3812) 23-60-20","","","","","г. Омск, наб. им. Тухачевского, д. 14","https://omsk.postupi.online/vuz/omgpu/","2026-07-08T20:36:19.470Z"
"Омский государственный технический университет","Омский государственный технический университет","university","Омск","Омск","https://www.omgtu.ru/","pk@omgtu.ru","+7 (3812) 72-90-55","","","","","г. Омск, пр. Мира, д. 11","https://omsk.postupi.online/vuz/omgtu/","2026-07-08T20:36:19.470Z"
"Омский государственный университет им. Ф.М. Достоевского","Омский государственный университет им. Ф.М. Достоевского","university","Омск","Омск","http://www.omsu.ru","abit@omsu.ru","+7 (3812) 22-97-72","","","","","г. Омск, ул. Фрунзе, д. 6","https://omsk.postupi.online/vuz/omgu/","2026-07-08T20:36:19.470Z"
"Омский государственный университет путей сообщения","Омский государственный университет путей сообщения","university","Омск","Омск","https://omgups.ru","pkomgups@mail.ru","+7 (3812) 31-06-22","","","","","г. Омск, пр. Маркса, д. 35","https://omsk.postupi.online/vuz/omgups/","2026-07-08T20:36:19.470Z"
"Омский государственный аграрный университет имени П.А. Столыпина","Омский государственный аграрный университет имени П.А. Столыпина","university","Омск","Омск","http://www.omgau.ru/","adm@omgau.ru","+7 (3812) 65-53-44","","","","","г. Омск, Институтская пл., д. 1","https://omsk.postupi.online/vuz/omskij-gau/","2026-07-08T20:36:19.470Z"
"Омский институт водного транспорта - филиал Сибирского государственного университета водного транспорта","Омский институт водного транспорта - филиал Сибирского государственного университета водного транспорта","university","Омск","Омск","http://оивт-сгувт.рф","pr_kom@mail.ru","+7 (3812) 23-75-28","","","","","Омская обл., г. Омск, ул. Ивана Алексеева, д. 4","https://omsk.postupi.online/vuz/omskij-litinstitut-vodnogo-transporta-filial-sguvt/","2026-07-08T20:36:19.470Z"
"Омский филиал Финансового университета при Правительстве Российской Федерации","Омский филиал Финансового университета при Правительстве Российской Федерации","university","Омск","Омск","http://www.omsk.fa.ru","odoomsk@fa.ru","+7 (3812) 23-32-37; +7 (905) 921-27-&#8203;13","","","","","г. Омск, ул. Партизанская, д. 6","https://omsk.postupi.online/vuz/omskiy-filial-finansovogo-universiteta/","2026-07-08T20:36:19.470Z"
"Сибирский государственный автомобильно-дорожный университет (СибАДИ)","Сибирский государственный автомобильно-дорожный университет (СибАДИ)","university","Омск","Омск","https://sibadi.org/","priem_kom@sibadi.org","+7 (3812) 65-98-81, 65-99-88","","","","","г. Омск, пр-т Мира, д. 5","https://omsk.postupi.online/vuz/sibadi/","2026-07-08T20:36:19.470Z"
"Сибирский государственный университет физической культуры и спорта","Сибирский государственный университет физической культуры и спорта","university","Омск","Омск","http://www.sibsport.ru","sibgufk1@mail.ru","+7 (3812) 36-42-25","","","","","г. Омск, ул. Масленникова, д. 144","https://omsk.postupi.online/vuz/sibgufk/","2026-07-08T20:36:19.470Z"
"Сибирский институт бизнеса и информационных технологий","Сибирский институт бизнеса и информационных технологий","university","Омск","Омск","https://sibit.sano.ru/","pk@sano.ru","+7 (3812) 26-54-99","","","","","г. Омск, ул. 24-я Северная, д. 196, к. 1","https://omsk.postupi.online/vuz/sibit/","2026-07-08T20:36:19.470Z"
"Сибирский казачий институт технологий и управления (филиал) Московского государственного университета технологий и управления имени К.Г. Разумовского (Первого казачьего университета)","Сибирский казачий институт технологий и управления (филиал) Московского государственного университета технологий и управления имени К.Г. Разумовского (Первого казачьего университета)","university","Омск","Омск","https://skitu.ru/","omsk@mgutm.ru","+7 (3812) 36-31-30, +7 (3812) 36-25-86, +7 (913) 603-09-88","","","","","г. Омск, ул. Куйбышева, д. 79А","https://omsk.postupi.online/vuz/skitu-filial-mgutu-im-k-g-razumovskogo-pku/","2026-07-08T20:36:19.470Z"
