name,full_name,type,city,region,website,admissions_email,phone_main,phone_admissions,vk_url,telegram_url,max_url,address,source_url,parsed_at
"Оренбургский государственный аграрный университет","Оренбургский государственный аграрный университет","university","Оренбург","Оренбург","http://orensau.ru/","pk@orensau.ru","+7 (3532) 30-65-45","","","","","г. Оренбург, ул. Челюскинцев, д. 18","https://orenburg.postupi.online/vuz/ogau/","2026-07-09T06:55:24.569Z"
"Оренбургский государственный институт искусств им. Л. и М. Ростроповичей","Оренбургский государственный институт искусств им. Л. и М. Ростроповичей","university","Оренбург","Оренбург","http://osiart.ru/","priem@osiart.ru","+7 (3532) 67-71-32","","","","","г. Оренбург, ул. Советская, д. 17","https://orenburg.postupi.online/vuz/ogii/","2026-07-09T06:55:24.569Z"
"Оренбургский государственный педагогический университет","Оренбургский государственный педагогический университет","university","Оренбург","Оренбург","https://www.ospu.ru","ospu@ospu.ru","+7 (3532) 50-03-93","","","","","г. Оренбург, ул. Советская, д. 19","https://orenburg.postupi.online/vuz/ogpu/","2026-07-09T06:55:24.569Z"
"Оренбургский государственный университет имени В. А. Бондаренко","Оренбургский государственный университет имени В. А. Бондаренко","university","Оренбург","Оренбург","http://www.osu.ru/","priem@mail.osu.ru","+7 (3532) 37-25-55","","","","","г. Оренбург, пр. Победы, д. 13","https://orenburg.postupi.online/vuz/ogu/","2026-07-09T06:55:24.569Z"
"Оренбургский филиал Поволжского государственного университета телекоммуникаций и информатики","Оренбургский филиал Поволжского государственного университета телекоммуникаций и информатики","university","Оренбург","Оренбург","https://of.psuti.ru/","oren_pguti@mail.ru","+7 (3532) 52-01-23, +7 (3532) 52-03-15","","","","","г. Оренбург, ул. Пролетарская / Юркина, д. 249/76","https://orenburg.postupi.online/vuz/orenburgskij-filial-pguti/","2026-07-09T06:55:24.569Z"
"Оренбургский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","Оренбургский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","university","Оренбург","Оренбург","https://orn.ranepa.ru/","pk-orn@ranepa.ru","+7 (3532) 50-02-98, +7 (922) 628-28-86","","","","","г. Оренбург, ул. Курача, д. 26","https://orenburg.postupi.online/vuz/orenburgskij-filial-ranhigs/","2026-07-09T06:55:24.569Z"
"Оренбургский филиал Российского экономического университета имени Г.В. Плеханова","Оренбургский филиал Российского экономического университета имени Г.В. Плеханова","university","Оренбург","Оренбург","http://www.orenrsute.ru/","orenburg@rea.ru","+7 (3532) 77-66-40","","","","","г. Оренбург, ул. Ленинская/Пушкинская, д. 50/51-53","https://orenburg.postupi.online/vuz/orenburgskij-filial-reu-plehanova/","2026-07-09T06:55:24.569Z"
"Оренбургский институт (филиал) Московского государственного юридического университета имени О.Е. Кутафина (МГЮА)","Оренбургский институт (филиал) Московского государственного юридического университета имени О.Е. Кутафина (МГЮА)","university","Оренбург","Оренбург","https://oimsal.ru/","orenpriem@msal.ru","+7 (3532) 31-28-85","","","","","г. Оренбург, ул. Комсомольская, д. 50","https://orenburg.postupi.online/vuz/orenburgskij-institut-filial-mgyua/","2026-07-09T06:55:24.569Z"
"Оренбургский государственный медицинский университет","Оренбургский государственный медицинский университет","university","Оренбург","Оренбург","http://www.orgma.ru/","abiturient@orgma.ru","+7 (3532) 50-06-03","","","","","г. Оренбург, ул. Советская, д. 6","https://orenburg.postupi.online/vuz/orgmu/","2026-07-09T06:55:24.569Z"
"Оренбургский институт путей сообщения – филиал Приволжского государственного университета путей сообщения","Оренбургский институт путей сообщения – филиал Приволжского государственного университета путей сообщения","university","Оренбург","Оренбург","https://www.samgups.ru/about/struktura_universiteta/filialy/vpo/orenburg/","pk@origt.ru","+7 (3532) 50-56-35, 67-12-31 (доб. 1)","","","","","г. Оренбург, пр. Коммунаров, д. 16-18","https://orenburg.postupi.online/vuz/orips/","2026-07-09T06:55:24.569Z"
