name,full_name,type,city,region,website,admissions_email,phone_main,phone_admissions,vk_url,telegram_url,max_url,address,source_url,parsed_at
"Пермский филиал Национального исследовательского университета Высшая школа экономики","Пермский филиал Национального исследовательского университета Высшая школа экономики","university","Пермь","Пермь","https://perm.hse.ru/","abitur.perm@hse.ru","+7 (342) 200-96-96, 205-52-55","","","","","г. Пермь, ул. Студенческая, д. 38","https://perm.postupi.online/vuz/niu-vshe-perm/","2026-07-08T20:38:54.329Z"
"Пермский филиал Волжского государственного университета водного транспорта","Пермский филиал Волжского государственного университета водного транспорта","university","Пермь","Пермь","https://vsuwt-perm.ru/","priem@vsuwt-perm.ru","+7 (342) 215-85-52  (доб. 708)","","","","","г. Пермь, бульвар Гагарина, д. 33","https://perm.postupi.online/vuz/permskij-filial-vguvt/","2026-07-08T20:38:54.329Z"
"Пермский государственный аграрно­-технологический университет имени академика Д.Н. Прянишникова","Пермский государственный аграрно­-технологический университет имени академика Д.Н. Прянишникова","university","Пермь","Пермь","https://pgsha.ru/today/","priemkom@pgatu.ru","+7 (342) 217-98-17; +7 (902) 83-59-209","","","","","г. Пермь, ул. Петропавловская, д. 23","https://perm.postupi.online/vuz/permskij-gatu/","2026-07-08T20:38:54.329Z"
"Пермский институт (филиал) Российского экономического университета имени Г.В. Плеханова","Пермский институт (филиал) Российского экономического университета имени Г.В. Плеханова","university","Пермь","Пермь","https://www.rea.ru/structure/filials/permskiy-institut-filial-reu-im-gv-plehanova","perm.pk@rea.ru","+7 (342) 263-26-75","","","","","г. Пермь, бульвар Гагарина, д. 57","https://perm.postupi.online/vuz/permskij-institut-filial-reu-im-g-v-plehanova/","2026-07-08T20:38:54.329Z"
"Пермский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","Пермский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","university","Пермь","Пермь","https://www.ranepa.ru/filialy/perm/","perm-pk@ranepa.ru","+7 (342) 207-82-15, +7 (984) 455-22-63","","","","","г. Пермь, Комсомольский пр-т, д. 61","https://perm.postupi.online/vuz/permskyj-filial-ranhigs/","2026-07-08T20:38:54.329Z"
"Пермская государственная фармацевтическая академия","Пермская государственная фармацевтическая академия","university","Пермь","Пермь","http://pfa.ru","priem@pfa.ru","+7 (342) 233-36-80","","","","","г. Пермь, ул. Полевая, д.2, к. 211","https://perm.postupi.online/vuz/pgfa/","2026-07-08T20:38:54.329Z"
"Пермский государственный гуманитарно-педагогический университет","Пермский государственный гуманитарно-педагогический университет","university","Пермь","Пермь","http://pspu.ru","priem@pspu.ru","+7 (342) 215-18-54 (доб. 802)","","","","","г. Пермь, ул. Сибирская, д. 24","https://perm.postupi.online/vuz/pggpu/","2026-07-08T20:38:54.329Z"
"Пермский государственный институт культуры","Пермский государственный институт культуры","university","Пермь","Пермь","http://psiac.ru","abit-pgiik@yandex.ru","+7 (342) 212-09-90 (доп. 303)","","","","","г. Пермь, ул. Газеты «Звезда», д. 18","https://perm.postupi.online/vuz/pgik/","2026-07-08T20:38:54.329Z"
"Пермский государственный медицинский университет имени академика Е.А. Вагнера","Пермский государственный медицинский университет имени академика Е.А. Вагнера","university","Пермь","Пермь","https://psmu.ru/","priem@psma.ru","+7 (342) 276-01-04","","","","","г. Пермь, ул. Крупской, д. 44","https://perm.postupi.online/vuz/pgmu/","2026-07-08T20:38:54.329Z"
"Пермский государственный национальный исследовательский университет","Пермский государственный национальный исследовательский университет","university","Пермь","Пермь","https://psu.ru/","entrance.examination@psu.ru","+7 (342) 239-65-89","","","","","г. Пермь, ул. Дзержинского, д. 2","https://perm.postupi.online/vuz/pgniu/","2026-07-08T20:38:54.329Z"
"Пермский институт железнодорожного транспорта - филиал Уральского государственного университета путей сообщения","Пермский институт железнодорожного транспорта - филиал Уральского государственного университета путей сообщения","university","Пермь","Пермь","http://pirt.usurt.ru/","pk.pirt@usurt.ru","+7 (342) 201-43-50","","","","","г. Пермь, ул. Максима Горького, д.1","https://perm.postupi.online/vuz/pigt-urgups/","2026-07-08T20:38:54.329Z"
"Пермский национальный исследовательский политехнический университет","Пермский национальный исследовательский политехнический университет","university","Пермь","Пермь","http://pstu.ru/","enter@pstu.ru","+7 (342) 2-198-065","","","","","г. Пермь, Комсомольский пр-т, д. 29","https://perm.postupi.online/vuz/pnipu/","2026-07-08T20:38:54.329Z"
"Прикамский социальный институт","Прикамский социальный институт","university","Пермь","Пермь","http://www.psi.perm.ru/","psi.2001@mail.ru","+7 (342) 214-31-61","","","","","г. Пермь, ул. Чернышевского, д. 28","https://perm.postupi.online/vuz/psi/","2026-07-08T20:38:54.329Z"
"Уральский филиал Российской академии живописи, ваяния и зодчества Ильи Глазунова","Уральский филиал Российской академии живописи, ваяния и зодчества Ильи Глазунова","university","Пермь","Пермь","http://artacademy.perm.ru/","ucebnyi-ural@glazunov-academy.ru","+7 (342) 276-79-68, +7 (342) 207-02-96","","","","","г. Пермь, ул. Ленина, д. 31","https://perm.postupi.online/vuz/uf-razhviz/","2026-07-08T20:38:54.329Z"
"Западно-Уральский институт экономики и права","Западно-Уральский институт экономики и права","university","Пермь","Пермь","https://zuiep.ru/","abitur@zuiep.ru","+7 (342) 227-40-40","","","","","г. Пермь, ул. Сибирская, д. 35, лит. Д","https://perm.postupi.online/vuz/zuiep/","2026-07-08T20:38:54.329Z"
