name,full_name,type,city,region,website,admissions_email,phone_main,phone_admissions,vk_url,telegram_url,max_url,address,source_url,parsed_at
"Донской государственный технический университет","Донской государственный технический университет","university","Ростов-на-Дону","Ростов-на-Дону","https://donstu.ru/","spu-33@donstu.ru","+7 (863) 306-20-00; 8 (800) 100-19-30","","","","","г. Ростов-на-Дону, пл. Гагарина, д. 1","https://rostov.postupi.online/vuz/dgtu/","2026-07-08T20:36:58.926Z"
"Донской казачий государственный институт пищевых технологий и бизнеса (филиал) Московского государственного университета технологий и управления им. К.Г. Разумовского (Первого казачьего университета)","Донской казачий государственный институт пищевых технологий и бизнеса (филиал) Московского государственного университета технологий и управления им. К.Г. Разумовского (Первого казачьего университета)","university","Ростов-на-Дону","Ростов-на-Дону","http://mgutu.info/","priem.mgutm@yandex.ru","+7 (863) 310-28-18","","","","","г. Ростов-на-Дону, пер. Семашко, д. 55","https://rostov.postupi.online/vuz/dkgiptie-filial-mgutu-im-k-g-razumovskogo-pku/","2026-07-08T20:36:58.926Z"
"Донской государственный аграрный университет","Донской государственный аграрный университет","university","Ростов-на-Дону","Ростов-на-Дону","https://dongau.ru/","prkomis-dgau@mail.ru","+7 (86360) 3-64-49","","","","","Ростовская обл., Октябрьский р-н, пос. Персиановский, ул. Кривошлыкова, д. 24","https://rostov.postupi.online/vuz/dongau/","2026-07-08T20:36:58.926Z"
"Филиал Московского университета имени С. Ю. Витте в г. Ростове-на-Дону","Филиал Московского университета имени С. Ю. Витте в г. Ростове-на-Дону","university","Ростов-на-Дону","Ростов-на-Дону","https://www.muiv.ru/rostov/","pk.rostov@muiv.ru","+7 (863) 300-85-71, +7 (863) 300-85-72; 8 (800) 700-85-70","","","","","г. Ростов-на-Дону, ул. Нефедова, д. 78","https://rostov.postupi.online/vuz/filial-mu-vitte-rostov-na-donu/","2026-07-08T20:36:58.926Z"
"Институт водного транспорта имени Г.Я. Седова - филиал Государственного морского университета имени адмирала Ф.Ф. Ушакова","Институт водного транспорта имени Г.Я. Седова - филиал Государственного морского университета имени адмирала Ф.Ф. Ушакова","university","Ростов-на-Дону","Ростов-на-Дону","http://iwtsedov.ru/","priem@iwtsedov.ru","+7 (863) 333-28-34 доб. 1","","","","","г. Ростов-на-Дону, ул. Седова, д. 8","https://rostov.postupi.online/vuz/ivt-sedova/","2026-07-08T20:36:58.926Z"
"Ростовский филиал Российского государственного университета правосудия имени В. М. Лебедева","Ростовский филиал Российского государственного университета правосудия имени В. М. Лебедева","university","Ростов-на-Дону","Ростов-на-Дону","http://rb.rgup.ru/","priem_kom@rb.rgup.ru","+7 (863) 297-57-11","","","","","г. Ростов-на-Дону, пр. Ленина, д. 66","https://rostov.postupi.online/vuz/rf-rgup/","2026-07-08T20:36:58.926Z"
"Ростовский государственный экономический университет (РИНХ)","Ростовский государственный экономический университет (РИНХ)","university","Ростов-на-Дону","Ростов-на-Дону","https://rsue.ru/","pk@rsue.ru","+7 (863) 237-02-60 (бакалавриат/специалитет), +7 (863) 240-89-62 (магистратура)","","","","","г. Ростов-на-Дону, ул. Большая Садовая, д. 69","https://rostov.postupi.online/vuz/rgeu-rinh/","2026-07-08T20:36:58.926Z"
"Ростовская государственная консерватория (академия) им. С. В. Рахманинова","Ростовская государственная консерватория (академия) им. С. В. Рахманинова","university","Ростов-на-Дону","Ростов-на-Дону","https://rostcons.ru/","priem2025rgk@mail.ru","+7 (863) 262-33-42, +7 (918) 857-09-05","","","","","г. Ростов-на-Дону, пр. Буденновский, д. 23","https://rostov.postupi.online/vuz/rgk-im-s-v-rahmaninova/","2026-07-08T20:36:58.926Z"
"Ростовский государственный университет путей сообщения","Ростовский государственный университет путей сообщения","university","Ростов-на-Дону","Ростов-на-Дону","http://rgups.ru/","prkom@rgups.ru","+7 (863) 272-64-88, 8 (800) 707-19-29","","","","","г. Ростов-на-Дону, пл. Ростовского Стрелкового Полка Народного Ополчения, д. 2","https://rostov.postupi.online/vuz/rgups/","2026-07-08T20:36:58.926Z"
"Ростовский институт защиты предпринимателя","Ростовский институт защиты предпринимателя","university","Ростов-на-Дону","Ростов-на-Дону","https://www.rizp.ru/","abit@rizp.ru","+7 (863) 221-80-55","","","","","г. Ростов-на-Дону, Первомайский р-н, ул. Сержантова, д. 2/104","https://rostov.postupi.online/vuz/rizp/","2026-07-08T20:36:58.926Z"
