name,full_name,type,city,region,website,admissions_email,phone_main,phone_admissions,vk_url,telegram_url,max_url,address,source_url,parsed_at
"Поволжский государственный университет телекоммуникаций и информатики","Поволжский государственный университет телекоммуникаций и информатики","university","Самара","Самара","https://www.psuti.ru/","abiturient@psuti.ru","+7 846) 339-11-04, +7 846) 339-11-11","","","","","г. Самара, ул. Льва Толстого, д. 23","https://samara.postupi.online/vuz/pguti/","2026-07-08T20:35:53.773Z"
"Медицинский университет Реавиз","Медицинский университет Реавиз","university","Самара","Самара","https://pk.reaviz.ru/smr/","priem@reaviz.com","8 (800) 600-24-00","","","","","г. Самара, ул. Чапаевская, д. 227","https://samara.postupi.online/vuz/reaviz/","2026-07-08T20:35:53.773Z"
"Самарский национальный исследовательский университет имени академика С.П. Королева","Самарский национальный исследовательский университет имени академика С.П. Королева","university","Самара","Самара","http://www.ssau.ru/","priem@ssau.ru","+7 (800) 550-34-35; +7 (846) 267-48-67","","","","","г. Самара, Московское ш., д. 34","https://samara.postupi.online/vuz/samarskij-universitet/","2026-07-08T20:35:53.773Z"
"Самарский государственный медицинский университет","Самарский государственный медицинский университет","university","Самара","Самара","https://samsmu.ru/","priem@samsmu.ru","+7 (846) 374-00-11","","","","","г. Самара, ул. Гагарина, д. 18","https://samara.postupi.online/vuz/samgmu/","2026-07-08T20:35:53.773Z"
"Самарский государственный технический университет","Самарский государственный технический университет","university","Самара","Самара","https://samgtu.ru/","rector@samgtu.ru","+7 (846) 278-43-11; +7 (846) 242-36-91","","","","","г. Самара, ул. Молодогвардейская, д. 244","https://samara.postupi.online/vuz/samgtu/","2026-07-08T20:35:53.773Z"
"Приволжский государственный университет путей сообщения","Приволжский государственный университет путей сообщения","university","Самара","Самара","https://www.samgups.ru/","prkom@samgups.ru","+7 (846) 255-68-75; 8 (800) 775-23-25","","","","","г. Самара, ул. Свободы, д. 2, лит. В","https://samara.postupi.online/vuz/samgups/","2026-07-08T20:35:53.773Z"
"Самарский филиал Московского городского педагогического университета","Самарский филиал Московского городского педагогического университета","university","Самара","Самара","http://samara.mgpu.ru/","priem_samara@mgpu.ru","+7 (846) 989-14-35","","","","","г. Самара, ул. Стара Загора, д. 76","https://samara.postupi.online/vuz/sf-mgpu/","2026-07-08T20:35:53.773Z"
"Самарский государственный экономический университет","Самарский государственный экономический университет","university","Самара","Самара","http://www.sseu.ru/","priem@sseu.ru","+7 (846) 215-31-63, +7 (846) 933-87-00","","","","","г. Самара, ул. Советской Армии, д. 141","https://samara.postupi.online/vuz/sgeu/","2026-07-08T20:35:53.773Z"
"Самарский государственный институт культуры","Самарский государственный институт культуры","university","Самара","Самара","https://samgik.ru/","priem@samgik.ru","+7 (846) 333-22-22; +7 (927) 785-78-18","","","","","г. Самара, ул. Фрунзе, д. 167","https://samara.postupi.online/vuz/sgik/","2026-07-08T20:35:53.773Z"
"Самарский государственный социально-педагогический университет","Самарский государственный социально-педагогический университет","university","Самара","Самара","http://www.pgsga.ru/","priem@sgspu.ru","+7 (846) 207-88-77","","","","","г. Самара, ул. Антонова-Овсеенко, д. 24","https://samara.postupi.online/vuz/sgspu/","2026-07-08T20:35:53.773Z"
